Date,W/L,W-L,Rank,Attendance,Streak,Prev_W/L,Prev_W-L,Prev_Rank,Prev_Streak,Prev_IsOvertime,Winning_Rate,Day,Month
"Monday, Apr 4",L,0-1,4.0,44318.0,-1,,0-0,,,,,Monday,Apr
"Tuesday, Apr 5",L,0-2,4.0,24123.0,-2,L,0-1,4.0,-1.0,0.0,0.0,Tuesday,Apr
"Wednesday, Apr 6",W,1-2,4.0,20098.0,1,L,0-2,4.0,-2.0,0.0,0.0,Wednesday,Apr
"Friday, Apr 8",W,2-2,4.0,30100.0,2,W,1-2,4.0,1.0,0.0,0.3333333333333333,Friday,Apr
"Saturday, Apr 9",L,2-3,4.0,28127.0,-1,W,2-2,4.0,2.0,0.0,0.5,Saturday,Apr
"Sunday, Apr 10",W,3-3,4.0,28441.0,1,L,2-3,4.0,-1.0,0.0,0.4,Sunday,Apr
"Monday, Apr 11",L,3-4,5.0,47608.0,-1,W,3-3,4.0,1.0,0.0,0.5,Monday,Apr
"Wednesday, Apr 13",W,4-4,4.0,40994.0,1,L,3-4,5.0,-1.0,0.0,0.42857142857142855,Wednesday,Apr
"Thursday, Apr 14",L,4-5,5.0,40168.0,-1,W,4-4,4.0,1.0,0.0,0.5,Thursday,Apr
"Friday, Apr 15",W,5-5,3.0,24280.0,1,L,4-5,5.0,-1.0,0.0,0.4444444444444444,Friday,Apr
"Saturday, Apr 16",L,5-6,5.0,34957.0,-1,W,5-5,3.0,1.0,0.0,0.5,Saturday,Apr
"Sunday, Apr 17",L,5-7,5.0,31124.0,-2,L,5-6,5.0,-1.0,0.0,0.45454545454545453,Sunday,Apr
"Monday, Apr 18",L,5-8,5.0,21078.0,-3,L,5-7,5.0,-2.0,0.0,0.4166666666666667,Monday,Apr
"Tuesday, Apr 19",W,6-8,5.0,17597.0,1,L,5-8,5.0,-3.0,0.0,0.38461538461538464,Tuesday,Apr
"Wednesday, Apr 20",W,7-8,4.0,21087.0,2,W,6-8,5.0,1.0,0.0,0.42857142857142855,Wednesday,Apr
"Thursday, Apr 21",L,7-9,5.0,30107.0,-1,W,7-8,4.0,2.0,0.0,0.4666666666666667,Thursday,Apr
"Friday, Apr 22",L,7-10,5.0,23439.0,-2,L,7-9,5.0,-1.0,0.0,0.4375,Friday,Apr
"Saturday, Apr 23",L,7-11,5.0,34813.0,-3,L,7-10,5.0,-2.0,0.0,0.4117647058823529,Saturday,Apr
"Sunday, Apr 24",W,8-11,5.0,28131.0,1,L,7-11,5.0,-3.0,0.0,0.3888888888888889,Sunday,Apr
"Tuesday, Apr 26",L,8-12,5.0,35861.0,-1,W,8-11,5.0,1.0,0.0,0.42105263157894735,Tuesday,Apr
"Thursday, Apr 28",L,8-13,5.0,32734.0,-2,L,8-12,5.0,-1.0,0.0,0.4,Thursday,Apr
"Friday, Apr 29",L,8-14,5.0,23215.0,-3,L,8-13,5.0,-2.0,0.0,0.38095238095238093,Friday,Apr
"Saturday, Apr 30",L,8-15,5.0,28193.0,-4,L,8-14,5.0,-3.0,0.0,0.36363636363636365,Saturday,Apr
"Sunday, May 1",W,9-15,5.0,28181.0,1,L,8-15,5.0,-4.0,0.0,0.34782608695652173,Sunday,May
"Monday, May 2",W,10-15,4.0,21352.0,2,W,9-15,5.0,1.0,0.0,0.375,Monday,May
"Tuesday, May 3",W,11-15,4.0,28180.0,3,W,10-15,4.0,2.0,0.0,0.4,Tuesday,May
"Wednesday, May 4",L,11-16,4.0,21907.0,-1,W,11-15,4.0,3.0,0.0,0.4230769230769231,Wednesday,May
"Thursday, May 5",L,11-17,5.0,13088.0,-2,L,11-16,4.0,-1.0,0.0,0.4074074074074074,Thursday,May
"Friday, May 6",L,11-18,5.0,28249.0,-3,L,11-17,5.0,-2.0,0.0,0.39285714285714285,Friday,May
"Saturday, May 7",W,12-18,5.0,27567.0,1,L,11-18,5.0,-3.0,0.0,0.3793103448275862,Saturday,May
"Sunday, May 8",W,13-18,4.0,22376.0,2,W,12-18,5.0,1.0,0.0,0.4,Sunday,May
"Monday, May 9",L,13-19,5.0,16769.0,-1,W,13-18,4.0,2.0,0.0,0.41935483870967744,Monday,May
"Tuesday, May 10",W,14-19,4.0,17225.0,1,L,13-19,5.0,-1.0,0.0,0.40625,Tuesday,May
"Wednesday, May 11",L,14-20,4.0,19893.0,-1,W,14-19,4.0,1.0,0.0,0.42424242424242425,Wednesday,May
"Thursday, May 12",L,14-21,5.0,17374.0,-2,L,14-20,4.0,-1.0,0.0,0.4117647058823529,Thursday,May
"Friday, May 13",W,15-21,4.0,35291.0,1,L,14-21,5.0,-2.0,0.0,0.4,Friday,May
"Saturday, May 14",L,15-22,4.0,28896.0,-1,W,15-21,4.0,1.0,0.0,0.4166666666666667,Saturday,May
"Sunday, May 15",W,16-22,4.0,26306.0,1,L,15-22,4.0,-1.0,0.0,0.40540540540540543,Sunday,May
"Tuesday, May 17",W,17-22,4.0,24361.0,2,W,16-22,4.0,1.0,0.0,0.42105263157894735,Tuesday,May
"Wednesday, May 18",L,17-23,4.0,31212.0,-1,W,17-22,4.0,2.0,0.0,0.4358974358974359,Wednesday,May
"Thursday, May 19",W,18-23,4.0,38781.0,1,L,17-23,4.0,-1.0,0.0,0.425,Thursday,May
"Friday, May 20",L,18-24,4.0,36239.0,-1,W,18-23,4.0,1.0,0.0,0.43902439024390244,Friday,May
"Saturday, May 21",L,18-25,4.0,39688.0,-2,L,18-24,4.0,-1.0,0.0,0.42857142857142855,Saturday,May
"Sunday, May 22",L,18-26,4.0,40173.0,-3,L,18-25,4.0,-2.0,1.0,0.4186046511627907,Sunday,May
"Tuesday, May 24",W,19-26,4.0,15185.0,1,L,18-26,4.0,-3.0,0.0,0.4090909090909091,Tuesday,May
"Wednesday, May 25",W,20-26,4.0,12869.0,2,W,19-26,4.0,1.0,0.0,0.4222222222222222,Wednesday,May
"Thursday, May 26",W,21-26,4.0,14885.0,3,W,20-26,4.0,2.0,0.0,0.43478260869565216,Thursday,May
"Friday, May 27",W,22-26,4.0,20441.0,4,W,21-26,4.0,3.0,0.0,0.44680851063829785,Friday,May
"Saturday, May 28",L,22-27,4.0,30293.0,-1,W,22-26,4.0,4.0,0.0,0.4583333333333333,Saturday,May
"Sunday, May 29",W,23-27,4.0,34901.0,1,L,22-27,4.0,-1.0,0.0,0.4489795918367347,Sunday,May
"Monday, May 30",L,23-28,4.0,34569.0,-1,W,23-27,4.0,1.0,0.0,0.46,Monday,May
"Tuesday, May 31",L,23-29,4.0,24487.0,-2,L,23-28,4.0,-1.0,0.0,0.45098039215686275,Tuesday,May
"Wednesday, Jun 1",W,24-29,4.0,24050.0,1,L,23-29,4.0,-2.0,0.0,0.4423076923076923,Wednesday,Jun
"Thursday, Jun 2",W,25-29,4.0,22890.0,2,W,24-29,4.0,1.0,0.0,0.4528301886792453,Thursday,Jun
"Friday, Jun 3",L,25-30,4.0,20138.0,-1,W,25-29,4.0,2.0,0.0,0.46296296296296297,Friday,Jun
"Saturday, Jun 4",W,26-30,4.0,25177.0,1,L,25-30,4.0,-1.0,0.0,0.45454545454545453,Saturday,Jun
"Sunday, Jun 5",L,26-31,4.0,24259.0,-1,W,26-30,4.0,1.0,0.0,0.4642857142857143,Sunday,Jun
"Tuesday, Jun 7",W,27-31,4.0,19283.0,1,L,26-31,4.0,-1.0,0.0,0.45614035087719296,Tuesday,Jun
"Wednesday, Jun 8",W,28-31,4.0,18188.0,2,W,27-31,4.0,1.0,0.0,0.46551724137931033,Wednesday,Jun
"Thursday, Jun 9",L,28-32,4.0,22980.0,-1,W,28-31,4.0,2.0,0.0,0.4745762711864407,Thursday,Jun
"Friday, Jun 10",L,28-33,4.0,27358.0,-2,L,28-32,4.0,-1.0,0.0,0.4666666666666667,Friday,Jun
"Saturday, Jun 11",W,29-33,4.0,38423.0,1,L,28-33,4.0,-2.0,0.0,0.45901639344262296,Saturday,Jun
"Sunday, Jun 12",W,30-33,4.0,32491.0,2,W,29-33,4.0,1.0,0.0,0.46774193548387094,Sunday,Jun
