Name
Adam Jones
Miguel Cabrera
David Price
Alex Gordon
Albert Pujols
Adrian Gonzalez
Zack Greinke
Clayton Kershaw
Ryan Braun
Brett Gardner
Mark Teixeira
Justin Upton
Buster Posey
Nelson Cruz
Felix Hernandez
Matt Holliday
Yadier Molina
Jhonny Peralta
Prince Fielder
Jose Bautista
Max Scherzer
Matt Wieters
Craig Kimbrel
David Ortiz HOF
Jake Arrieta
Jon Lester
Ben Zobrist
Carlos Gonzalez
Mike Trout
Kenley Jansen
Yoenis Céspedes
Johnny Cueto
Robinson Canó
Cole Hamels
Josh Donaldson
Marco Estrada
Stephen Strasburg
Chris Sale
Joey Votto
Nolan Arenado
Giancarlo Stanton
Justin Turner
Yu Darvish
Ervin Santana
Bryce Harper
Daniel Murphy
Ryan Zimmerman
Paul Goldschmidt
Freddie Freeman
Nick Markakis
Manny Machado
Mookie Betts
J.D. Martinez
José Abreu
Michael Brantley
Corey Kluber
Charlie Blackmon
George Springer
Justin Verlander
Matt Kemp
Lorenzo Cain
Aroldis Chapman
Brandon Crawford
Shin-Soo Choo
J.A. Happ
Xander Bogaerts
Kris Bryant
Francisco Lindor
Carlos Santana
Gerrit Cole
Hyun Jin Ryu
Yasmani Grandal
DJ LeMahieu
Masahiro Tanaka
Charlie Morton
Anthony Rendon
Nathan Eovaldi
Liam Hendriks
Nick Castellanos
Jose Altuve
Carlos Correa
Salvador Perez
Jacob deGrom
Aaron Judge
J.T. Realmuto
Zack Wheeler
Kevin Gausman
Yusei Kikuchi
Marcus Semien
Trea Turner
Ronald Acuna Jr.
Rafael Devers
Jose Ramirez
Josh Hader
Edwin Díaz
Starling Marte
Kyle Schwarber
Carlos Rodon
Miles Mikolas
Corey Seager
