Name
Paul Goldschmidt
Zack Greinke
Craig Kimbrel
Chris Sale
Wade Davis
Zack Cozart
Joey Votto
Michael Brantley
Corey Kluber
Andrew Miller
Nolan Arenado
Charlie Blackmon
Greg Holland
Giancarlo Stanton
Dallas Keuchel
Mike Moustakas
Jason Vargas
Mike Trout
Kenley Jansen
Clayton Kershaw
Justin Turner
Starlin Castro
Pat Neshek
Josh Harrison
Buster Posey
Robinson Canó
Nelson Cruz
Yadier Molina
Yu Darvish
Ervin Santana
Bryce Harper
Daniel Murphy
Max Scherzer
Stephen Strasburg
Ryan Zimmerman
Patrick Corbin
Freddie Freeman
Nick Markakis
Manny Machado
Mookie Betts
J.D. Martinez
Mitch Moreland
Jon Lester
José Abreu
Scooter Gennett
Trevor Bauer
Yan Gomes
Jose Altuve
Gerrit Cole
Charlie Morton
George Springer
Justin Verlander
Salvador Perez
Matt Kemp
Lorenzo Cain
Christian Yelich
Jacob deGrom
Aroldis Chapman
Jed Lowrie
Brandon Crawford
Jean Segura
Miles Mikolas
Wilson Ramos
Shin-Soo Choo
J.A. Happ
Xander Bogaerts
Javier Baez
Kris Bryant
Sonny Gray
Brad Hand
Francisco Lindor
Carlos Santana
Hyun Jin Ryu
Yasmani Grandal
DJ LeMahieu
Masahiro Tanaka
J.T. Realmuto
Mike Minor
Marcus Stroman
Jake Odorizzi
Anthony Rendon
Eduardo Escobar
Nathan Eovaldi
Tim Anderson
Liam Hendriks
Nick Castellanos
Jose Ramirez
German Marquez
Carlos Correa
Ryan Pressly
Whit Merrifield
Max Muncy
Chris Taylor
Josh Hader
Taijuan Walker
Aaron Judge
Zack Wheeler
Kevin Gausman
Yusei Kikuchi
Joey Gallo
Kyle Gibson
Marcus Semien
Taylor Rogers
Kyle Schwarber
Juan Soto
Trea Turner
Ronald Acuna Jr.
Travis d'Arnaud
Max Fried
Dansby Swanson
Rafael Devers
Willson Contreras
Ian Happ
Luis Castillo
C.J. Cron
Miguel Cabrera
Andrew Benintendi
Shohei Ohtani
Tyler Anderson
Corbin Burnes
Pete Alonso
Edwin Díaz
Starling Marte
Joe Musgrove
Joc Pederson
Carlos Rodon
Corey Seager
Vladimir Guerrero Jr.
Byron Buxton
