,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Monday, Apr 4",ARI,Home,COL,L,5.0,10.0,9.0,0-1,4.0,1.0,Miller,Greinke,None,4:11,N,48165.0,1.05,-1,
2,"Tuesday, Apr 5",ARI,Home,COL,W,11.0,6.0,9.0,1-1,3.0,1.0,Clippard,Bergman,None,3:14,N,21830.0,.98,1,
3,"Wednesday, Apr 6",ARI,Home,COL,L,3.0,4.0,9.0,1-2,4.0,2.0,Chatwood,Corbin,McGee,2:39,D,18572.0,1.03,-1,
4,"Thursday, Apr 7",ARI,Home,CHC,L,6.0,14.0,9.0,1-3,4.0,2.0,Lackey,De La Rosa,None,3:29,N,24656.0,.88,-2,
5,"Friday, Apr 8",ARI,Home,CHC,W-wo,3.0,2.0,9.0,2-3,4.0,2.0,Ziegler,Cahill,None,2:48,N,27539.0,.84,1,
6,"Saturday, Apr 9",ARI,Home,CHC,L,2.0,4.0,9.0,2-4,5.0,2.0,Hendricks,Greinke,Rondon,2:46,N,32185.0,.86,-1,
7,"Sunday, Apr 10",ARI,Home,CHC,L,3.0,7.0,9.0,2-5,5.0,3.0,Arrieta,Miller,None,3:21,D,33258.0,.81,-2,
8,"Tuesday, Apr 12",ARI,@,LAD,W,4.0,2.0,9.0,3-5,4.0,3.0,Clippard,Hatcher,Ziegler,3:00,D,53279.0,.88,1,
9,"Wednesday, Apr 13",ARI,@,LAD,L,1.0,3.0,9.0,3-6,4.0,3.0,Wood,De La Rosa,Jansen,3:12,N,44244.0,.92,-1,
10,"Thursday, Apr 14",ARI,@,LAD,L,2.0,5.0,9.0,3-7,4.0,3.0,Howell,Delgado,Jansen,2:36,N,40879.0,.93,-2,
11,"Friday, Apr 15",ARI,@,SDP,W,3.0,2.0,9.0,4-7,4.0,3.0,Hudson,Rodney,Ziegler,3:08,N,28955.0,.85,1,
12,"Saturday, Apr 16",ARI,@,SDP,L-wo,3.0,5.0,14.0,4-8,4.0,3.0,Perdomo,De La Rosa,None,5:25,N,34051.0,.88,-1,
13,"Sunday, Apr 17",ARI,@,SDP,W,7.0,3.0,9.0,5-8,4.0,3.0,Corbin,Erlin,None,2:37,D,30520.0,.81,1,
14,"Monday, Apr 18",ARI,@,SFG,W,9.0,7.0,11.0,6-8,4.0,2.5,De La Rosa,Heston,Ziegler,4:35,N,41432.0,.92,2,
15,"Tuesday, Apr 19",ARI,@,SFG,W,3.0,0.0,9.0,7-8,3.0,1.5,Ray,Cain,Clippard,3:08,N,41218.0,.97,3,
16,"Wednesday, Apr 20",ARI,@,SFG,W,2.0,1.0,9.0,8-8,3.0,1.5,Greinke,Bumgarner,Ziegler,2:54,N,41497.0,1.05,4,
17,"Thursday, Apr 21",ARI,@,SFG,W,6.0,2.0,9.0,9-8,2.0,1.5,Wagner,Cueto,None,3:10,D,41052.0,1.08,5,
18,"Friday, Apr 22",ARI,Home,PIT,L,7.0,8.0,9.0,9-9,3.0,1.5,Niese,Corbin,Melancon,3:12,N,27829.0,1.02,-1,
19,"Saturday, Apr 23",ARI,Home,PIT,W,7.0,1.0,9.0,10-9,2.0,1.5,De La Rosa,Nicasio,None,2:58,N,32935.0,.98,1,
20,"Sunday, Apr 24",ARI,Home,PIT,L,10.0,12.0,13.0,10-10,2.0,2.5,Feliz,Marshall,Caminero,5:25,D,27573.0,1.05,-1,
21,"Monday, Apr 25",ARI,Home,STL,W,12.0,7.0,9.0,11-10,2.0,1.5,Greinke,Bowman,None,3:26,N,18208.0,.94,1,
22,"Tuesday, Apr 26",ARI,Home,STL,L,2.0,8.0,9.0,11-11,2.0,1.5,Martinez,Miller,None,2:47,N,19074.0,1.04,-1,
23,"Wednesday, Apr 27",ARI,Home,STL,L,4.0,11.0,9.0,11-12,3.0,1.5,Wainwright,Corbin,None,3:32,N,18339.0,.99,-2,
