,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Thursday, Mar 29",ATL,Home,PHI,W-wo,8.0,5.0,9.0,1-0,1.0,Tied,Vizcaino,Neris,None,3:28,D,40208.0,1.06,1,
2,"Friday, Mar 30",ATL,Home,PHI,L,4.0,5.0,11.0,1-1,3.0,0.5,Hutchison,Carle,None,4:16,N,35123.0,1.10,-1,
3,"Saturday, Mar 31",ATL,Home,PHI,W,15.0,2.0,9.0,2-1,3.0,0.5,McCarthy,Velasquez,None,3:21,N,37777.0,1.09,1,
4,"Monday, Apr 2",ATL,Home,WSN,L,1.0,8.0,9.0,2-2,3.0,2.0,Roark,Newcomb,None,2:55,N,25054.0,1.12,-1,
5,"Tuesday, Apr 3",ATL,Home,WSN,W,13.0,6.0,9.0,3-2,3.0,1.0,Carle,Cole,None,3:10,N,26782.0,1.08,1,
6,"Wednesday, Apr 4",ATL,Home,WSN,W,7.0,1.0,9.0,4-2,2.0,0.5,Foltynewicz,Scherzer,None,3:06,D,29834.0,1.14,2,
7,"Friday, Apr 6",ATL,@,COL,W,8.0,3.0,9.0,5-2,2.0,0.5,McCarthy,Marquez,None,2:56,D,48216.0,1.02,3,
8,"Saturday, Apr 7",ATL,@,COL,L-wo,2.0,3.0,10.0,5-3,2.0,1.5,Ottavino,Vizcaino,None,3:28,N,40120.0,1.07,-1,
9,"Sunday, Apr 8",ATL,@,COL,W,4.0,0.0,9.0,6-3,2.0,1.5,Newcomb,Freeland,None,2:26,D,42031.0,1.02,1,
10,"Monday, Apr 9",ATL,@,WSN,L,0.0,2.0,9.0,6-4,2.0,2.5,Scherzer,Teheran,None,2:21,N,19528.0,1.20,-1,
11,"Tuesday, Apr 10",ATL,@,WSN,L,1.0,4.0,9.0,6-5,2.0,3.5,Strasburg,Foltynewicz,Madson,2:44,N,19357.0,1.12,-2,
12,"Wednesday, Apr 11",ATL,@,WSN,W,5.0,3.0,12.0,7-5,2.0,3.5,Carle,Madson,None,3:43,D,21109.0,1.07,1,
13,"Friday, Apr 13",ATL,@,CHC,W,4.0,0.0,9.0,8-5,2.0,3.5,Sanchez,Darvish,None,3:09,D,29775.0,1.03,2,
14,"Saturday, Apr 14",ATL,@,CHC,L,10.0,14.0,9.0,8-6,3.0,3.5,Wilson,Ramirez,None,3:43,D,36788.0,1.05,-1,
15,"Monday, Apr 16",ATL,Home,PHI,W,2.0,1.0,9.0,9-6,2.0,3.0,Teheran,Nola,Vizcaino,2:40,N,17812.0,1.16,1,
16,"Tuesday, Apr 17",ATL,Home,PHI,L,1.0,5.0,10.0,9-7,3.0,3.0,Neris,Ramirez,None,3:36,N,17913.0,1.20,-1,
17,"Wednesday, Apr 18",ATL,Home,PHI,W,7.0,3.0,9.0,10-7,2.0,3.0,McCarthy,Velasquez,None,3:08,N,22135.0,1.17,1,
18,"Thursday, Apr 19",ATL,Home,NYM,W,12.0,4.0,9.0,11-7,2.0,2.0,Wisler,Harvey,None,3:00,N,23610.0,1.25,2,
19,"Friday, Apr 20",ATL,Home,NYM,L,3.0,5.0,12.0,11-8,3.0,3.0,Gsellman,Ravin,Familia,3:51,N,39016.0,1.31,-1,
20,"Saturday, Apr 21",ATL,Home,NYM,W-wo,4.0,3.0,9.0,12-8,3.0,2.0,Biddle,Familia,None,3:07,N,41396.0,1.24,1,
21,"Monday, Apr 23",ATL,@,CIN,L,4.0,10.0,9.0,12-9,3.0,2.5,Romano,Freeman,Iglesias,3:11,N,9463.0,1.03,-1,
22,"Tuesday, Apr 24",ATL,@,CIN,L-wo,7.0,9.0,12.0,12-10,3.0,3.5,Hughes,Fried,None,4:06,N,14139.0,1.04,-2,
23,"Wednesday, Apr 25",ATL,@,CIN,W,5.0,4.0,9.0,13-10,3.0,2.5,Winkler,Shackelford,Minter,3:07,N,13113.0,.99,1,
24,"Thursday, Apr 26",ATL,@,CIN,W,7.0,4.0,9.0,14-10,3.0,1.5,Freeman,Peralta,Vizcaino,2:41,D,11919.0,1.03,2,
25,"Friday, Apr 27",ATL,@,PHI,L,3.0,7.0,9.0,14-11,3.0,2.5,Nola,Fried,None,2:50,N,27076.0,1.33,-1,
26,"Saturday, Apr 28",ATL,@,PHI,W,4.0,1.0,9.0,15-11,3.0,1.5,Foltynewicz,Pivetta,Vizcaino,3:10,N,27794.0,1.24,1,
27,"Sunday, Apr 29",ATL,@,PHI,W,10.0,1.0,9.0,16-11,2.0,1.5,McCarthy,Velasquez,None,3:26,D,31010.0,1.35,2,
28,"Tuesday, May 1",ATL,@,NYM,W,3.0,2.0,9.0,17-11,2.0,0.5,Soroka,Syndergaard,Vizcaino,2:43,N,22527.0,1.45,3,
29,"Wednesday, May 2",ATL,@,NYM,W,7.0,0.0,9.0,18-11,1.0,up 0.5,Newcomb,Sewald,None,2:24,N,23528.0,1.50,4,
30,"Thursday, May 3",ATL,@,NYM,W,11.0,0.0,9.0,19-11,1.0,up 1.5,Teheran,Vargas,None,2:40,D,26882.0,1.50,5,
31,"Friday, May 4",ATL,Home,SFG,L,4.0,9.0,9.0,19-12,1.0,up 1.5,Stratton,Foltynewicz,None,2:45,N,41807.0,1.26,-1,
32,"Saturday, May 5",ATL,Home,SFG,L,2.0,11.0,9.0,19-13,1.0,up 1.0,Blach,McCarthy,None,2:58,N,38264.0,1.28,-2,
33,"Sunday, May 6",ATL,Home,SFG,L,3.0,4.0,9.0,19-14,1.0,up 1.0,Suarez,Soroka,Strickland,3:09,D,37896.0,1.25,-3,
34,"Tuesday, May 8",ATL,@,TBR,W,1.0,0.0,9.0,20-14,1.0,up 0.5,Newcomb,Snell,Vizcaino,2:55,N,15382.0,1.13,1,
35,"Wednesday, May 9",ATL,@,TBR,W,5.0,2.0,9.0,21-14,1.0,up 0.5,Teheran,Yarbrough,Vizcaino,2:51,N,12082.0,1.20,2,
36,"Thursday, May 10",ATL,@,MIA,W,9.0,2.0,9.0,22-14,1.0,up 0.5,Foltynewicz,Smith,Gohara,3:00,N,8277.0,1.29,3,
37,"Friday, May 11",ATL,@,MIA,L,3.0,6.0,9.0,22-15,1.0,up 0.5,Straily,McCarthy,Ziegler,2:42,N,9149.0,1.32,-1,
38,"Saturday, May 12",ATL,@,MIA,W,10.0,5.0,9.0,23-15,1.0,up 1.0,Minter,Steckenrider,None,3:26,N,12383.0,1.31,1,
39,"Sunday, May 13",ATL,@,MIA,W,4.0,3.0,9.0,24-15,1.0,up 1.0,Newcomb,Urena,Vizcaino,2:50,D,7435.0,1.31,2,
40,"Monday, May 14",ATL,@,CHC,W,6.0,5.0,9.0,25-15,1.0,up 1.5,Teheran,Quintana,Minter,3:14,D,35946.0,1.34,3,
41,"Tuesday, May 15",ATL,Home,CHC,L,2.0,3.0,9.0,25-16,1.0,up 1.0,Edwards,Vizcaino,Morrow,2:51,N,34452.0,1.31,-1,
42,"Wednesday, May 16",ATL,Home,CHC,W,4.0,1.0,9.0,26-16,1.0,up 1.0,Minter,Edwards,Vizcaino,2:55,N,28264.0,1.32,1,
43,"Friday, May 18",ATL,Home,MIA,L,0.0,2.0,9.0,26-17,1.0,up 0.5,Straily,Wisler,Ziegler,2:36,N,27705.0,1.29,-1,
44,"Saturday, May 19",ATL,Home,MIA,W,8.0,1.0,9.0,27-17,1.0,up 0.5,Newcomb,Urena,None,2:28,N,37715.0,1.34,1,
45,"Sunday, May 20",ATL,Home,MIA,W-wo,10.0,9.0,9.0,28-17,1.0,up 1.5,Minter,Guerrero,None,3:19,D,28352.0,1.33,2,
46,"Monday, May 21",ATL,@,PHI,L,0.0,3.0,9.0,28-18,1.0,up 0.5,Pivetta,Foltynewicz,Neris,2:33,N,21284.0,1.61,-1,
47,"Tuesday, May 22",ATL,@,PHI,W,3.0,1.0,9.0,29-18,1.0,up 1.5,McCarthy,Velasquez,Vizcaino,3:18,N,18545.0,1.61,1,
48,"Wednesday, May 23",ATL,@,PHI,L,0.0,4.0,9.0,29-19,1.0,up 0.5,Arrieta,Gohara,None,2:51,N,27647.0,1.67,-1,
49,"Friday, May 25",ATL,@,BOS,L,2.0,6.0,9.0,29-20,1.0,up 0.5,Rodriguez,Teheran,None,3:13,N,37008.0,1.33,-2,
50,"Saturday, May 26",ATL,@,BOS,L,6.0,8.0,9.0,29-21,2.0,0.5,Wright,Freeman,Kimbrel,3:29,D,36510.0,1.31,-3,
51,"Sunday, May 27",ATL,@,BOS,W,7.0,1.0,9.0,30-21,1.0,up 0.5,Foltynewicz,Sale,None,2:53,D,36543.0,1.29,1,
52,"Monday, May 28 (1)",ATL,Home,NYM,W-wo,4.0,3.0,9.0,31-21,1.0,Tied,Carle,Lugo,None,3:05,D,32377.0,1.51,2,2018-04-22 (Rain)
53,"Monday, May 28 (2)",ATL,Home,NYM,L,5.0,8.0,9.0,31-22,1.0,Tied,Gsellman,Minter,Familia,3:21,N,31779.0,1.55,-1,
54,"Tuesday, May 29",ATL,Home,NYM,W-wo,7.0,6.0,9.0,32-22,1.0,Tied,Winkler,Bautista,None,3:11,N,19443.0,1.50,1,
55,"Wednesday, May 30",ATL,Home,NYM,L,1.0,4.0,9.0,32-23,2.0,1.0,Vargas,Teheran,Gsellman,2:42,N,21449.0,1.46,-1,
56,"Thursday, May 31",ATL,Home,WSN,W,4.0,2.0,9.0,33-23,1.0,Tied,Newcomb,Roark,Vizcaino,2:39,N,22380.0,1.67,1,
57,"Friday, Jun 1",ATL,Home,WSN,W,4.0,0.0,9.0,34-23,1.0,up 1.0,Foltynewicz,Strasburg,None,2:24,N,33845.0,1.71,2,
58,"Saturday, Jun 2",ATL,Home,WSN,L,3.0,5.0,14.0,34-24,1.0,Tied,Miller,Socolovich,Doolittle,4:00,D,39578.0,1.75,-1,
59,"Sunday, Jun 3",ATL,Home,WSN,W-wo,4.0,2.0,9.0,35-24,1.0,up 1.0,Vizcaino,Roark,None,2:47,D,33132.0,1.76,1,
