,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Friday, Jul 24",BAL,@,BOS,L,2.0,13.0,9.0,0-1,4.0,1.0,Eovaldi,Milone,None,3:18,N,,1.19,-1,
2,"Saturday, Jul 25",BAL,@,BOS,W,7.0,2.0,9.0,1-1,1.0,Tied,Cobb,Perez,None,3:01,D,,1.16,1,
3,"Sunday, Jul 26",BAL,@,BOS,W,7.0,4.0,9.0,2-1,1.0,Tied,LeBlanc,Weber,Sulser,3:13,D,,1.21,2,
4,"Wednesday, Jul 29",BAL,Home,NYY,L,3.0,9.0,9.0,2-2,3.0,1.0,Cole,Wojciechowski,None,3:12,N,,1.19,-1,2020-08-03 (Schedule change (Covid))
5,"Thursday, Jul 30",BAL,Home,NYY,L,6.0,8.0,9.0,2-3,3.0,2.0,Loaisiga,Sulser,Britton,3:06,N,,1.21,-2,2020-08-04 (Schedule change (Covid))
6,"Friday, Jul 31",BAL,Home,TBR,W,6.0,3.0,9.0,3-3,2.0,2.0,Fry,Fairbanks,Sulser,3:36,N,,1.22,1,
7,"Saturday, Aug 1",BAL,Home,TBR,W-wo,5.0,4.0,11.0,4-3,2.0,2.0,Lakins,Drake,None,3:50,N,,1.22,2,
8,"Sunday, Aug 2",BAL,Home,TBR,W,5.0,1.0,9.0,5-3,2.0,2.0,Phillips,Beeks,Sulser,2:56,D,,1.25,3,
9,"Tuesday, Aug 4",BAL,Home,MIA,L,0.0,4.0,9.0,5-4,2.0,3.0,Lopez,Means,None,2:38,N,,1.10,-1,2020-07-29 (Covid)
10,"Wednesday, Aug 5 (1)",BAL,Home,MIA,L,0.0,1.0,7.0,5-5,2.0,4.0,Vincent,Cobb,Kintzler,2:19,N,,1.10,-2,2020-07-27 (Covid; Played at BAL; MIA was home team (Game2))
11,"Wednesday, Aug 5 (2)",BAL,Home,MIA,L,1.0,2.0,7.0,5-6,2.0,4.0,Moran,Wojciechowski,Tarpley,2:06,D,,1.13,-3,2020-07-30 (Covid; (Game1))
12,"Thursday, Aug 6",BAL,Home,MIA,L,7.0,8.0,9.0,5-7,2.0,4.0,Morin,Phillips,Kintzler,2:58,N,,1.14,-4,2020-07-28 (Covid; Played at BAL; MIA was home team)
13,"Friday, Aug 7",BAL,@,WSN,W,11.0,0.0,9.0,6-7,2.0,3.0,Milone,Sanchez,None,3:00,N,,1.11,1,
14,"Saturday, Aug 8",BAL,@,WSN,W,5.0,3.0,9.0,7-7,2.0,2.5,Armstrong,Hudson,Castro,3:27,N,,1.15,2,
15,"Sunday, Aug 9",BAL,@,WSN,W,6.0,2.0,9.0,8-7,2.0,1.5,Lakins,Strasburg,None,3:11,N,,1.19,3,
16,"Tuesday, Aug 11",BAL,@,PHI,W,10.0,9.0,10.0,9-7,2.0,1.5,Sulser,Guerra,Lakins,4:00,N,,1.16,4,
17,"Wednesday, Aug 12",BAL,@,PHI,W,5.0,4.0,9.0,10-7,2.0,1.5,Armstrong,Eflin,Sulser,3:28,N,,1.18,5,
18,"Thursday, Aug 13",BAL,@,PHI,W,11.0,4.0,9.0,11-7,2.0,1.0,Eshelman,Arrieta,None,3:29,D,,1.14,6,
19,"Friday, Aug 14",BAL,Home,WSN,L,3.0,15.0,9.0,11-8,2.0,2.0,Fedde,Milone,None,3:10,N,,1.12,-1,
20,"Saturday, Aug 15",BAL,Home,WSN,W,7.0,3.0,9.0,12-8,2.0,2.0,Wojciechowski,Corbin,Sulser,3:10,N,,1.20,1,
21,"Sunday, Aug 16",BAL,Home,WSN,L,5.0,6.0,9.0,12-9,3.0,3.0,Scherzer,Lakins,Hudson,3:38,D,,1.10,-1,
22,"Monday, Aug 17",BAL,Home,TOR,L,2.0,7.0,9.0,12-10,3.0,4.0,Ryu,Cobb,None,2:45,N,,1.28,-2,
23,"Tuesday, Aug 18",BAL,Home,TOR,L,7.0,8.0,10.0,12-11,3.0,4.0,Bass,Sulser,None,3:57,N,,1.38,-3,
24,"Wednesday, Aug 19",BAL,Home,TOR,L,2.0,5.0,9.0,12-12,3.0,4.0,Roark,Milone,Dolis,3:00,D,,1.43,-4,
25,"Thursday, Aug 20",BAL,Home,BOS,L,1.0,7.0,9.0,12-13,4.0,4.5,Eovaldi,Wojciechowski,None,3:26,N,,1.28,-5,
26,"Friday, Aug 21",BAL,Home,BOS,L,5.0,8.0,9.0,12-14,4.0,4.5,Hernandez,Means,Barnes,3:04,N,,1.21,-6,
27,"Saturday, Aug 22",BAL,Home,BOS,W-wo,5.0,4.0,10.0,13-14,4.0,4.5,Castro,Barnes,None,3:36,N,,1.14,1,
28,"Sunday, Aug 23",BAL,Home,BOS,W,5.0,4.0,9.0,14-14,3.0,4.5,Eshelman,Godley,Scott,3:17,D,,1.20,2,
29,"Tuesday, Aug 25",BAL,@,TBR,L,2.0,4.0,9.0,14-15,4.0,5.0,Glasnow,Milone,Garcia,2:41,N,,1.36,-1,
30,"Wednesday, Aug 26",BAL,@,TBR,L,3.0,4.0,9.0,14-16,4.0,6.0,Sherriff,Givens,Castillo,3:26,N,,1.29,-2,
31,"Friday, Aug 28",BAL,@,TOR,L-wo,4.0,5.0,10.0,14-17,4.0,7.0,Dolis,Sulser,None,3:19,N,,1.39,-3,2020-08-28 (Played at Buffalo)
32,"Saturday, Aug 29",BAL,@,TOR,L,0.0,5.0,9.0,14-18,4.0,8.0,Walker,Cobb,None,2:44,N,,1.27,-4,2020-08-29 (Played at Buffalo)
33,"Sunday, Aug 30",BAL,@,TOR,L-wo,5.0,6.0,9.0,14-19,4.0,9.0,Bass,Sulser,None,2:58,D,,1.09,-5,2020-08-30 (Played at Buffalo)
34,"Monday, Aug 31",BAL,@,TOR,W,4.0,3.0,11.0,15-19,4.0,9.0,Valdez,Bass,None,3:38,D,,.85,1,2020-08-31 (Played at Buffalo)
35,"Tuesday, Sep 1",BAL,Home,NYM,W,9.0,5.0,9.0,16-19,4.0,8.0,Eshelman,Kilome,None,2:59,N,,.87,2,
36,"Wednesday, Sep 2",BAL,Home,NYM,L,4.0,9.0,9.0,16-20,4.0,9.0,Peterson,Means,None,3:12,D,,.98,-1,
37,"Friday, Sep 4 (1)",BAL,Home,NYY,L,5.0,6.0,9.0,16-21,4.0,9.5,Holder,Lakins,Green,3:37,N,,1.04,-2,2020-08-05 (Schedule change (Covid); (Game2))
38,"Friday, Sep 4 (2)",BAL,Home,NYY,W,6.0,3.0,7.0,17-21,4.0,9.5,Lopez,Garcia,Valdez,2:31,N,,.78,1,
39,"Saturday, Sep 5",BAL,Home,NYY,W,6.0,1.0,9.0,18-21,4.0,8.5,Tate,Cole,None,2:47,N,,1.00,2,
40,"Sunday, Sep 6",BAL,Home,NYY,W,5.0,1.0,9.0,19-21,4.0,8.5,Kremer,Tanaka,None,3:02,D,,1.28,3,
41,"Tuesday, Sep 8",BAL,@,NYM,W,11.0,2.0,9.0,20-21,4.0,7.0,Means,Wacha,None,3:01,N,,1.10,4,
42,"Wednesday, Sep 9",BAL,@,NYM,L,6.0,7.0,9.0,20-22,4.0,7.5,Familia,Harvey,Díaz,3:25,N,,1.29,-1,
43,"Friday, Sep 11 (1)",BAL,@,NYY,L,0.0,6.0,7.0,20-23,4.0,8.5,Cole,Cobb,None,2:02,D,,1.71,-2,2020-09-10 (Rain; (Game2))
44,"Friday, Sep 11 (2)",BAL,@,NYY,L,1.0,10.0,7.0,20-24,4.0,8.5,Tanaka,Akin,None,2:40,N,,1.45,-3,
45,"Saturday, Sep 12",BAL,@,NYY,L-wo,1.0,2.0,10.0,20-25,4.0,9.5,Holder,Harvey,None,3:11,D,,1.23,-4,
46,"Sunday, Sep 13",BAL,@,NYY,L,1.0,3.0,9.0,20-26,4.0,9.5,Britton,Tate,Chapman,2:44,D,,.82,-5,
47,"Monday, Sep 14",BAL,Home,ATL,W,14.0,1.0,9.0,21-26,4.0,9.0,Lopez,Toussaint,None,2:54,N,,.33,1,
48,"Tuesday, Sep 15",BAL,Home,ATL,L,1.0,5.0,9.0,21-27,4.0,10.0,O'Day,Eshelman,None,2:57,N,,.47,-1,
49,"Wednesday, Sep 16",BAL,Home,ATL,W,5.0,1.0,9.0,22-27,4.0,9.0,Akin,Hamels,None,2:35,N,,.32,1,
50,"Thursday, Sep 17 (1)",BAL,Home,TBR,L,1.0,3.0,7.0,22-28,4.0,11.0,Castillo,Valdez,None,2:28,D,,.50,-1,2020-08-27 (Boycott (racial justice); Played at BAL; TBA was home team; (Game2))
51,"Thursday, Sep 17 (2)",BAL,Home,TBR,L,6.0,10.0,7.0,22-29,4.0,11.0,Fairbanks,Sulser,None,2:38,N,,.33,-2,
52,"Friday, Sep 18",BAL,Home,TBR,L,1.0,2.0,9.0,22-30,4.0,12.0,Glasnow,Cobb,Sherriff,2:59,N,,.22,-3,
53,"Saturday, Sep 19",BAL,Home,TBR,L,1.0,3.0,9.0,22-31,4.0,13.0,Morton,Lopez,Thompson,3:04,N,,.19,-4,
54,"Sunday, Sep 20",BAL,Home,TBR,W,2.0,1.0,9.0,23-31,4.0,12.0,Means,Yarbrough,Valdez,2:31,D,,.12,1,
55,"Tuesday, Sep 22",BAL,@,BOS,L,3.0,8.0,9.0,23-32,4.0,12.5,Pivetta,Akin,Barnes,3:31,N,,.06,-1,
56,"Wednesday, Sep 23",BAL,@,BOS,L,1.0,9.0,9.0,23-33,4.0,13.5,Eovaldi,Kremer,None,3:04,N,,.04,-2,
57,"Thursday, Sep 24",BAL,@,BOS,W,13.0,1.0,9.0,24-33,4.0,13.0,Cobb,Perez,None,3:14,N,,.00,1,
58,"Friday, Sep 25",BAL,@,TOR,L,5.0,10.0,9.0,24-34,4.0,14.0,Pearson,Lopez,None,2:41,N,,.00,-1,2020-09-25 (Played at Buffalo)
59,"Saturday, Sep 26",BAL,@,TOR,L,2.0,5.0,9.0,24-35,4.0,15.0,Anderson,Means,Bass,2:58,N,,.00,-2,2020-09-26 (Played at Buffalo)
60,"Sunday, Sep 27",BAL,@,TOR,W,7.0,5.0,9.0,25-35,4.0,15.0,Lakins,Yamaguchi,Valdez,2:52,D,,.00,1,2020-09-27 (Played at Buffalo)
