,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Thursday, Mar 28",BOS,@,SEA,L,4.0,12.0,9.0,0-1,2.0,1.0,Gonzales,Sale,None,3:34,D,45600.0,.94,-1,
2,"Friday, Mar 29",BOS,@,SEA,W,7.0,6.0,9.0,1-1,2.0,0.5,Johnson,Strickland,Barnes,3:20,N,29002.0,.97,1,
3,"Saturday, Mar 30",BOS,@,SEA,L,5.0,6.0,9.0,1-2,5.0,1.0,Leake,Rodriguez,Rumbelow,3:10,N,34933.0,.97,-1,
4,"Sunday, Mar 31",BOS,@,SEA,L,8.0,10.0,9.0,1-3,5.0,2.0,LeBlanc,Porcello,Bradford,3:39,D,33393.0,.93,-2,
5,"Monday, Apr 1",BOS,@,OAK,L,0.0,7.0,9.0,1-4,5.0,3.0,Brooks,Price,None,2:42,N,12417.0,.87,-3,
6,"Tuesday, Apr 2",BOS,@,OAK,L,0.0,1.0,9.0,1-5,5.0,4.0,Fiers,Sale,Treinen,2:42,N,12721.0,.80,-4,
7,"Wednesday, Apr 3",BOS,@,OAK,W,6.0,3.0,9.0,2-5,5.0,3.0,Barnes,Rodney,Brasier,3:21,N,14207.0,.77,1,
8,"Thursday, Apr 4",BOS,@,OAK,L,3.0,7.0,9.0,2-6,5.0,3.5,Anderson,Rodriguez,None,3:16,D,15095.0,.83,-1,
9,"Friday, Apr 5",BOS,@,ARI,L,8.0,15.0,9.0,2-7,5.0,4.5,Godley,Porcello,None,3:23,D,48338.0,.78,-2,
10,"Saturday, Apr 6",BOS,@,ARI,L-wo,4.0,5.0,9.0,2-8,5.0,4.5,Holland,Brewer,None,3:19,N,35969.0,.74,-3,
11,"Sunday, Apr 7",BOS,@,ARI,W,1.0,0.0,9.0,3-8,4.0,4.5,Walden,Kelly,Brasier,2:29,D,31565.0,.67,1,
12,"Tuesday, Apr 9",BOS,Home,TOR,L,5.0,7.0,9.0,3-9,5.0,6.0,Shoemaker,Sale,Giles,3:36,D,36179.0,.80,-1,
13,"Thursday, Apr 11",BOS,Home,TOR,W-wo,7.0,6.0,9.0,4-9,4.0,6.0,Walden,Giles,None,3:21,N,36510.0,.75,1,
14,"Friday, Apr 12",BOS,Home,BAL,W,6.0,4.0,9.0,5-9,3.0,6.0,Rodriguez,Hess,Brasier,2:55,N,33664.0,.84,2,
15,"Saturday, Apr 13",BOS,Home,BAL,L,5.0,9.0,9.0,5-10,4.0,6.0,Cashner,Porcello,None,3:39,D,35823.0,.85,-1,
16,"Sunday, Apr 14",BOS,Home,BAL,W,4.0,0.0,9.0,6-10,3.0,6.0,Price,Means,None,3:07,D,36023.0,.81,1,
17,"Monday, Apr 15",BOS,Home,BAL,L,1.0,8.0,9.0,6-11,4.0,6.5,Straily,Velazquez,None,3:17,D,35860.0,.86,-1,
18,"Tuesday, Apr 16",BOS,@,NYY,L,0.0,8.0,9.0,6-12,5.0,7.5,Paxton,Sale,None,2:23,N,45008.0,.82,-2,
19,"Wednesday, Apr 17",BOS,@,NYY,L,3.0,5.0,9.0,6-13,5.0,8.5,Kahnle,Workman,Chapman,2:56,N,44106.0,.74,-3,
