,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Monday, Mar 31",CHC,@,PIT,L-wo,0.0,1.0,10.0,0-1,4.0,1.0,Morris,Villanueva,None,3:16,D,39833.0,1.06,-1,
2,"Wednesday, Apr 2",CHC,@,PIT,L-wo,3.0,4.0,16.0,0-2,5.0,2.0,Pimentel,Villanueva,None,5:55,N,29762.0,1.06,-2,
3,"Thursday, Apr 3",CHC,@,PIT,W,3.0,2.0,9.0,1-2,3.0,1.0,Hammel,Rodriguez,Strop,2:39,D,11418.0,1.00,1,
4,"Friday, Apr 4",CHC,Home,PHI,L,2.0,7.0,9.0,1-3,4.0,2.0,Hernandez,Wood,None,3:16,D,38283.0,.91,-1,
5,"Saturday, Apr 5",CHC,Home,PHI,L,0.0,2.0,9.0,1-4,4.0,2.0,Lee,Samardzija,Papelbon,2:53,D,30651.0,.89,-2,
6,"Sunday, Apr 6",CHC,Home,PHI,W,8.0,3.0,9.0,2-4,4.0,2.0,Villanueva,Burnett,None,3:14,D,26712.0,.81,1,
7,"Tuesday, Apr 8",CHC,Home,PIT,L,6.0,7.0,9.0,2-5,4.0,3.0,Watson,Strop,Grilli,3:20,N,26177.0,.99,-1,
8,"Wednesday, Apr 9",CHC,Home,PIT,W,7.0,5.0,9.0,3-5,4.0,3.0,Hammel,Rodriguez,None,2:41,N,28247.0,.87,1,
9,"Thursday, Apr 10",CHC,Home,PIT,L,4.0,5.0,9.0,3-6,4.0,4.0,Cole,Russell,Grilli,3:20,D,25502.0,1.00,-1,
10,"Friday, Apr 11",CHC,@,STL,W,6.0,3.0,11.0,4-6,4.0,4.0,Grimm,Rosenthal,Rondon,4:09,N,43903.0,.87,1,
11,"Saturday, Apr 12",CHC,@,STL,L,4.0,10.0,9.0,4-7,4.0,5.0,Wainwright,Villanueva,None,2:40,D,45302.0,.95,-1,
12,"Sunday, Apr 13",CHC,@,STL,L,4.0,6.0,9.0,4-8,4.0,6.0,Wacha,Jackson,Rosenthal,3:10,D,44135.0,.84,-2,
13,"Wednesday, Apr 16 (1)",CHC,@,NYY,L,0.0,3.0,9.0,4-9,5.0,6.5,Tanaka,Hammel,Kelley,2:41,D,36569.0,.72,-3,2014-04-15 (Rain)
14,"Wednesday, Apr 16 (2)",CHC,@,NYY,L,0.0,2.0,9.0,4-10,5.0,6.5,Pineda,Wood,Warren,3:08,N,40073.0,.68,-4,
15,"Friday, Apr 18",CHC,Home,CIN,L,1.0,4.0,9.0,4-11,5.0,7.0,Simon,Samardzija,Broxton,3:09,D,28699.0,.68,-5,
16,"Saturday, Apr 19",CHC,Home,CIN,W,8.0,4.0,9.0,5-11,5.0,7.0,Jackson,Cingrani,None,3:20,D,32966.0,.63,1,
17,"Sunday, Apr 20",CHC,Home,CIN,L,2.0,8.0,9.0,5-12,5.0,8.0,Bailey,Villanueva,None,3:50,D,27927.0,.67,-1,
18,"Monday, Apr 21",CHC,Home,ARI,W,5.0,1.0,9.0,6-12,5.0,8.0,Wood,Arroyo,None,2:40,N,32439.0,.55,1,
19,"Tuesday, Apr 22",CHC,Home,ARI,W,9.0,2.0,9.0,7-12,5.0,7.0,Hammel,McCarthy,None,3:05,N,35381.0,.59,2,
20,"Wednesday, Apr 23",CHC,Home,ARI,L,5.0,7.0,9.0,7-13,5.0,8.0,Cahill,Strop,Reed,3:11,D,32323.0,.64,-1,
21,"Thursday, Apr 24",CHC,Home,ARI,L,2.0,5.0,9.0,7-14,5.0,8.5,Bolsinger,Jackson,Reed,2:51,D,33085.0,.58,-2,
22,"Friday, Apr 25",CHC,@,MIL,L,2.0,5.0,9.0,7-15,5.0,9.5,Garza,Villanueva,Rodriguez,3:12,N,32868.0,.62,-3,
23,"Saturday, Apr 26",CHC,@,MIL,L,3.0,5.0,9.0,7-16,5.0,10.5,Estrada,Wood,Rodriguez,2:51,N,40008.0,.58,-4,
24,"Sunday, Apr 27",CHC,@,MIL,W,4.0,0.0,9.0,8-16,5.0,9.5,Hammel,Peralta,None,2:47,D,45286.0,.55,1,
25,"Tuesday, Apr 29",CHC,@,CIN,L,2.0,3.0,9.0,8-17,5.0,11.0,Simon,Samardzija,Broxton,3:00,N,17579.0,.51,-1,
26,"Wednesday, Apr 30",CHC,@,CIN,W,9.0,4.0,9.0,9-17,5.0,10.0,Jackson,Christiani,None,3:39,N,21847.0,.47,1,
27,"Friday, May 2",CHC,Home,STL,W,6.0,5.0,9.0,10-17,4.0,9.5,Wood,Wainwright,Rondon,3:08,D,28160.0,.54,2,
28,"Saturday, May 3",CHC,Home,STL,W,3.0,0.0,9.0,11-17,4.0,8.5,Schlitter,Wacha,Rondon,2:43,D,37874.0,.60,3,
29,"Sunday, May 4",CHC,Home,STL,L,4.0,5.0,9.0,11-18,4.0,8.5,Siegrist,Rondon,Rosenthal,3:14,N,30023.0,.65,-1,
30,"Monday, May 5",CHC,Home,CHW,L,1.0,3.0,12.0,11-19,4.0,9.5,Webb,Grimm,Lindstrom,3:51,N,33146.0,.51,-2,
31,"Tuesday, May 6",CHC,Home,CHW,L,1.0,5.0,9.0,11-20,5.0,9.5,Putnam,Ramirez,None,3:30,N,34305.0,.47,-3,
32,"Wednesday, May 7",CHC,@,CHW,L,3.0,8.0,9.0,11-21,5.0,9.5,Danks,Wood,None,3:03,N,21075.0,.44,-4,
33,"Thursday, May 8",CHC,@,CHW,W,12.0,5.0,9.0,12-21,5.0,9.0,Schlitter,Carroll,None,4:07,N,26332.0,.42,1,
34,"Friday, May 9",CHC,@,ATL,L-wo,2.0,3.0,10.0,12-22,5.0,9.0,Wood,Wright,None,3:07,N,27145.0,.47,-1,
35,"Saturday, May 10",CHC,@,ATL,L,0.0,2.0,9.0,12-23,5.0,10.0,Santana,Schlitter,Kimbrel,2:19,N,30658.0,.45,-2,
