,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Monday, Apr 4",CHW,@,OAK,W,4.0,3.0,9.0,1-0,1.0,Tied,Sale,Hill,Robertson,2:56,N,35067.0,.91,1,
2,"Tuesday, Apr 5",CHW,@,OAK,W,5.0,4.0,9.0,2-0,1.0,up 0.5,Jones,Doolittle,Robertson,3:28,N,10478.0,1.00,2,
3,"Wednesday, Apr 6",CHW,@,OAK,L,1.0,2.0,9.0,2-1,2.0,0.5,Gray,Rodon,Madson,2:54,N,16468.0,1.05,-1,
4,"Thursday, Apr 7",CHW,@,OAK,W,6.0,1.0,9.0,3-1,1.0,Tied,Latos,Graveman,None,3:06,D,12577.0,1.01,1,
5,"Friday, Apr 8",CHW,Home,CLE,L,1.0,7.0,9.0,3-2,2.0,1.0,Salazar,Danks,None,2:45,D,38019.0,1.20,-1,
6,"Saturday, Apr 9",CHW,Home,CLE,W,7.0,3.0,9.0,4-2,1.0,Tied,Sale,Shaw,None,2:43,D,20192.0,1.09,1,
7,"Monday, Apr 11",CHW,@,MIN,W,4.0,1.0,9.0,5-2,1.0,up 0.5,Quintana,Gibson,Robertson,3:05,D,40638.0,1.12,2,
8,"Wednesday, Apr 13",CHW,@,MIN,W,3.0,0.0,9.0,6-2,1.0,Tied,Rodon,Hughes,Robertson,2:51,N,21008.0,1.10,3,
9,"Thursday, Apr 14",CHW,@,MIN,W,3.0,1.0,9.0,7-2,1.0,Tied,Latos,Santana,Robertson,3:00,D,19736.0,1.10,4,
10,"Friday, Apr 15",CHW,@,TBR,W,1.0,0.0,9.0,8-2,1.0,Tied,Sale,Colome,None,2:23,N,16801.0,1.13,5,
11,"Saturday, Apr 16",CHW,@,TBR,L,2.0,7.0,9.0,8-3,1.0,Tied,Ramirez,Danks,None,2:52,N,30451.0,1.12,-1,
12,"Sunday, Apr 17",CHW,@,TBR,L,2.0,3.0,9.0,8-4,1.0,Tied,Moore,Quintana,Colome,2:36,D,21810.0,1.13,-2,
13,"Monday, Apr 18",CHW,Home,LAA,L,0.0,7.0,9.0,8-5,2.0,0.5,Santiago,Rodon,None,2:58,N,14706.0,1.13,-3,
14,"Tuesday, Apr 19",CHW,Home,LAA,W,5.0,0.0,9.0,9-5,2.0,0.5,Latos,Shoemaker,Jones,2:46,N,12093.0,1.09,1,
15,"Wednesday, Apr 20",CHW,Home,LAA,W,2.0,1.0,9.0,10-5,1.0,up 0.5,Sale,Richards,Robertson,2:59,D,12785.0,1.10,2,
16,"Thursday, Apr 21",CHW,Home,LAA,L,2.0,3.0,9.0,10-6,2.0,0.5,Weaver,Danks,Street,2:48,D,11418.0,1.14,-1,
17,"Friday, Apr 22",CHW,Home,TEX,W,5.0,0.0,9.0,11-6,2.0,0.5,Quintana,Perez,None,2:41,N,15486.0,1.10,1,
18,"Saturday, Apr 23",CHW,Home,TEX,W-wo,4.0,3.0,11.0,12-6,1.0,up 0.5,Albers,Martinez,None,3:57,D,20182.0,1.12,2,
19,"Sunday, Apr 24",CHW,Home,TEX,W,4.0,1.0,9.0,13-6,1.0,up 0.5,Latos,Holland,Robertson,2:52,D,26058.0,1.15,3,
20,"Monday, Apr 25",CHW,@,TOR,W,7.0,5.0,9.0,14-6,1.0,up 1.5,Putnam,Cecil,Robertson,3:24,N,24333.0,1.20,4,
21,"Tuesday, Apr 26",CHW,@,TOR,W,10.0,1.0,9.0,15-6,1.0,up 2.5,Sale,Dickey,None,2:35,N,23726.0,1.18,5,
22,"Wednesday, Apr 27",CHW,@,TOR,W,4.0,0.0,9.0,16-6,1.0,up 3.5,Quintana,Estrada,None,2:52,N,28759.0,1.22,6,
23,"Thursday, Apr 28",CHW,@,BAL,L,2.0,10.0,9.0,16-7,1.0,up 3.0,Givens,Danks,None,3:10,N,14568.0,1.22,-1,
24,"Friday, Apr 29",CHW,@,BAL,L,3.0,6.0,9.0,16-8,1.0,up 3.0,Brach,Rodon,Britton,2:30,N,19912.0,1.21,-2,
25,"Saturday, Apr 30",CHW,@,BAL,W,8.0,7.0,9.0,17-8,1.0,up 3.0,Jones,Britton,None,3:42,N,29152.0,1.24,1,
26,"Sunday, May 1",CHW,@,BAL,W,7.0,1.0,9.0,18-8,1.0,up 3.0,Sale,Jimenez,None,3:07,D,28803.0,1.23,2,
27,"Tuesday, May 3",CHW,Home,BOS,W,4.0,1.0,9.0,19-8,1.0,up 4.0,Quintana,Wright,Robertson,2:53,N,15025.0,1.20,3,
28,"Wednesday, May 4",CHW,Home,BOS,L,2.0,5.0,9.0,19-9,1.0,up 4.0,Buchholz,Rodon,Kimbrel,2:46,N,14383.0,1.22,-1,
29,"Thursday, May 5",CHW,Home,BOS,L,3.0,7.0,9.0,19-10,1.0,up 4.0,Barnes,Johnson,None,3:57,N,20126.0,1.20,-2,
30,"Friday, May 6",CHW,Home,MIN,W,10.0,4.0,9.0,20-10,1.0,up 4.0,Latos,Nolasco,None,2:54,N,23054.0,1.26,1,
31,"Saturday, May 7",CHW,Home,MIN,W,7.0,2.0,9.0,21-10,1.0,up 5.0,Sale,Santana,None,2:58,N,28049.0,1.27,2,
32,"Sunday, May 8",CHW,Home,MIN,W,3.0,1.0,9.0,22-10,1.0,up 5.0,Quintana,Duffey,Robertson,2:30,D,23801.0,1.19,3,
33,"Monday, May 9",CHW,@,TEX,W,8.0,4.0,12.0,23-10,1.0,up 6.0,Jennings,Ramos,None,3:58,N,22958.0,1.16,4,
34,"Tuesday, May 10",CHW,@,TEX,L,11.0,13.0,9.0,23-11,1.0,up 5.0,Claudio,Albers,Tolleson,3:22,N,25804.0,1.14,-1,
35,"Wednesday, May 11",CHW,@,TEX,L,5.0,6.0,9.0,23-12,1.0,up 5.0,Barnette,Jennings,Dyson,3:07,D,29023.0,1.17,-2,
36,"Friday, May 13",CHW,@,NYY,W,7.0,1.0,9.0,24-12,1.0,up 5.0,Sale,Severino,None,2:45,N,34264.0,1.16,1,
37,"Saturday, May 14",CHW,@,NYY,L,1.0,2.0,9.0,24-13,1.0,up 5.0,Nova,Quintana,Chapman,2:24,D,39691.0,1.12,-1,
38,"Sunday, May 15",CHW,@,NYY,L,5.0,7.0,9.0,24-14,1.0,up 5.0,Betances,Albers,Chapman,3:36,D,41979.0,1.18,-2,
39,"Tuesday, May 17",CHW,Home,HOU,L,5.0,6.0,11.0,24-15,1.0,up 3.5,Neshek,Albers,Sipp,3:54,N,13481.0,1.23,-3,
40,"Wednesday, May 18",CHW,Home,HOU,L,3.0,5.0,9.0,24-16,1.0,up 2.5,Fister,Latos,Gregerson,2:57,N,14936.0,1.25,-4,
41,"Thursday, May 19",CHW,Home,HOU,W,2.0,1.0,9.0,25-16,1.0,up 2.5,Sale,McHugh,None,2:11,N,20096.0,1.26,1,
