,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Monday, Apr 3",CIN,Home,PHI,L,3.0,4.0,9.0,0-1,2.0,1.0,Hellickson,Feldman,Gomez,3:04,D,43804.0,.95,-1,
2,"Wednesday, Apr 5",CIN,Home,PHI,W,2.0,0.0,9.0,1-1,1.0,Tied,Finnegan,Eickhoff,Iglesias,2:25,N,19944.0,.92,1,
3,"Thursday, Apr 6",CIN,Home,PHI,W,7.0,4.0,9.0,2-1,1.0,Tied,Reed,Morgan,Storen,3:05,D,10586.0,.94,2,
4,"Friday, Apr 7",CIN,@,STL,W,2.0,0.0,9.0,3-1,1.0,up 1.0,Garrett,Leake,Iglesias,2:17,N,44653.0,1.13,3,
5,"Saturday, Apr 8",CIN,@,STL,L,4.0,10.0,9.0,3-2,1.0,Tied,Wacha,Arroyo,None,2:47,D,46558.0,1.19,-1,
6,"Sunday, Apr 9",CIN,@,STL,W,8.0,0.0,9.0,4-2,1.0,Tied,Feldman,Martinez,None,2:44,D,45200.0,1.14,1,
7,"Monday, Apr 10",CIN,@,PIT,W,7.0,1.0,9.0,5-2,1.0,Tied,Lorenzen,Glasnow,None,3:05,N,28264.0,1.20,2,
8,"Tuesday, Apr 11",CIN,@,PIT,W,6.0,2.0,9.0,6-2,1.0,up 0.5,Storen,Nicasio,Iglesias,3:04,N,11027.0,1.25,3,
9,"Wednesday, Apr 12",CIN,@,PIT,W,9.0,2.0,9.0,7-2,1.0,up 1.5,Garrett,Nova,None,2:54,N,12327.0,1.27,4,
10,"Thursday, Apr 13",CIN,Home,MIL,L,1.0,5.0,9.0,7-3,1.0,up 0.5,Nelson,Arroyo,None,2:25,N,13574.0,1.31,-1,
11,"Friday, Apr 14",CIN,Home,MIL,L,4.0,10.0,9.0,7-4,1.0,up 0.5,Milone,Wood,None,3:21,N,23850.0,1.29,-2,
12,"Saturday, Apr 15",CIN,Home,MIL,W,7.0,5.0,9.0,8-4,1.0,up 1.5,Iglesias,Torres,Lorenzen,3:10,D,31008.0,1.26,1,
13,"Sunday, Apr 16",CIN,Home,MIL,L,2.0,4.0,9.0,8-5,1.0,up 1.0,Peralta,Romano,Feliz,2:56,D,12625.0,1.31,-1,
14,"Tuesday, Apr 18",CIN,Home,BAL,W,9.0,3.0,9.0,9-5,1.0,up 1.5,Arroyo,Gausman,None,3:05,N,16018.0,1.11,1,
15,"Wednesday, Apr 19",CIN,Home,BAL,L,0.0,2.0,9.0,9-6,1.0,up 1.0,Jimenez,Garrett,Brach,2:28,N,15083.0,1.11,-1,
16,"Thursday, Apr 20",CIN,Home,BAL,L,1.0,2.0,10.0,9-7,1.0,up 0.5,O'Day,Wood,Brach,2:37,N,11910.0,1.09,-2,
17,"Friday, Apr 21",CIN,Home,CHC,L,5.0,6.0,11.0,9-8,2.0,0.5,Edwards,Stephenson,Davis,3:57,N,29350.0,1.28,-3,
18,"Saturday, Apr 22",CIN,Home,CHC,L,8.0,12.0,9.0,9-9,2.0,1.5,Arrieta,Reed,None,3:24,D,27189.0,1.20,-4,
19,"Sunday, Apr 23",CIN,Home,CHC,W,7.0,5.0,9.0,10-9,2.0,0.5,Arroyo,Lackey,None,2:26,D,32670.0,1.18,1,
20,"Monday, Apr 24",CIN,@,MIL,L,7.0,11.0,9.0,10-10,2.0,1.5,Torres,Garrett,None,3:24,N,23943.0,1.15,-1,
21,"Tuesday, Apr 25",CIN,@,MIL,L,1.0,9.0,9.0,10-11,3.0,2.5,Davies,Feldman,Milone,2:59,N,28449.0,1.09,-2,
22,"Wednesday, Apr 26",CIN,@,MIL,L,4.0,9.0,9.0,10-12,3.0,2.5,Peralta,Davis,None,2:53,D,19062.0,1.08,-3,
23,"Friday, Apr 28",CIN,@,STL,L,5.0,7.0,9.0,10-13,5.0,2.5,Lynn,Adleman,Oh,3:08,N,42722.0,.99,-4,
24,"Sunday, Apr 30",CIN,@,STL,W,5.0,4.0,9.0,11-13,4.0,2.0,Peralta,Rosenthal,Iglesias,3:20,D,45682.0,.93,1,
25,"Monday, May 1",CIN,Home,PIT,W-wo,4.0,3.0,10.0,12-13,3.0,1.0,Lorenzen,Hudson,None,3:13,N,14753.0,.99,2,
26,"Tuesday, May 2",CIN,Home,PIT,L,3.0,12.0,9.0,12-14,4.0,2.0,Glasnow,Feldman,LeBlanc,3:00,N,13909.0,1.08,-1,
27,"Wednesday, May 3",CIN,Home,PIT,W,7.0,2.0,9.0,13-14,4.0,2.0,Davis,Taillon,None,2:48,N,14297.0,1.00,1,
28,"Thursday, May 4",CIN,Home,PIT,W,4.0,2.0,9.0,14-14,3.0,2.0,Adleman,Nova,Iglesias,2:40,D,17896.0,1.05,2,
29,"Friday, May 5",CIN,Home,SFG,W,13.0,3.0,9.0,15-14,2.0,1.0,Arroyo,Cain,None,3:15,N,22724.0,.98,3,
30,"Saturday, May 6",CIN,Home,SFG,W,14.0,2.0,9.0,16-14,1.0,Tied,Garrett,Blach,Stephenson,2:46,N,20213.0,1.05,4,
31,"Sunday, May 7",CIN,Home,SFG,W,4.0,0.0,9.0,17-14,1.0,up 0.5,Feldman,Cueto,None,2:28,D,21142.0,1.08,5,
32,"Monday, May 8",CIN,Home,NYY,L,4.0,10.0,9.0,17-15,2.0,0.5,Tanaka,Davis,None,3:28,N,25960.0,1.10,-1,
33,"Tuesday, May 9",CIN,Home,NYY,W,5.0,3.0,9.0,18-15,2.0,0.5,Adleman,Sabathia,Iglesias,2:49,N,22035.0,1.07,1,
34,"Thursday, May 11",CIN,@,SFG,W,3.0,2.0,9.0,19-15,2.0,0.5,Peralta,Strickland,Iglesias,2:36,N,41193.0,1.11,2,
35,"Friday, May 12",CIN,@,SFG,L-wo,2.0,3.0,17.0,19-16,2.0,0.5,Gearrin,Stephenson,None,5:28,N,41325.0,1.19,-1,
36,"Saturday, May 13",CIN,@,SFG,L,1.0,3.0,9.0,19-17,3.0,1.5,Moore,Bonilla,Law,2:33,D,41269.0,1.13,-2,
37,"Sunday, May 14",CIN,@,SFG,L,3.0,8.0,9.0,19-18,3.0,2.5,Samardzija,Adleman,None,2:55,D,42122.0,1.09,-3,
38,"Tuesday, May 16",CIN,@,CHC,L,5.0,9.0,9.0,19-19,3.0,2.5,Lackey,Arroyo,None,3:07,N,40653.0,1.16,-4,
39,"Wednesday, May 17",CIN,@,CHC,L,5.0,7.0,9.0,19-20,4.0,3.0,Hendricks,Feldman,Davis,3:06,N,38715.0,1.13,-5,
40,"Thursday, May 18",CIN,@,CHC,L,5.0,9.0,9.0,19-21,4.0,4.0,Lester,Garrett,Uehara,3:03,D,36023.0,1.06,-6,
41,"Friday, May 19",CIN,Home,COL,L,6.0,12.0,9.0,19-22,4.0,5.0,Anderson,Bonilla,None,3:38,N,23184.0,.87,-7,
42,"Saturday, May 20",CIN,Home,COL,W,12.0,8.0,9.0,20-22,4.0,4.5,Wojciechowski,Dunn,None,3:32,D,25188.0,.84,1,
43,"Sunday, May 21",CIN,Home,COL,L,4.0,6.0,9.0,20-23,4.0,4.5,Freeland,Arroyo,Holland,3:14,D,23352.0,.91,-1,
44,"Monday, May 22",CIN,Home,CLE,W,5.0,1.0,9.0,21-23,4.0,4.0,Feldman,Tomlin,None,2:39,N,26794.0,.77,1,
45,"Tuesday, May 23",CIN,Home,CLE,L,7.0,8.0,9.0,21-24,4.0,4.0,Miller,Storen,Allen,3:16,N,26334.0,.83,-1,
46,"Wednesday, May 24",CIN,@,CLE,W,4.0,3.0,9.0,22-24,4.0,3.0,Lorenzen,Allen,Iglesias,3:07,N,19426.0,.77,1,
