,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Thursday, Mar 28",CLE,@,MIN,L,0.0,2.0,9.0,0-1,4.0,1.0,Berrios,Kluber,Rogers,2:18,D,39519.0,1.07,-1,
2,"Saturday, Mar 30",CLE,@,MIN,W,2.0,1.0,9.0,1-1,2.0,1.0,Edwards,Parker,Hand,3:00,D,15271.0,1.04,1,
3,"Sunday, Mar 31",CLE,@,MIN,L,3.0,9.0,9.0,1-2,4.0,1.0,Perez,Carrasco,None,2:39,D,15613.0,1.12,-1,
4,"Monday, Apr 1",CLE,Home,CHW,W,5.0,3.0,9.0,2-2,3.0,0.5,Edwards,Covey,Hand,3:02,D,34519.0,1.00,1,
5,"Wednesday, Apr 3",CLE,Home,CHW,L,3.0,8.0,9.0,2-3,3.0,2.0,Rodon,Kluber,None,3:01,D,10689.0,1.05,-1,
6,"Thursday, Apr 4",CLE,Home,TOR,W,4.0,1.0,9.0,3-3,3.0,1.5,Bauer,Sanchez,Hand,3:06,N,10375.0,.89,1,
7,"Friday, Apr 5",CLE,Home,TOR,W-wo,3.0,2.0,9.0,4-3,3.0,0.5,Cimber,Biagini,None,2:42,N,12881.0,.93,2,
8,"Saturday, Apr 6",CLE,Home,TOR,W,7.0,2.0,9.0,5-3,3.0,0.5,Carrasco,Pannone,None,3:20,D,18429.0,.97,3,
9,"Sunday, Apr 7",CLE,Home,TOR,W,3.0,1.0,9.0,6-3,2.0,0.5,Clevinger,Stroman,Hand,2:36,D,17264.0,1.01,4,
10,"Tuesday, Apr 9",CLE,@,DET,W,8.0,2.0,9.0,7-3,1.0,up 0.5,Kluber,Zimmermann,None,2:32,D,12114.0,1.28,5,
11,"Wednesday, Apr 10",CLE,@,DET,L,1.0,4.0,9.0,7-4,2.0,0.5,Boyd,Bauer,Greene,3:14,D,11128.0,1.33,-1,
12,"Thursday, Apr 11",CLE,@,DET,W,4.0,0.0,9.0,8-4,1.0,up 0.5,Bieber,Turnbull,None,2:47,D,13910.0,1.31,1,
13,"Friday, Apr 12",CLE,@,KCR,L,1.0,8.0,9.0,8-5,1.0,Tied,Keller,Carrasco,None,3:10,N,11950.0,1.17,-1,
14,"Saturday, Apr 13",CLE,@,KCR,L,0.0,3.0,9.0,8-6,2.0,0.5,Bailey,Rodriguez,Peralta,2:26,N,15188.0,1.16,-2,
15,"Sunday, Apr 14",CLE,@,KCR,L-wo,8.0,9.0,9.0,8-7,2.0,1.5,Peralta,Hand,None,3:27,D,14303.0,1.13,-3,
16,"Monday, Apr 15",CLE,@,SEA,W,6.0,4.0,9.0,9-7,2.0,0.5,Bauer,Kikuchi,Hand,3:33,N,11215.0,1.07,1,
17,"Tuesday, Apr 16",CLE,@,SEA,W,4.0,2.0,9.0,10-7,1.0,up 0.5,Bieber,Leake,Hand,3:07,N,11838.0,1.09,2,
18,"Wednesday, Apr 17",CLE,@,SEA,W,1.0,0.0,9.0,11-7,1.0,up 0.5,Carrasco,Swanson,Wittgren,2:32,D,13529.0,1.14,3,
19,"Saturday, Apr 20 (1)",CLE,Home,ATL,W,8.0,4.0,9.0,12-7,1.0,Tied,Kluber,Teheran,None,3:04,D,,1.16,4,2019-04-19 (Inclement weather)
20,"Saturday, Apr 20 (2)",CLE,Home,ATL,L,7.0,8.0,9.0,12-8,1.0,Tied,Jackson,Cimber,Minter,3:54,N,23035.0,1.16,-1,
21,"Sunday, Apr 21",CLE,Home,ATL,L,5.0,11.0,9.0,12-9,2.0,1.0,Fried,Bieber,None,3:22,N,16039.0,1.14,-2,
22,"Tuesday, Apr 23",CLE,Home,MIA,L,1.0,3.0,9.0,12-10,2.0,1.5,Lopez,Ramirez,Romo,2:42,N,12963.0,1.11,-3,
23,"Wednesday, Apr 24",CLE,Home,MIA,W,6.0,2.0,9.0,13-10,2.0,0.5,Wittgren,Conley,None,2:53,D,13046.0,1.06,1,
24,"Thursday, Apr 25",CLE,@,HOU,W,2.0,1.0,9.0,14-10,1.0,Tied,Bauer,Cole,Hand,2:40,N,24948.0,1.18,2,
25,"Friday, Apr 26",CLE,@,HOU,W,6.0,3.0,9.0,15-10,1.0,Tied,Cimber,Rondon,Hand,3:19,N,38084.0,1.17,3,
26,"Saturday, Apr 27",CLE,@,HOU,L-wo,3.0,4.0,10.0,15-11,2.0,1.0,Osuna,Cimber,None,3:12,D,38667.0,1.25,-1,
27,"Sunday, Apr 28",CLE,@,HOU,L,1.0,4.0,9.0,15-12,2.0,2.0,Valdez,Carrasco,Pressly,2:48,N,31025.0,1.18,-2,
28,"Tuesday, Apr 30",CLE,@,MIA,W,7.0,4.0,9.0,16-12,2.0,1.5,Bauer,Alcantara,Hand,2:56,N,7247.0,1.08,1,
29,"Wednesday, May 1",CLE,@,MIA,L,2.0,4.0,9.0,16-13,2.0,2.5,Smith,Kluber,Romo,2:38,N,7262.0,1.15,-1,
30,"Friday, May 3",CLE,Home,SEA,W-wo,2.0,1.0,9.0,17-13,2.0,2.0,Hand,Swarzak,None,2:46,N,16334.0,1.16,1,
31,"Saturday, May 4",CLE,Home,SEA,W,5.0,4.0,9.0,18-13,2.0,2.0,Olson,Sadzeck,Hand,2:41,D,18420.0,1.19,2,
32,"Sunday, May 5",CLE,Home,SEA,L,0.0,10.0,9.0,18-14,2.0,2.0,Swanson,Anderson,None,2:54,D,19665.0,1.21,-1,
33,"Monday, May 6",CLE,Home,CHW,L,1.0,9.0,9.0,18-15,2.0,3.0,Nova,Bauer,None,3:01,N,12745.0,1.27,-2,
34,"Tuesday, May 7",CLE,Home,CHW,L,0.0,2.0,9.0,18-16,2.0,4.0,Giolito,Rodriguez,Colome,2:58,N,12961.0,1.29,-3,
35,"Wednesday, May 8",CLE,Home,CHW,W-wo,5.0,3.0,9.0,19-16,2.0,4.0,Hand,Fry,None,2:50,N,12519.0,1.19,1,
36,"Thursday, May 9",CLE,Home,CHW,W,5.0,0.0,5.0,20-16,2.0,3.5,Carrasco,Banuelos,None,1:45,D,13247.0,1.19,2,
37,"Friday, May 10",CLE,@,OAK,L-wo,3.0,4.0,12.0,20-17,2.0,4.5,Soria,Hand,None,3:41,N,36913.0,1.19,-1,
38,"Saturday, May 11",CLE,@,OAK,L-wo,2.0,3.0,9.0,20-18,2.0,5.0,Treinen,Cole,None,3:13,D,18278.0,1.14,-2,
39,"Sunday, May 12",CLE,@,OAK,W,5.0,3.0,9.0,21-18,2.0,4.0,Rodriguez,Mengden,Hand,2:57,D,18891.0,1.11,1,
40,"Monday, May 13",CLE,@,CHW,L,2.0,5.0,9.0,21-19,2.0,4.0,Lopez,Bieber,Colome,2:28,N,16471.0,1.24,-1,
41,"Tuesday, May 14",CLE,@,CHW,W,9.0,0.0,9.0,22-19,2.0,4.0,Carrasco,Banuelos,None,3:06,D,18823.0,1.32,1,
42,"Thursday, May 16",CLE,Home,BAL,W,14.0,7.0,9.0,23-19,2.0,4.5,Cole,Ynoa,None,3:54,N,16324.0,1.14,2,
43,"Friday, May 17",CLE,Home,BAL,L,1.0,5.0,9.0,23-20,2.0,5.5,Bundy,Rodriguez,None,2:54,N,22999.0,1.12,-1,
44,"Saturday, May 18",CLE,Home,BAL,W,4.0,1.0,9.0,24-20,2.0,5.5,Plutko,Means,Hand,2:36,D,25652.0,1.10,1,
45,"Sunday, May 19",CLE,Home,BAL,W,10.0,0.0,9.0,25-20,2.0,4.5,Bieber,Ramirez,None,2:49,D,21377.0,1.08,2,
46,"Monday, May 20",CLE,Home,OAK,L,4.0,6.0,9.0,25-21,2.0,5.5,Anderson,Carrasco,Treinen,3:19,N,12563.0,1.22,-1,
47,"Tuesday, May 21",CLE,Home,OAK,L,3.0,5.0,9.0,25-22,2.0,6.5,Hendriks,Bauer,Treinen,3:22,N,13705.0,1.17,-2,
48,"Wednesday, May 22",CLE,Home,OAK,L,2.0,7.0,9.0,25-23,2.0,7.0,Montas,Rodriguez,None,3:14,D,17010.0,1.12,-3,
49,"Thursday, May 23",CLE,Home,TBR,L,2.0,7.0,9.0,25-24,2.0,8.0,Yarbrough,Plutko,None,2:47,N,18884.0,1.05,-4,
50,"Friday, May 24",CLE,Home,TBR,W,3.0,1.0,9.0,26-24,2.0,8.0,Cole,Alvarado,Hand,3:20,N,24084.0,.95,1,
51,"Saturday, May 25",CLE,Home,TBR,L,2.0,6.0,9.0,26-25,2.0,9.0,Morton,Carrasco,None,2:55,N,25882.0,1.01,-1,
52,"Sunday, May 26",CLE,Home,TBR,L,3.0,6.0,9.0,26-26,2.0,10.0,Beeks,Bauer,Alvarado,3:18,D,20288.0,.95,-2,
53,"Monday, May 27",CLE,@,BOS,L,5.0,12.0,9.0,26-27,2.0,10.0,Porcello,Rodriguez,None,3:32,D,37113.0,.85,-3,
54,"Tuesday, May 28",CLE,@,BOS,W,7.0,5.0,9.0,27-27,2.0,10.0,Wittgren,Lakins,Hand,4:03,N,32984.0,.81,1,
55,"Wednesday, May 29",CLE,@,BOS,W,14.0,9.0,9.0,28-27,2.0,9.5,Bieber,Weber,Hand,3:42,N,34824.0,.87,2,
56,"Thursday, May 30",CLE,@,CHW,L,4.0,10.0,9.0,28-28,2.0,9.5,Banuelos,Carrasco,None,3:10,N,22182.0,.92,-1,
57,"Friday, May 31",CLE,@,CHW,L,1.0,6.0,9.0,28-29,2.0,10.5,Covey,Bauer,None,2:41,N,21652.0,.85,-2,
58,"Saturday, Jun 1",CLE,@,CHW,W,5.0,2.0,9.0,29-29,2.0,10.5,Perez,Nova,Hand,2:50,D,25873.0,.81,1,
59,"Sunday, Jun 2",CLE,@,CHW,L,0.0,2.0,9.0,29-30,2.0,11.5,Giolito,Plesac,Colome,2:30,D,26453.0,.89,-1,
60,"Tuesday, Jun 4",CLE,Home,MIN,W,5.0,2.0,9.0,30-30,2.0,10.5,Bieber,Smeltzer,Hand,2:25,N,15814.0,.85,1,
61,"Wednesday, Jun 5",CLE,Home,MIN,W,9.0,7.0,9.0,31-30,2.0,9.5,Wittgren,Parker,Hand,3:26,N,16962.0,.94,2,
62,"Thursday, Jun 6",CLE,Home,MIN,L,4.0,5.0,9.0,31-31,2.0,10.5,Berrios,Bauer,Rogers,3:02,N,15350.0,1.12,-1,
63,"Friday, Jun 7",CLE,Home,NYY,W,5.0,2.0,9.0,32-31,2.0,10.5,Plesac,German,Hand,2:23,N,31531.0,.77,1,
