,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Thursday, Mar 28",COL,@,MIA,W,6.0,3.0,9.0,1-0,1.0,Tied,Freeland,Urena,None,2:55,D,25423.0,.97,1,
2,"Friday, Mar 29",COL,@,MIA,W,6.0,1.0,9.0,2-0,1.0,Tied,Marquez,Conley,None,3:04,N,6503.0,.98,2,
3,"Saturday, Mar 30",COL,@,MIA,L,3.0,7.0,9.0,2-1,1.0,Tied,Lopez,Anderson,None,3:00,N,7642.0,1.02,-1,
4,"Sunday, Mar 31",COL,@,MIA,L,0.0,3.0,9.0,2-2,3.0,1.0,Alcantara,Gray,Romo,2:32,D,7559.0,1.03,-2,
5,"Monday, Apr 1",COL,@,TBR,L,1.0,7.0,9.0,2-3,3.0,1.0,Yarbrough,Bettis,None,2:54,N,10860.0,.95,-3,
6,"Tuesday, Apr 2",COL,@,TBR,L,0.0,4.0,9.0,2-4,4.0,2.0,Snell,Freeland,None,2:50,N,10933.0,.91,-4,
7,"Wednesday, Apr 3",COL,@,TBR,W,1.0,0.0,11.0,3-4,3.0,2.0,Davis,Roe,None,3:19,D,11093.0,.87,1,
8,"Friday, Apr 5",COL,Home,LAD,L,6.0,10.0,9.0,3-5,4.0,3.0,Maeda,Anderson,None,3:52,D,48404.0,1.06,-1,
9,"Saturday, Apr 6",COL,Home,LAD,L,2.0,7.0,9.0,3-6,4.0,4.0,Buehler,Gray,Jansen,3:19,N,47880.0,1.01,-2,
10,"Sunday, Apr 7",COL,Home,LAD,L,6.0,12.0,9.0,3-7,4.0,5.0,Kelly,Bettis,None,3:52,N,41232.0,.93,-3,
11,"Monday, Apr 8",COL,Home,ATL,L,6.0,8.0,9.0,3-8,4.0,5.0,Teheran,Freeland,Minter,2:59,N,25199.0,.75,-4,
12,"Tuesday, Apr 9",COL,Home,ATL,L,1.0,7.0,9.0,3-9,5.0,5.0,Fried,Marquez,None,3:12,N,26124.0,.72,-5,
13,"Thursday, Apr 11",COL,@,SFG,L,0.0,1.0,9.0,3-10,5.0,5.5,Samardzija,Gray,Smith,2:34,N,29727.0,.71,-6,
14,"Friday, Apr 12",COL,@,SFG,L-wo,2.0,3.0,18.0,3-11,5.0,6.5,Bergen,Johnson,None,5:35,N,33616.0,.68,-7,
15,"Saturday, Apr 13",COL,@,SFG,L,2.0,5.0,9.0,3-12,5.0,7.5,Bumgarner,Freeland,Dyson,2:48,D,32607.0,.60,-8,
16,"Sunday, Apr 14",COL,@,SFG,W,4.0,0.0,9.0,4-12,5.0,6.5,Marquez,Holland,None,2:25,D,35513.0,.60,1,
17,"Monday, Apr 15",COL,@,SDP,W,5.0,2.0,9.0,5-12,5.0,5.5,Senzatela,Lucchesi,Davis,2:38,N,24867.0,.69,2,
18,"Tuesday, Apr 16",COL,@,SDP,W,8.0,2.0,9.0,6-12,5.0,4.5,Gray,Margevicius,None,3:01,N,24963.0,.78,3,
19,"Thursday, Apr 18",COL,Home,PHI,W,6.0,2.0,9.0,7-12,5.0,5.0,Freeland,Eflin,None,3:03,N,27562.0,.66,4,
20,"Friday, Apr 19",COL,Home,PHI,W-wo,4.0,3.0,12.0,8-12,4.0,5.0,Bettis,Nicasio,None,4:26,N,35423.0,.75,5,
21,"Saturday, Apr 20",COL,Home,PHI,L,5.0,8.0,9.0,8-13,4.0,5.0,Nola,Senzatela,Neris,3:25,N,40530.0,.76,-1,
22,"Sunday, Apr 21",COL,Home,PHI,W,4.0,1.0,9.0,9-13,4.0,5.0,Gray,Eickhoff,None,2:58,D,28287.0,.76,1,
23,"Monday, Apr 22",COL,Home,WSN,W,7.0,5.0,9.0,10-13,4.0,4.5,Oh,Suero,Davis,3:00,N,20517.0,.79,2,
24,"Tuesday, Apr 23",COL,Home,WSN,L,3.0,6.0,9.0,10-14,4.0,4.5,Corbin,Hoffman,Doolittle,3:14,N,24456.0,.81,-1,
25,"Wednesday, Apr 24",COL,Home,WSN,W,9.0,5.0,9.0,11-14,4.0,3.5,Marquez,Sanchez,Davis,2:48,D,33135.0,.77,1,
26,"Friday, Apr 26",COL,@,ATL,W,8.0,4.0,9.0,12-14,4.0,4.0,Senzatela,Fried,Davis,3:21,N,40282.0,.79,2,
27,"Saturday, Apr 27",COL,@,ATL,W,9.0,5.0,9.0,13-14,4.0,4.0,Shaw,Minter,None,2:58,N,38243.0,.84,3,
28,"Sunday, Apr 28",COL,@,ATL,L,7.0,8.0,9.0,13-15,4.0,5.0,Webb,Oh,Jackson,3:47,D,33919.0,.90,-1,
29,"Monday, Apr 29",COL,@,MIL,L,1.0,5.0,9.0,13-16,4.0,5.0,Davies,Freeland,None,2:38,N,23356.0,.86,-2,
30,"Tuesday, Apr 30",COL,@,MIL,L,3.0,4.0,9.0,13-17,4.0,6.0,Chacin,Marquez,Hader,2:22,N,25673.0,.82,-3,
31,"Wednesday, May 1",COL,@,MIL,W,11.0,4.0,9.0,14-17,4.0,5.0,Estevez,Burnes,None,3:44,N,28780.0,.73,1,
32,"Thursday, May 2",COL,@,MIL,W,11.0,6.0,9.0,15-17,4.0,4.5,Gray,Peralta,None,3:24,D,21319.0,.78,2,
33,"Friday, May 3",COL,Home,ARI,L,9.0,10.0,9.0,15-18,4.0,5.5,Ray,Anderson,Holland,3:24,N,29574.0,.96,-1,
34,"Saturday, May 4",COL,Home,ARI,L,2.0,9.0,9.0,15-19,4.0,6.5,Weaver,Freeland,None,2:51,N,37765.0,.87,-2,
