,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Friday, Apr 8",DET,Home,CHW,W-wo,5.0,4.0,9.0,1-0,1.0,Tied,Soto,Hendriks,None,3:30,D,43480.0,1.00,1,
2,"Saturday, Apr 9",DET,Home,CHW,L,2.0,5.0,9.0,1-1,2.0,1.0,Cease,Mize,Bummer,3:11,D,17469.0,1.03,-1,
3,"Sunday, Apr 10",DET,Home,CHW,L,1.0,10.0,9.0,1-2,3.0,1.0,Crick,Skubal,None,2:56,D,15712.0,1.03,-2,
4,"Monday, Apr 11",DET,Home,BOS,W,3.0,1.0,9.0,2-2,2.0,0.5,Fulmer,Davis,Soto,2:50,N,11840.0,.89,1,
5,"Tuesday, Apr 12",DET,Home,BOS,L,3.0,5.0,9.0,2-3,3.0,1.5,Whitlock,Lange,None,2:49,D,15781.0,.96,-1,
6,"Wednesday, Apr 13",DET,Home,BOS,L,7.0,9.0,9.0,2-4,4.0,2.5,Eovaldi,Rodriguez,Robles,3:51,D,10522.0,.91,-2,
7,"Thursday, Apr 14",DET,@,KCR,W,4.0,2.0,9.0,3-4,3.0,1.5,Jimenez,Brentz,Soto,3:10,N,9595.0,.88,1,
8,"Friday, Apr 15",DET,@,KCR,W,2.0,1.0,9.0,4-4,3.0,1.5,Barnes,Keller,Fulmer,2:18,N,16720.0,.98,2,
9,"Saturday, Apr 16",DET,@,KCR,L,1.0,3.0,9.0,4-5,3.0,2.5,Snider,Vest,Staumont,3:02,D,19022.0,1.01,-1,
10,"Tuesday, Apr 19",DET,Home,NYY,L,2.0,4.0,9.0,4-6,4.0,2.5,Schmidt,Alexander,Chapman,3:59,N,15498.0,.97,-2,
11,"Wednesday, Apr 20",DET,Home,NYY,L,3.0,5.0,9.0,4-7,4.0,2.0,Green,Hutchison,Chapman,3:06,N,17268.0,.93,-3,
12,"Thursday, Apr 21",DET,Home,NYY,W,3.0,0.0,9.0,5-7,4.0,2.0,Pineda,Montgomery,Soto,2:34,D,21529.0,.85,1,
13,"Saturday, Apr 23 (1)",DET,Home,COL,W,13.0,0.0,9.0,6-7,3.0,1.0,Skubal,Senzatela,None,3:02,D,37566.0,.86,2,
14,"Saturday, Apr 23 (2)",DET,Home,COL,L,2.0,3.0,9.0,6-8,3.0,1.0,Gomber,Brieske,Colome,2:47,N,28635.0,.89,-1,
