,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Monday, Apr 6",HOU,Home,CLE,W,2.0,0.0,9.0,1-0,1.0,Tied,Keuchel,Kluber,Gregerson,2:30,N,43753.0,.90,1,
2,"Wednesday, Apr 8",HOU,Home,CLE,L,0.0,2.0,9.0,1-1,3.0,0.5,Carrasco,Feldman,Allen,2:40,N,23078.0,.97,-1,
3,"Thursday, Apr 9",HOU,Home,CLE,L,1.0,5.0,9.0,1-2,4.0,1.0,Bauer,Wojciechowski,None,3:08,D,22593.0,.97,-2,
4,"Friday, Apr 10",HOU,@,TEX,W,5.0,1.0,9.0,2-2,2.0,0.5,McHugh,Holland,None,2:45,D,48885.0,1.01,1,
5,"Saturday, Apr 11",HOU,@,TEX,L,2.0,6.0,9.0,2-3,3.0,0.5,Gallardo,Hernandez,None,3:18,N,36833.0,1.07,-1,
6,"Sunday, Apr 12",HOU,@,TEX,W,6.0,4.0,14.0,3-3,1.0,Tied,Harris,Verrett,Deduno,4:24,D,35276.0,1.02,1,
7,"Monday, Apr 13",HOU,Home,OAK,L,1.0,8.0,9.0,3-4,2.0,0.5,Kazmir,Feldman,None,2:51,N,19279.0,1.12,-1,
8,"Tuesday, Apr 14",HOU,Home,OAK,L,0.0,4.0,9.0,3-5,3.0,1.5,Graveman,Peacock,None,2:58,N,18935.0,1.10,-2,
9,"Wednesday, Apr 15",HOU,Home,OAK,W,6.0,1.0,9.0,4-5,2.0,0.5,McHugh,Pomeranz,None,2:42,N,19777.0,1.02,1,
10,"Friday, Apr 17",HOU,Home,LAA,L,3.0,6.0,9.0,4-6,4.0,1.0,Ramos,Qualls,Street,2:57,N,22660.0,1.08,-1,
11,"Saturday, Apr 18",HOU,Home,LAA,W,4.0,0.0,9.0,5-6,2.0,0.5,Keuchel,Wilson,None,2:38,N,28209.0,1.04,1,
12,"Sunday, Apr 19",HOU,Home,LAA,W,4.0,3.0,9.0,6-6,1.0,up 0.5,Feldman,Richards,Gregerson,3:20,D,24254.0,1.08,2,
13,"Monday, Apr 20",HOU,@,SEA,W,7.0,5.0,9.0,7-6,1.0,up 0.5,Sipp,Farquhar,Gregerson,3:26,N,15129.0,1.18,3,
14,"Tuesday, Apr 21",HOU,@,SEA,W,6.0,3.0,9.0,8-6,1.0,up 1.5,McHugh,Furbush,Qualls,3:00,N,13949.0,1.19,4,
15,"Wednesday, Apr 22",HOU,@,SEA,L,2.0,3.0,9.0,8-7,1.0,up 0.5,Happ,Hernandez,Rodney,2:34,N,14756.0,1.17,-1,
16,"Friday, Apr 24",HOU,@,OAK,W,5.0,4.0,11.0,9-7,1.0,up 1.5,Gregerson,O'Flaherty,Qualls,3:36,N,18205.0,1.25,1,
17,"Saturday, Apr 25",HOU,@,OAK,W,9.0,3.0,9.0,10-7,1.0,up 1.5,Feldman,Graveman,None,2:55,D,24342.0,1.19,2,
18,"Sunday, Apr 26",HOU,@,OAK,W,7.0,6.0,9.0,11-7,1.0,up 2.5,Sipp,Clippard,Gregerson,3:11,D,22080.0,1.27,3,
19,"Monday, Apr 27",HOU,@,SDP,W,9.0,4.0,9.0,12-7,1.0,up 3.0,Neshek,Benoit,None,3:28,N,19532.0,1.16,4,
20,"Tuesday, Apr 28",HOU,@,SDP,W,14.0,3.0,9.0,13-7,1.0,up 4.0,Hernandez,Ross,None,3:17,N,22796.0,1.14,5,
21,"Wednesday, Apr 29",HOU,@,SDP,W,7.0,2.0,9.0,14-7,1.0,up 4.0,Keuchel,Cashner,None,2:34,D,21824.0,1.23,6,
22,"Thursday, Apr 30",HOU,Home,SEA,W-wo,3.0,2.0,10.0,15-7,1.0,up 4.0,Gregerson,Leone,None,3:01,N,19108.0,1.39,7,
