,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Thursday, Apr 1",KCR,Home,TEX,W,14.0,10.0,9.0,1-0,1.0,Tied,Hernandez,Cody,Davis,4:26,D,9155.0,.96,1,
2,"Saturday, Apr 3",KCR,Home,TEX,W,11.0,4.0,9.0,2-0,1.0,Tied,Minor,Sborz,None,2:53,D,8889.0,.99,2,
3,"Sunday, Apr 4",KCR,Home,TEX,L,3.0,7.0,9.0,2-1,1.0,Tied,Lyles,Singer,None,2:53,D,8869.0,1.04,-1,
4,"Monday, Apr 5",KCR,@,CLE,W,3.0,0.0,9.0,3-1,1.0,Tied,Duffy,Allen,Hahn,2:52,D,8914.0,1.12,1,
5,"Wednesday, Apr 7",KCR,@,CLE,L,2.0,4.0,9.0,3-2,2.0,0.5,Clase,Holland,Wittgren,2:53,D,5908.0,1.08,-1,
6,"Thursday, Apr 8",KCR,@,CHW,L,0.0,6.0,9.0,3-3,2.0,1.5,Lynn,Keller,None,2:48,D,8207.0,1.14,-2,
7,"Sunday, Apr 11",KCR,@,CHW,W,4.0,3.0,10.0,4-3,2.0,0.5,Holland,Crochet,Zimmer,3:54,D,7695.0,1.12,1,
8,"Monday, Apr 12",KCR,Home,LAA,L,3.0,10.0,9.0,4-4,3.0,0.5,Cobb,Singer,None,3:28,N,6962.0,1.06,-1,
9,"Tuesday, Apr 13",KCR,Home,LAA,W,3.0,2.0,9.0,5-4,2.0,0.5,Duffy,Bundy,Holland,2:57,N,6404.0,.95,1,
10,"Wednesday, Apr 14",KCR,Home,LAA,W,6.0,1.0,9.0,6-4,1.0,up 0.5,Keller,Canning,None,3:10,D,6814.0,1.00,2,
11,"Thursday, Apr 15",KCR,Home,TOR,W,7.0,5.0,9.0,7-4,1.0,up 0.5,Junis,Kay,Barlow,2:51,N,6266.0,1.06,3,
12,"Saturday, Apr 17 (1)",KCR,Home,TOR,L,1.0,5.0,7.0,7-5,1.0,up 1.5,Matz,Minor,None,2:10,D,9048.0,1.09,-1,
13,"Saturday, Apr 17 (2)",KCR,Home,TOR,W-wo,3.0,2.0,7.0,8-5,1.0,up 1.5,Holland,Payamps,None,2:21,N,8950.0,1.09,1,
14,"Sunday, Apr 18",KCR,Home,TOR,W,2.0,0.0,9.0,9-5,1.0,up 1.5,Zimmer,Zeuch,Holland,2:54,D,9042.0,1.11,2,
15,"Monday, Apr 19",KCR,Home,TBR,L,1.0,4.0,9.0,9-6,1.0,up 1.0,Fleming,Duffy,None,3:00,N,5589.0,1.10,-1,
16,"Tuesday, Apr 20",KCR,Home,TBR,L,7.0,14.0,9.0,9-7,1.0,up 1.0,Kittredge,Keller,Richards,3:35,N,4481.0,1.12,-2,
17,"Wednesday, Apr 21",KCR,Home,TBR,W-wo,9.0,8.0,9.0,10-7,1.0,up 1.5,Barlow,Castillo,None,3:13,N,5053.0,1.08,1,
18,"Friday, Apr 23",KCR,@,DET,W,6.0,2.0,9.0,11-7,1.0,up 1.5,Minor,Mize,None,3:02,N,8000.0,1.23,2,
19,"Saturday, Apr 24",KCR,@,DET,W,2.0,1.0,9.0,12-7,1.0,up 1.5,Singer,Boyd,Staumont,2:10,D,8000.0,1.27,3,
20,"Sunday, Apr 25",KCR,@,DET,W,4.0,0.0,9.0,13-7,1.0,up 1.5,Duffy,Skubal,None,3:23,D,8000.0,1.33,4,
21,"Monday, Apr 26",KCR,@,DET,W,3.0,2.0,9.0,14-7,1.0,up 2.0,Keller,Turnbull,Staumont,2:56,D,7288.0,1.31,5,
22,"Tuesday, Apr 27",KCR,@,PIT,L,1.0,2.0,9.0,14-8,1.0,up 2.0,Underwood,Junis,Rodriguez,2:20,N,5510.0,1.24,-1,
23,"Wednesday, Apr 28",KCR,@,PIT,W,9.0,6.0,9.0,15-8,1.0,up 2.5,Zimmer,Keller,Staumont,3:55,N,4226.0,1.20,1,
24,"Friday, Apr 30",KCR,@,MIN,L,1.0,9.0,9.0,15-9,1.0,up 1.5,Pineda,Singer,None,3:09,N,9982.0,1.34,-1,
25,"Saturday, May 1",KCR,@,MIN,W,11.0,3.0,9.0,16-9,1.0,up 1.5,Duffy,Shoemaker,None,2:59,D,9993.0,1.37,1,
26,"Sunday, May 2",KCR,@,MIN,L,4.0,13.0,9.0,16-10,1.0,up 1.5,Berrios,Keller,None,3:02,D,9997.0,1.38,-1,
27,"Monday, May 3",KCR,Home,CLE,L,6.0,8.0,9.0,16-11,1.0,up 1.0,Shaw,Junis,Clase,3:40,N,6919.0,1.51,-2,
