,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Monday, Apr 6",LAA,@,SEA,L,1.0,4.0,9.0,0-1,4.0,1.0,Hernandez,Weaver,Rodney,2:33,D,45909.0,1.07,-1,
2,"Tuesday, Apr 7",LAA,@,SEA,W,2.0,0.0,9.0,1-1,2.0,0.5,Wilson,Paxton,Street,2:13,N,26545.0,1.06,1,
3,"Wednesday, Apr 8",LAA,@,SEA,W,5.0,3.0,9.0,2-1,1.0,Tied,Shoemaker,Iwakuma,Street,2:48,N,25495.0,1.06,2,
4,"Friday, Apr 10",LAA,Home,KCR,L,2.0,4.0,9.0,2-2,2.0,0.5,Vargas,Santiago,Davis,3:16,N,44489.0,1.01,-1,
5,"Saturday, Apr 11",LAA,Home,KCR,L,4.0,6.0,9.0,2-3,3.0,0.5,Guthrie,Weaver,Holland,2:41,N,44154.0,.96,-2,
6,"Sunday, Apr 12",LAA,Home,KCR,L,2.0,9.0,9.0,2-4,5.0,1.0,Ventura,Wilson,None,2:56,D,37060.0,.93,-3,
7,"Monday, Apr 13",LAA,@,TEX,W,6.0,3.0,9.0,3-4,2.0,0.5,Shoemaker,Detwiler,Street,3:17,N,18401.0,1.03,1,
8,"Tuesday, Apr 14",LAA,@,TEX,L,2.0,8.0,9.0,3-5,3.0,1.5,Martinez,Rucinski,None,2:57,N,21805.0,1.08,-1,
9,"Wednesday, Apr 15",LAA,@,TEX,W,10.0,2.0,9.0,4-5,2.0,0.5,Santiago,Ranaudo,None,3:13,D,25757.0,1.01,1,
10,"Friday, Apr 17",LAA,@,HOU,W,6.0,3.0,9.0,5-5,1.0,up 0.5,Ramos,Qualls,Street,2:57,N,22660.0,1.14,2,
11,"Saturday, Apr 18",LAA,@,HOU,L,0.0,4.0,9.0,5-6,2.0,0.5,Keuchel,Wilson,None,2:38,N,28209.0,1.21,-1,
12,"Sunday, Apr 19",LAA,@,HOU,L,3.0,4.0,9.0,5-7,3.0,1.0,Feldman,Richards,Gregerson,3:20,D,24254.0,1.11,-2,
13,"Monday, Apr 20",LAA,Home,OAK,L,3.0,6.0,9.0,5-8,3.0,2.0,Otero,Shoemaker,Clippard,2:57,N,35228.0,1.07,-3,
14,"Tuesday, Apr 21",LAA,Home,OAK,W,14.0,1.0,9.0,6-8,3.0,2.0,Santiago,Pomeranz,None,3:15,N,32137.0,1.02,1,
15,"Wednesday, Apr 22",LAA,Home,OAK,L,2.0,9.0,9.0,6-9,3.0,2.0,Gray,Salas,None,2:58,N,30034.0,1.07,-1,
16,"Thursday, Apr 23",LAA,Home,OAK,W,2.0,0.0,9.0,7-9,3.0,1.5,Tropeano,Chavez,Street,2:20,D,24304.0,1.04,1,
17,"Friday, Apr 24",LAA,Home,TEX,W,3.0,2.0,9.0,8-9,2.0,1.5,Richards,Kela,Street,2:47,N,41054.0,1.02,2,
