,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Monday, Apr 3",LAD,Home,SDP,W,14.0,3.0,9.0,1-0,1.0,Tied,Kershaw,Chacin,None,2:52,D,53701.0,1.06,1,
2,"Tuesday, Apr 4",LAD,Home,SDP,L,0.0,4.0,9.0,1-1,2.0,1.0,Richard,Maeda,None,2:44,N,42196.0,1.08,-1,
3,"Wednesday, Apr 5",LAD,Home,SDP,W,3.0,1.0,9.0,2-1,1.0,Tied,Hill,Cahill,Jansen,2:43,N,38373.0,1.03,1,
4,"Thursday, Apr 6",LAD,Home,SDP,W,10.0,2.0,9.0,3-1,1.0,Tied,McCarthy,Weaver,None,3:14,D,36501.0,1.12,2,
5,"Friday, Apr 7",LAD,@,COL,L,1.0,2.0,9.0,3-2,3.0,1.0,Freeland,Ryu,McGee,3:00,D,49169.0,1.18,-1,
6,"Saturday, Apr 8",LAD,@,COL,L,2.0,4.0,9.0,3-3,3.0,2.0,Dunn,Kershaw,Holland,2:59,N,48012.0,1.15,-2,
7,"Sunday, Apr 9",LAD,@,COL,W,10.0,6.0,9.0,4-3,3.0,2.0,Maeda,Anderson,None,3:49,D,33529.0,1.09,1,
8,"Monday, Apr 10",LAD,@,CHC,L-wo,2.0,3.0,9.0,4-4,3.0,2.0,Davis,Romo,None,3:37,N,41166.0,.98,-1,
9,"Wednesday, Apr 12",LAD,@,CHC,W,2.0,0.0,9.0,5-4,3.0,1.5,McCarthy,Lackey,Jansen,3:20,N,40844.0,.96,1,
10,"Thursday, Apr 13",LAD,@,CHC,L,0.0,4.0,9.0,5-5,3.0,2.0,Anderson,Ryu,None,3:01,D,38379.0,1.00,-1,
11,"Friday, Apr 14",LAD,Home,ARI,W,7.0,1.0,9.0,6-5,3.0,1.0,Kershaw,Greinke,None,3:06,N,49438.0,1.10,1,
12,"Saturday, Apr 15",LAD,Home,ARI,W,8.0,4.0,9.0,7-5,2.0,0.5,Wood,Corbin,Jansen,3:03,N,48070.0,1.11,2,
