,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Tuesday, Apr 5",MIA,Home,DET,L,7.0,8.0,11.0,0-1,3.0,1.0,VerHagen,Breslow,Greene,3:47,N,36911.0,.93,-1,
2,"Wednesday, Apr 6",MIA,Home,DET,L,3.0,7.0,9.0,0-2,3.0,2.0,Sanchez,Fernandez,Rodriguez,3:22,D,17883.0,.87,-2,
3,"Thursday, Apr 7",MIA,@,WSN,W,6.0,4.0,9.0,1-2,3.0,1.0,Phelps,Roark,Ramos,3:32,D,41650.0,.99,1,
4,"Sunday, Apr 10",MIA,@,WSN,L,2.0,4.0,9.0,1-3,3.0,2.0,Ross,Koehler,Papelbon,2:52,D,24593.0,1.13,-1,
5,"Monday, Apr 11",MIA,@,NYM,W,10.0,3.0,9.0,2-3,2.0,2.0,Narveson,Matz,None,3:45,N,24318.0,1.02,1,
6,"Tuesday, Apr 12",MIA,@,NYM,W,2.0,1.0,9.0,3-3,2.0,2.0,Phelps,Henderson,Ramos,3:17,N,28923.0,1.10,2,
7,"Wednesday, Apr 13",MIA,@,NYM,L,1.0,2.0,9.0,3-4,2.0,3.0,Blevins,McGowan,Familia,2:53,D,22113.0,1.10,-1,
8,"Friday, Apr 15",MIA,Home,ATL,L,3.0,6.0,9.0,3-5,4.0,4.5,Ogando,Phelps,Vizcaino,3:05,N,18071.0,.96,-2,
9,"Saturday, Apr 16",MIA,Home,ATL,L,4.0,6.0,9.0,3-6,4.0,5.5,Norris,Koehler,Grilli,2:55,N,33123.0,.92,-3,
10,"Sunday, Apr 17",MIA,Home,ATL,L,5.0,6.0,10.0,3-7,4.0,5.5,Grilli,Jackson,Wisler,3:29,D,24780.0,.87,-4,
11,"Monday, Apr 18",MIA,Home,WSN,W,6.0,1.0,9.0,4-7,4.0,4.5,Fernandez,Roark,None,2:43,N,16112.0,.92,1,
12,"Tuesday, Apr 19",MIA,Home,WSN,L,0.0,7.0,9.0,4-8,4.0,5.5,Strasburg,Conley,None,2:38,N,16529.0,.97,-1,
13,"Wednesday, Apr 20",MIA,Home,WSN,L,1.0,3.0,9.0,4-9,4.0,6.5,Petit,Chen,Papelbon,2:33,N,16961.0,.91,-2,
14,"Thursday, Apr 21",MIA,Home,WSN,W,5.0,1.0,9.0,5-9,4.0,5.5,Koehler,Scherzer,None,2:38,D,17395.0,.80,1,
15,"Friday, Apr 22",MIA,@,SFG,L,1.0,8.0,9.0,5-10,4.0,6.5,Samardzija,Cosart,None,3:09,N,41760.0,.78,-1,
16,"Saturday, Apr 23",MIA,@,SFG,L,2.0,7.0,9.0,5-11,4.0,7.5,Peavy,Fernandez,None,2:46,N,41886.0,.68,-2,
