,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Thursday, Apr 1",MIL,Home,MIN,W-wo,6.0,5.0,10.0,1-0,1.0,Tied,Hader,Dobnak,None,4:14,D,11740.0,.90,1,
2,"Saturday, Apr 3",MIL,Home,MIN,L,0.0,2.0,9.0,1-1,1.0,Tied,Berrios,Burnes,Colome,2:46,N,11383.0,.99,-1,
3,"Sunday, Apr 4",MIL,Home,MIN,L,2.0,8.0,9.0,1-2,3.0,1.0,Pineda,Houser,None,3:29,D,10666.0,.91,-2,
4,"Monday, Apr 5",MIL,@,CHC,L,3.0,5.0,9.0,1-3,4.0,2.0,Williams,Anderson,Mills,2:49,N,10343.0,1.05,-3,
5,"Tuesday, Apr 6",MIL,@,CHC,W,4.0,0.0,9.0,2-3,4.0,2.0,Peralta,Alzolay,None,3:06,N,10343.0,.95,1,
6,"Wednesday, Apr 7",MIL,@,CHC,W,4.0,2.0,10.0,3-3,3.0,2.0,Hader,Workman,Boxberger,3:32,D,10343.0,1.01,2,
7,"Thursday, Apr 8",MIL,@,STL,L,1.0,3.0,9.0,3-4,4.0,2.5,Gallegos,Rasmussen,Reyes,3:05,D,13328.0,1.08,-1,
8,"Saturday, Apr 10",MIL,@,STL,W,9.0,5.0,9.0,4-4,3.0,2.0,Houser,Martinez,None,3:43,D,13304.0,.99,1,
9,"Sunday, Apr 11",MIL,@,STL,W,9.0,3.0,9.0,5-4,2.0,1.0,Anderson,Ponce de Leon,None,3:04,D,13176.0,1.07,2,
10,"Monday, Apr 12",MIL,Home,CHC,W,6.0,3.0,9.0,6-4,2.0,1.0,Peralta,Alzolay,Hader,3:04,N,11209.0,1.13,3,
11,"Tuesday, Apr 13",MIL,Home,CHC,L,2.0,3.0,9.0,6-5,2.0,1.0,Strop,Suter,Kimbrel,3:07,N,11025.0,1.19,-1,
12,"Wednesday, Apr 14",MIL,Home,CHC,W,7.0,0.0,9.0,7-5,1.0,Tied,Burnes,Arrieta,None,3:06,D,10598.0,1.12,1,
13,"Friday, Apr 16",MIL,Home,PIT,L,1.0,6.0,9.0,7-6,2.0,1.0,Brubaker,Houser,None,3:09,N,11967.0,1.18,-1,
14,"Saturday, Apr 17",MIL,Home,PIT,W,7.0,1.0,9.0,8-6,2.0,1.0,Anderson,Cahill,None,2:42,N,12038.0,1.17,1,
15,"Sunday, Apr 18",MIL,Home,PIT,L,5.0,6.0,10.0,8-7,2.0,1.0,Rodriguez,Feyereisen,None,3:47,D,11772.0,1.17,-1,
16,"Monday, Apr 19",MIL,@,SDP,W,3.0,1.0,9.0,9-7,2.0,0.5,Woodruff,Musgrove,Hader,2:49,N,15250.0,1.02,1,
17,"Tuesday, Apr 20",MIL,@,SDP,W,6.0,0.0,9.0,10-7,1.0,up 0.5,Burnes,Paddack,None,2:50,N,15250.0,1.06,2,
18,"Wednesday, Apr 21",MIL,@,SDP,W,4.0,2.0,9.0,11-7,1.0,up 1.5,Suter,Kela,Hader,3:40,D,15250.0,1.13,3,
19,"Friday, Apr 23",MIL,@,CHC,L,2.0,15.0,9.0,11-8,1.0,up 1.0,Hendricks,Anderson,None,3:06,D,10343.0,1.34,-1,
20,"Saturday, Apr 24",MIL,@,CHC,W,4.0,3.0,9.0,12-8,1.0,up 2.0,Suter,Chafin,Hader,3:32,D,10343.0,1.24,1,
21,"Sunday, Apr 25",MIL,@,CHC,W,6.0,0.0,9.0,13-8,1.0,up 2.0,Woodruff,Arrieta,None,3:23,D,10343.0,1.32,2,
22,"Monday, Apr 26",MIL,Home,MIA,L,0.0,8.0,9.0,13-9,1.0,up 2.0,Rogers,Burnes,None,3:20,N,10749.0,1.21,-1,
23,"Tuesday, Apr 27",MIL,Home,MIA,W,5.0,4.0,9.0,14-9,1.0,up 2.0,Houser,Curtiss,Hader,3:15,N,10620.0,1.19,1,
24,"Wednesday, Apr 28",MIL,Home,MIA,L,2.0,6.0,9.0,14-10,1.0,up 2.0,Alcantara,Godley,None,3:04,D,11564.0,1.20,-1,
25,"Thursday, Apr 29",MIL,Home,LAD,W,2.0,1.0,9.0,15-10,1.0,up 2.0,Lauer,Bauer,Hader,2:45,N,10621.0,1.20,1,
26,"Friday, Apr 30",MIL,Home,LAD,W,3.0,1.0,9.0,16-10,1.0,up 2.0,Peralta,Uceta,Hader,2:44,N,12044.0,1.22,2,
27,"Saturday, May 1",MIL,Home,LAD,W-wo,6.0,5.0,11.0,17-10,1.0,up 2.0,Perdomo,Vesia,None,4:48,N,12139.0,1.25,3,
28,"Sunday, May 2",MIL,Home,LAD,L,4.0,16.0,9.0,17-11,1.0,up 1.0,Urias,Bettinger,None,3:11,D,12130.0,1.27,-1,
29,"Monday, May 3",MIL,@,PHI,L,3.0,4.0,9.0,17-12,1.0,Tied,Velasquez,Houser,Neris,3:18,N,10651.0,1.25,-2,
30,"Tuesday, May 4",MIL,@,PHI,L,5.0,6.0,9.0,17-13,2.0,0.5,Nola,Lauer,Coonrod,3:21,N,10388.0,1.23,-3,
31,"Wednesday, May 5",MIL,@,PHI,L,4.0,5.0,9.0,17-14,2.0,1.0,Kintzler,Peralta,Alvarado,3:07,N,10110.0,1.19,-4,
32,"Thursday, May 6",MIL,@,PHI,L,0.0,2.0,9.0,17-15,2.0,1.0,Wheeler,Woodruff,None,2:41,D,10768.0,1.17,-5,
33,"Friday, May 7",MIL,@,MIA,L,1.0,6.0,9.0,17-16,2.0,2.0,Rogers,Suter,None,2:59,N,5507.0,1.13,-6,
34,"Saturday, May 8",MIL,@,MIA,W,6.0,2.0,9.0,18-16,2.0,2.0,Houser,Castano,None,3:02,N,5764.0,1.09,1,
35,"Sunday, May 9",MIL,@,MIA,W,2.0,1.0,10.0,19-16,2.0,2.0,Hader,Bass,Rasmussen,3:15,D,5105.0,1.12,2,
36,"Tuesday, May 11",MIL,Home,STL,L,1.0,6.0,11.0,19-17,2.0,3.0,Reyes,Boxberger,None,3:55,N,10595.0,1.40,-1,
37,"Wednesday, May 12",MIL,Home,STL,W,4.0,1.0,9.0,20-17,2.0,2.0,Williams,Helsley,Hader,3:07,N,10226.0,1.38,1,
38,"Thursday, May 13",MIL,Home,STL,L,0.0,2.0,9.0,20-18,2.0,3.0,Flaherty,Burnes,Reyes,3:31,D,10554.0,1.49,-1,
39,"Friday, May 14",MIL,Home,ATL,L,3.0,6.0,9.0,20-19,2.0,3.0,Smyly,Houser,None,3:23,N,12130.0,1.07,-2,
40,"Saturday, May 15",MIL,Home,ATL,L,1.0,5.0,9.0,20-20,2.0,3.0,Anderson,Anderson,None,2:54,N,16344.0,1.12,-3,
41,"Sunday, May 16",MIL,Home,ATL,W,10.0,9.0,9.0,21-20,2.0,2.0,Peralta,Ynoa,Hader,3:45,D,16044.0,1.07,1,
42,"Tuesday, May 18",MIL,@,KCR,L,0.0,2.0,9.0,21-21,3.0,3.0,Brentz,Woodruff,Staumont,2:48,N,9298.0,1.10,-1,
43,"Wednesday, May 19",MIL,@,KCR,L,4.0,6.0,9.0,21-22,3.0,4.0,Barlow,Feyereisen,Staumont,3:10,N,8950.0,1.01,-2,
44,"Friday, May 21",MIL,@,CIN,L,4.0,9.0,9.0,21-23,3.0,4.0,Hoffman,Houser,None,3:29,N,17234.0,1.06,-3,
45,"Saturday, May 22",MIL,@,CIN,W,4.0,3.0,9.0,22-23,3.0,4.0,Suter,Hembree,Hader,3:07,D,17611.0,.98,1,
46,"Sunday, May 23",MIL,@,CIN,W,9.0,4.0,9.0,23-23,3.0,3.0,Boxberger,Castillo,None,3:30,D,16171.0,1.11,2,
47,"Monday, May 24",MIL,Home,SDP,W,5.0,3.0,9.0,24-23,3.0,2.0,Woodruff,Snell,Hader,3:12,N,14524.0,1.09,3,
48,"Tuesday, May 25",MIL,Home,SDP,L,1.0,7.0,9.0,24-24,3.0,2.0,Hill,Burnes,None,3:06,N,13566.0,1.17,-1,
