,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Thursday, Mar 29",MIN,@,BAL,L-wo,2.0,3.0,11.0,0-1,3.0,1.0,Bleier,Rodney,None,3:31,D,45469.0,.97,-1,
2,"Saturday, Mar 31",MIN,@,BAL,W,6.0,2.0,9.0,1-1,2.0,1.0,Gibson,Cashner,None,2:50,N,17763.0,.90,1,
3,"Sunday, Apr 1",MIN,@,BAL,W,7.0,0.0,9.0,2-1,2.0,0.5,Berrios,Gausman,None,2:35,D,17212.0,.95,2,
4,"Monday, Apr 2",MIN,@,PIT,L,4.0,5.0,9.0,2-2,2.0,0.5,Taillon,Lynn,Kontos,3:26,D,30186.0,1.00,-1,
5,"Wednesday, Apr 4",MIN,@,PIT,W,7.0,3.0,9.0,3-2,1.0,Tied,Rogers,Nova,None,3:25,N,20690.0,.98,1,
6,"Thursday, Apr 5",MIN,Home,SEA,W,4.0,2.0,9.0,4-2,1.0,up 1.0,Duke,Altavilla,Rodney,3:09,D,39214.0,1.04,2,
7,"Saturday, Apr 7",MIN,Home,SEA,L,4.0,11.0,9.0,4-3,1.0,up 1.0,Leake,Berrios,None,3:36,D,18416.0,1.11,-1,
8,"Monday, Apr 9",MIN,Home,HOU,L,0.0,2.0,9.0,4-4,1.0,Tied,Verlander,Rogers,Giles,3:28,N,15521.0,1.08,-2,
9,"Tuesday, Apr 10",MIN,Home,HOU,W,4.0,1.0,9.0,5-4,1.0,Tied,Odorizzi,Keuchel,Rodney,3:21,N,15500.0,1.05,1,
10,"Wednesday, Apr 11",MIN,Home,HOU,W-wo,9.0,8.0,9.0,6-4,1.0,Tied,Rodney,Peacock,None,3:35,D,15438.0,1.06,2,
11,"Thursday, Apr 12",MIN,Home,CHW,W,4.0,0.0,9.0,7-4,1.0,Tied,Berrios,Giolito,None,2:55,N,15474.0,1.22,3,
12,"Tuesday, Apr 17",MIN,Home,CLE,L,1.0,6.0,9.0,7-5,2.0,0.5,Kluber,Odorizzi,None,3:24,N,19516.0,1.39,-1,
13,"Wednesday, Apr 18",MIN,Home,CLE,W-wo,2.0,1.0,16.0,8-5,1.0,up 0.5,Busenitz,Tomlin,None,5:13,N,19537.0,1.37,1,
14,"Friday, Apr 20",MIN,@,TBR,L-wo,7.0,8.0,10.0,8-6,1.0,up 0.5,Colome,Duke,None,3:30,N,9786.0,1.15,-1,
