,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Monday, Apr 3",NYM,Home,ATL,W,6.0,0.0,9.0,1-0,1.0,Tied,Robles,Krol,None,3:13,D,44384.0,1.06,1,
2,"Wednesday, Apr 5",NYM,Home,ATL,L,1.0,3.0,12.0,1-1,2.0,1.0,Johnson,Montero,None,3:51,N,28113.0,1.07,-1,
3,"Thursday, Apr 6",NYM,Home,ATL,W,6.0,2.0,9.0,2-1,1.0,Tied,Harvey,Garcia,None,2:28,N,23100.0,1.08,1,
4,"Friday, Apr 7",NYM,Home,MIA,L,2.0,7.0,9.0,2-2,2.0,1.0,Chen,Wheeler,None,3:06,N,27891.0,1.13,-1,
5,"Saturday, Apr 8",NYM,Home,MIA,L,1.0,8.0,9.0,2-3,3.0,1.0,Conley,Gsellman,None,3:25,N,33936.0,1.05,-2,
6,"Sunday, Apr 9",NYM,Home,MIA,W,5.0,2.0,9.0,3-3,1.0,Tied,Syndergaard,Volquez,Reed,2:44,N,27420.0,1.04,1,
7,"Monday, Apr 10",NYM,@,PHI,W,4.0,3.0,9.0,4-3,1.0,Tied,Blevins,Ramos,Reed,2:59,N,33359.0,1.12,2,
8,"Tuesday, Apr 11",NYM,@,PHI,W,14.0,4.0,9.0,5-3,1.0,Tied,Harvey,Buchholz,None,3:38,N,28659.0,1.14,3,
9,"Wednesday, Apr 12",NYM,@,PHI,W,5.0,4.0,9.0,6-3,1.0,up 1.0,Wheeler,Velasquez,Reed,3:13,N,28272.0,1.15,4,
10,"Thursday, Apr 13",NYM,@,MIA,W,9.0,8.0,16.0,7-3,1.0,up 1.5,Robles,Conley,None,5:38,N,23192.0,1.27,5,
11,"Friday, Apr 14",NYM,@,MIA,L-wo,2.0,3.0,9.0,7-4,1.0,up 0.5,Ramos,Edgin,None,3:26,N,24194.0,1.34,-1,
12,"Saturday, Apr 15",NYM,@,MIA,L,4.0,5.0,9.0,7-5,1.0,up 0.5,Tazawa,Salas,Ramos,2:30,N,25137.0,1.28,-2,
13,"Sunday, Apr 16",NYM,@,MIA,L-wo,2.0,4.0,9.0,7-6,3.0,0.5,Phelps,Reed,None,2:58,D,20028.0,1.24,-3,
14,"Tuesday, Apr 18",NYM,Home,PHI,L,2.0,6.0,10.0,7-7,3.0,1.5,Garcia,Montero,None,3:58,N,23536.0,1.16,-4,
15,"Wednesday, Apr 19",NYM,Home,PHI,W,5.0,4.0,9.0,8-7,2.0,1.5,Robles,Ramos,Reed,2:37,N,22243.0,1.07,1,
16,"Thursday, Apr 20",NYM,Home,PHI,L,4.0,6.0,9.0,8-8,3.0,2.5,Nola,Syndergaard,Neris,3:14,N,24656.0,1.11,-1,
17,"Friday, Apr 21",NYM,Home,WSN,L,3.0,4.0,11.0,8-9,3.0,3.5,Romero,Smoker,Kelley,3:43,N,34773.0,1.17,-2,
18,"Saturday, Apr 22",NYM,Home,WSN,L,1.0,3.0,9.0,8-10,4.0,4.5,Gonzalez,deGrom,Glover,3:01,D,42145.0,1.11,-3,
19,"Sunday, Apr 23",NYM,Home,WSN,L,3.0,6.0,9.0,8-11,4.0,5.5,Scherzer,Wheeler,Glover,2:43,N,27044.0,1.00,-4,
20,"Wednesday, Apr 26",NYM,Home,ATL,L,2.0,8.0,9.0,8-12,4.0,6.5,Teheran,Gsellman,None,3:19,N,22819.0,.80,-5,
21,"Thursday, Apr 27",NYM,Home,ATL,L,5.0,7.0,9.0,8-13,5.0,7.5,Dickey,Harvey,None,2:56,D,23243.0,.73,-6,
22,"Friday, Apr 28",NYM,@,WSN,W,7.0,5.0,9.0,9-13,5.0,6.5,deGrom,Scherzer,Edgin,3:24,N,34562.0,.75,1,
23,"Saturday, Apr 29",NYM,@,WSN,W,5.0,3.0,9.0,10-13,5.0,5.5,Robles,Strasburg,Familia,3:17,D,36501.0,.84,2,
24,"Sunday, Apr 30",NYM,@,WSN,L,5.0,23.0,9.0,10-14,5.0,6.5,Albers,Syndergaard,None,3:37,D,36806.0,.91,-1,
25,"Monday, May 1",NYM,@,ATL,W,7.0,5.0,9.0,11-14,4.0,6.0,Gsellman,Teheran,Familia,3:00,N,21668.0,.79,1,
26,"Tuesday, May 2",NYM,@,ATL,L,7.0,9.0,9.0,11-15,5.0,6.0,Dickey,Harvey,Johnson,2:55,N,21359.0,.87,-1,
