,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Thursday, Apr 1",NYY,Home,TOR,L,2.0,3.0,10.0,0-1,5.0,1.0,Romano,Nelson,Merryweather,3:44,D,10850.0,1.09,-1,
2,"Saturday, Apr 3",NYY,Home,TOR,W,5.0,3.0,9.0,1-1,3.0,1.0,Loaisiga,Stripling,Green,3:38,D,10107.0,.97,1,
3,"Sunday, Apr 4",NYY,Home,TOR,L,1.0,3.0,9.0,1-2,4.0,2.0,Borucki,German,Merryweather,2:41,D,10066.0,1.02,-1,
4,"Monday, Apr 5",NYY,Home,BAL,W,7.0,0.0,9.0,2-2,3.0,1.0,Montgomery,Lopez,None,2:58,N,9008.0,1.04,1,
5,"Tuesday, Apr 6",NYY,Home,BAL,W,7.0,2.0,9.0,3-2,1.0,Tied,Cole,Kremer,None,2:58,N,9404.0,1.03,2,
6,"Wednesday, Apr 7",NYY,Home,BAL,L,3.0,4.0,11.0,3-3,2.0,1.0,Valdez,Green,Fry,3:54,N,10254.0,1.10,-1,
7,"Friday, Apr 9",NYY,@,TBR,L,5.0,10.0,9.0,3-4,3.0,1.0,Hill,Kluber,None,2:53,D,9021.0,1.07,-2,
8,"Saturday, Apr 10",NYY,@,TBR,L,0.0,4.0,9.0,3-5,5.0,2.0,Kittredge,German,None,3:04,D,6270.0,.99,-3,
9,"Sunday, Apr 11",NYY,@,TBR,W,8.0,4.0,10.0,4-5,2.0,2.0,Chapman,McHugh,None,3:42,D,6965.0,.95,1,
10,"Monday, Apr 12",NYY,@,TOR,W,3.0,1.0,9.0,5-5,2.0,1.5,Cole,Ray,Chapman,3:04,N,1576.0,1.05,2,
11,"Tuesday, Apr 13",NYY,@,TOR,L,3.0,7.0,9.0,5-6,2.0,2.5,Ryu,Taillon,None,3:04,N,1550.0,1.04,-1,
12,"Wednesday, Apr 14",NYY,@,TOR,L-wo,4.0,5.0,9.0,5-7,4.0,4.0,Dolis,Green,None,2:54,D,1613.0,1.03,-2,
13,"Friday, Apr 16",NYY,Home,TBR,L,2.0,8.0,9.0,5-8,5.0,4.0,Wacha,Nelson,None,3:22,N,10202.0,.98,-3,
14,"Saturday, Apr 17",NYY,Home,TBR,L,3.0,6.0,9.0,5-9,5.0,5.0,Glasnow,Montgomery,Castillo,3:28,D,10583.0,.90,-4,
15,"Sunday, Apr 18",NYY,Home,TBR,L,2.0,4.0,9.0,5-10,5.0,4.5,Yarbrough,Cole,Springs,2:56,D,10606.0,.82,-5,
16,"Tuesday, Apr 20",NYY,Home,ATL,W,3.0,1.0,9.0,6-10,5.0,5.0,Loaisiga,Matzek,Chapman,3:06,N,10017.0,.66,1,
17,"Wednesday, Apr 21",NYY,Home,ATL,L,1.0,4.0,9.0,6-11,5.0,5.0,Anderson,Kluber,None,3:16,N,9634.0,.69,-1,
18,"Thursday, Apr 22",NYY,@,CLE,W,6.0,3.0,9.0,7-11,5.0,4.0,German,Wittgren,Chapman,3:31,N,6380.0,.68,1,
19,"Friday, Apr 23",NYY,@,CLE,W,5.0,3.0,9.0,8-11,4.0,4.0,Luetge,Allen,Chapman,3:17,N,8662.0,.75,2,
20,"Saturday, Apr 24",NYY,@,CLE,W,2.0,1.0,9.0,9-11,3.0,3.0,Cole,Bieber,Loaisiga,3:05,N,8817.0,.85,3,
21,"Sunday, Apr 25",NYY,@,CLE,L,3.0,7.0,9.0,9-12,4.0,4.0,Hentges,Taillon,None,3:07,D,8766.0,.91,-1,
22,"Monday, Apr 26",NYY,@,BAL,L,2.0,4.0,9.0,9-13,5.0,4.5,Harvey,Garcia,Valdez,2:41,N,6367.0,.94,-2,
23,"Tuesday, Apr 27",NYY,@,BAL,W,5.0,1.0,9.0,10-13,4.0,4.5,Kluber,Zimmermann,None,2:53,N,6662.0,.89,1,
24,"Wednesday, Apr 28",NYY,@,BAL,W,7.0,0.0,9.0,11-13,4.0,4.5,German,Kremer,None,2:33,N,7338.0,.88,2,
25,"Thursday, Apr 29",NYY,@,BAL,L-wo,3.0,4.0,10.0,11-14,4.0,4.5,Scott,Loaisiga,None,3:30,D,7738.0,.96,-1,
26,"Friday, Apr 30",NYY,Home,DET,W,10.0,0.0,9.0,12-14,4.0,4.5,Cole,Skubal,None,3:03,N,9523.0,.86,1,
27,"Saturday, May 1",NYY,Home,DET,W,6.0,4.0,9.0,13-14,3.0,3.5,Taillon,Turnbull,Chapman,3:25,D,10015.0,.84,2,
28,"Sunday, May 2",NYY,Home,DET,W,2.0,0.0,9.0,14-14,3.0,2.5,Kluber,Urena,Chapman,2:14,D,10021.0,.92,3,
29,"Tuesday, May 4",NYY,Home,HOU,W,7.0,3.0,9.0,15-14,2.0,2.5,Luetge,Bielak,None,3:27,N,10850.0,1.02,4,
30,"Wednesday, May 5",NYY,Home,HOU,W,6.0,3.0,9.0,16-14,2.0,1.5,Loaisiga,Raley,Chapman,3:35,N,9895.0,1.04,5,
31,"Thursday, May 6",NYY,Home,HOU,L,4.0,7.0,9.0,16-15,4.0,2.5,Scrubb,Green,Pressly,3:14,D,10042.0,1.10,-1,
32,"Friday, May 7",NYY,Home,WSN,L,4.0,11.0,9.0,16-16,4.0,3.5,Finnegan,Loaisiga,None,3:01,N,10010.0,.97,-2,
33,"Saturday, May 8",NYY,Home,WSN,W-wo,4.0,3.0,11.0,17-16,3.0,3.5,Wilson,Rainey,None,3:50,D,10850.0,.89,1,
34,"Sunday, May 9",NYY,Home,WSN,W-wo,3.0,2.0,9.0,18-16,2.0,3.5,Chapman,Hand,None,3:04,D,10092.0,.94,2,
