,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Thursday, Mar 29",OAK,Home,LAA,W-wo,6.0,5.0,11.0,1-0,1.0,Tied,Hatcher,Ramirez,None,4:02,D,27764.0,1.06,1,
2,"Friday, Mar 30",OAK,Home,LAA,L,1.0,2.0,9.0,1-1,2.0,0.5,Skaggs,Manaea,Parker,2:48,N,27665.0,1.08,-1,
3,"Saturday, Mar 31",OAK,Home,LAA,L,3.0,8.0,9.0,1-2,4.0,1.0,Shoemaker,Mengden,None,3:23,D,17012.0,1.06,-2,
4,"Sunday, Apr 1",OAK,Home,LAA,L,4.0,7.0,9.0,1-3,4.0,2.0,Ohtani,Gossett,Middleton,3:07,D,14644.0,1.01,-3,
5,"Monday, Apr 2",OAK,Home,TEX,W,3.0,1.0,9.0,2-3,4.0,2.0,Hatcher,Jepsen,Treinen,3:10,N,7416.0,.91,1,
6,"Tuesday, Apr 3",OAK,Home,TEX,L,1.0,4.0,9.0,2-4,4.0,3.0,Hamels,Graveman,Kela,2:50,N,9157.0,.96,-1,
7,"Wednesday, Apr 4",OAK,Home,TEX,W,6.0,2.0,9.0,3-4,4.0,3.0,Manaea,Fister,None,2:23,N,7908.0,.90,1,
8,"Thursday, Apr 5",OAK,Home,TEX,L,3.0,6.0,9.0,3-5,4.0,3.5,Perez,Mengden,Kela,3:10,D,10132.0,.93,-1,
9,"Friday, Apr 6",OAK,@,LAA,L,9.0,13.0,9.0,3-6,4.0,3.5,Johnson,Treinen,None,3:35,N,36023.0,.90,-2,
10,"Saturday, Apr 7",OAK,@,LAA,W,7.0,3.0,9.0,4-6,4.0,3.5,Triggs,Ramirez,Treinen,3:20,N,40129.0,.86,1,
11,"Sunday, Apr 8",OAK,@,LAA,L,1.0,6.0,9.0,4-7,4.0,4.5,Ohtani,Graveman,None,2:53,D,44742.0,.91,-1,
12,"Tuesday, Apr 10",OAK,@,LAD,L,0.0,4.0,9.0,4-8,4.0,5.0,Ryu,Manaea,Jansen,2:49,N,41243.0,.71,-2,
13,"Wednesday, Apr 11",OAK,@,LAD,W,16.0,6.0,9.0,5-8,4.0,5.0,Mengden,Wood,None,3:50,N,49394.0,.67,1,
14,"Friday, Apr 13",OAK,@,SEA,L,4.0,7.0,9.0,5-9,4.0,6.5,Altavilla,Coulombe,Díaz,3:08,N,25352.0,.82,-1,
