,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Thursday, Mar 28",PHI,Home,ATL,W,10.0,4.0,9.0,1-0,1.0,Tied,Nola,Teheran,None,3:04,D,44469.0,1.09,1,
2,"Saturday, Mar 30",PHI,Home,ATL,W,8.0,6.0,9.0,2-0,1.0,Tied,Morgan,Parsons,None,3:27,D,44597.0,1.12,2,
3,"Sunday, Mar 31",PHI,Home,ATL,W,5.0,1.0,9.0,3-0,1.0,up 1.0,Arrieta,Wright,None,3:17,N,41410.0,1.17,3,
4,"Tuesday, Apr 2",PHI,@,WSN,W,8.0,2.0,9.0,4-0,1.0,up 0.5,Eflin,Scherzer,None,3:30,N,35920.0,1.22,4,
5,"Wednesday, Apr 3",PHI,@,WSN,L-wo,8.0,9.0,9.0,4-1,2.0,0.5,Doolittle,Robertson,None,3:53,D,23050.0,1.24,-1,
6,"Friday, Apr 5",PHI,Home,MIN,W,10.0,4.0,9.0,5-1,1.0,up 0.5,Pivetta,Odorizzi,None,3:31,N,28021.0,1.04,1,
7,"Saturday, Apr 6",PHI,Home,MIN,L,2.0,6.0,9.0,5-2,2.0,0.5,Pineda,Arrieta,None,2:50,D,44693.0,1.11,-1,
8,"Sunday, Apr 7",PHI,Home,MIN,W,2.0,1.0,9.0,6-2,1.0,up 0.5,Eflin,Berrios,Neris,2:47,D,39735.0,1.02,1,
9,"Monday, Apr 8",PHI,Home,WSN,W,4.0,3.0,9.0,7-2,1.0,up 1.0,Dominguez,Sanchez,Neshek,2:32,N,28212.0,1.25,2,
10,"Tuesday, Apr 9",PHI,Home,WSN,L,6.0,10.0,10.0,7-3,1.0,up 0.5,Doolittle,Alvarez,None,3:51,N,38073.0,1.28,-1,
11,"Wednesday, Apr 10",PHI,Home,WSN,L,1.0,15.0,9.0,7-4,1.0,Tied,Hellickson,Pivetta,None,3:35,N,30805.0,1.24,-2,
12,"Friday, Apr 12",PHI,@,MIA,W,9.0,1.0,9.0,8-4,2.0,0.5,Arrieta,Alcantara,None,2:46,N,9322.0,1.10,1,
13,"Saturday, Apr 13",PHI,@,MIA,L,3.0,10.0,9.0,8-5,2.0,0.5,Smith,Eflin,None,3:01,N,13828.0,1.17,-1,
14,"Sunday, Apr 14",PHI,@,MIA,W,3.0,1.0,14.0,9-5,1.0,up 0.5,Arano,Chen,Alvarez,4:38,D,15238.0,1.15,1,
15,"Monday, Apr 15",PHI,Home,NYM,L,6.0,7.0,11.0,9-6,2.0,0.5,Avilan,Neshek,Díaz,4:29,N,32423.0,1.33,-1,
16,"Tuesday, Apr 16",PHI,Home,NYM,W,14.0,3.0,9.0,10-6,1.0,up 0.5,Pivetta,Matz,Eickhoff,3:07,N,43933.0,1.28,1,
17,"Wednesday, Apr 17",PHI,Home,NYM,W,3.0,2.0,9.0,11-6,1.0,up 1.5,Arrieta,Wheeler,Neris,2:52,D,39861.0,1.32,2,
18,"Thursday, Apr 18",PHI,@,COL,L,2.0,6.0,9.0,11-7,1.0,up 1.0,Freeland,Eflin,None,3:03,N,27562.0,1.17,-1,
19,"Friday, Apr 19",PHI,@,COL,L-wo,3.0,4.0,12.0,11-8,1.0,Tied,Bettis,Nicasio,None,4:26,N,35423.0,1.13,-2,
20,"Saturday, Apr 20",PHI,@,COL,W,8.0,5.0,9.0,12-8,1.0,up 1.0,Nola,Senzatela,Neris,3:25,N,40530.0,1.12,1,
21,"Sunday, Apr 21",PHI,@,COL,L,1.0,4.0,9.0,12-9,1.0,up 1.0,Gray,Eickhoff,None,2:58,D,28287.0,1.14,-1,
22,"Monday, Apr 22",PHI,@,NYM,L,1.0,5.0,9.0,12-10,1.0,Tied,Matz,Arrieta,None,2:46,N,25293.0,1.36,-2,
23,"Tuesday, Apr 23",PHI,@,NYM,L,0.0,9.0,9.0,12-11,2.0,1.0,Wheeler,Eflin,None,2:43,N,26049.0,1.35,-3,
24,"Wednesday, Apr 24",PHI,@,NYM,W,6.0,0.0,9.0,13-11,1.0,Tied,Velasquez,Vargas,None,3:21,N,27685.0,1.29,1,
25,"Thursday, Apr 25",PHI,Home,MIA,L,1.0,3.0,10.0,13-12,2.0,0.5,Guerrero,Neris,Romo,3:35,N,32060.0,1.15,-1,
26,"Friday, Apr 26",PHI,Home,MIA,W,4.0,0.0,9.0,14-12,1.0,up 0.5,Eickhoff,Urena,None,2:47,N,31158.0,1.12,1,
27,"Saturday, Apr 27",PHI,Home,MIA,W,12.0,9.0,9.0,15-12,1.0,up 1.5,Arrieta,Richards,Neris,3:38,N,37868.0,1.25,2,
28,"Sunday, Apr 28",PHI,Home,MIA,W,5.0,1.0,9.0,16-12,1.0,up 1.5,Eflin,Lopez,None,2:34,D,39168.0,1.25,3,
29,"Tuesday, Apr 30",PHI,Home,DET,L,1.0,3.0,9.0,16-13,1.0,up 1.0,Turnbull,Velasquez,Greene,3:10,N,31759.0,1.18,-1,
30,"Wednesday, May 1",PHI,Home,DET,W,7.0,3.0,9.0,17-13,1.0,up 2.0,Dominguez,Farmer,None,3:16,N,28103.0,1.15,1,
31,"Friday, May 3",PHI,Home,WSN,W,4.0,2.0,9.0,18-13,1.0,up 2.5,Dominguez,Jennings,Neris,2:42,N,33125.0,1.40,2,
32,"Saturday, May 4",PHI,Home,WSN,L,8.0,10.0,9.0,18-14,1.0,up 1.5,Sipp,Morgan,Doolittle,3:45,N,43319.0,1.41,-1,
33,"Sunday, May 5",PHI,Home,WSN,W,7.0,1.0,9.0,19-14,1.0,up 1.5,Eflin,Sanchez,None,3:03,D,40497.0,1.40,1,
34,"Monday, May 6",PHI,@,STL,L,0.0,6.0,9.0,19-15,1.0,up 1.5,Mikolas,Velasquez,None,2:52,N,38419.0,1.26,-1,
35,"Tuesday, May 7",PHI,@,STL,W,11.0,1.0,9.0,20-15,1.0,up 2.5,Nola,Hudson,None,3:04,N,38562.0,1.24,1,
36,"Wednesday, May 8",PHI,@,STL,W,5.0,0.0,9.0,21-15,1.0,up 3.5,Eickhoff,Flaherty,None,2:41,D,42309.0,1.28,2,
37,"Friday, May 10",PHI,@,KCR,L,1.0,5.0,9.0,21-16,1.0,up 3.0,Bailey,Arrieta,None,3:07,N,20015.0,1.27,-1,
38,"Saturday, May 11",PHI,@,KCR,W,7.0,0.0,9.0,22-16,1.0,up 3.0,Eflin,Keller,None,3:01,N,24463.0,1.26,1,
39,"Sunday, May 12",PHI,@,KCR,W,6.0,1.0,9.0,23-16,1.0,up 3.0,Irvin,Junis,None,2:37,D,19640.0,1.25,2,
40,"Monday, May 13",PHI,Home,MIL,W,7.0,4.0,9.0,24-16,1.0,up 3.5,Morgan,Albers,Neshek,3:57,N,26169.0,1.33,3,
41,"Tuesday, May 14",PHI,Home,MIL,L,1.0,6.0,9.0,24-17,1.0,up 3.5,Woodruff,Eickhoff,None,3:11,N,31533.0,1.30,-1,
42,"Wednesday, May 15",PHI,Home,MIL,L,2.0,5.0,9.0,24-18,1.0,up 2.5,Gonzalez,Arrieta,Hader,3:20,N,28129.0,1.30,-2,
43,"Thursday, May 16",PHI,Home,MIL,L,3.0,11.0,9.0,24-19,1.0,up 1.5,Davies,Eflin,None,3:18,D,38346.0,1.31,-3,
44,"Friday, May 17",PHI,Home,COL,W,5.0,4.0,9.0,25-19,1.0,up 1.5,Irvin,Gray,Neris,2:45,N,28079.0,1.27,1,
45,"Saturday, May 18",PHI,Home,COL,W,2.0,1.0,9.0,26-19,1.0,up 1.5,Nola,Senzatela,Neris,3:18,D,42354.0,1.30,2,
46,"Sunday, May 19",PHI,Home,COL,W,7.0,5.0,9.0,27-19,1.0,up 2.5,Garcia,Shaw,Neshek,3:30,D,38603.0,1.28,3,
47,"Monday, May 20",PHI,@,CHC,W,5.0,4.0,10.0,28-19,1.0,up 2.5,Neris,Ryan,Nicasio,3:34,N,37909.0,1.36,4,
48,"Tuesday, May 21",PHI,@,CHC,L-wo,2.0,3.0,9.0,28-20,1.0,up 2.5,Ryan,Nicasio,None,3:34,N,36768.0,1.34,-1,
49,"Wednesday, May 22",PHI,@,CHC,L,4.0,8.0,9.0,28-21,1.0,up 1.5,Chatwood,Irvin,None,3:04,N,39246.0,1.35,-2,
50,"Thursday, May 23",PHI,@,CHC,W,9.0,7.0,9.0,29-21,1.0,up 1.5,Nola,Lester,Neris,3:55,D,37173.0,1.34,1,
51,"Friday, May 24",PHI,@,MIL,W,6.0,4.0,9.0,30-21,1.0,up 1.5,Velasquez,Peralta,Neris,3:23,N,40254.0,1.36,2,
52,"Saturday, May 25",PHI,@,MIL,W,7.0,2.0,9.0,31-21,1.0,up 2.5,Arrieta,Chacin,None,2:52,D,42475.0,1.37,3,
53,"Sunday, May 26",PHI,@,MIL,L,1.0,9.0,9.0,31-22,1.0,up 1.5,Woodruff,Eflin,None,2:49,D,44174.0,1.36,-1,
54,"Tuesday, May 28",PHI,Home,STL,W,4.0,3.0,9.0,32-22,1.0,up 2.5,Pivetta,Wainwright,Neris,2:28,N,29084.0,1.34,1,
55,"Wednesday, May 29",PHI,Home,STL,W,11.0,4.0,9.0,33-22,1.0,up 3.5,Nola,Cabrera,None,3:01,N,30486.0,1.34,2,
56,"Thursday, May 30",PHI,Home,STL,L,3.0,5.0,9.0,33-23,1.0,up 3.0,Hudson,Eickhoff,Hicks,3:01,D,31206.0,1.37,-1,
57,"Friday, May 31",PHI,@,LAD,L,3.0,6.0,9.0,33-24,1.0,up 3.0,Maeda,Arrieta,Jansen,2:59,N,54307.0,1.34,-2,
58,"Saturday, Jun 1",PHI,@,LAD,L-wo,3.0,4.0,9.0,33-25,1.0,up 2.0,Urias,Neris,None,2:48,N,53507.0,1.34,-3,
59,"Sunday, Jun 2",PHI,@,LAD,L,0.0,8.0,9.0,33-26,1.0,up 1.0,Hill,Velasquez,None,2:58,D,49162.0,1.35,-4,
60,"Monday, Jun 3",PHI,@,SDP,L,2.0,8.0,9.0,33-27,1.0,up 0.5,Lauer,Nola,None,2:54,N,21654.0,1.40,-5,
61,"Tuesday, Jun 4",PHI,@,SDP,W,9.0,6.0,9.0,34-27,1.0,up 0.5,Eickhoff,Paddack,Neris,3:03,N,25821.0,1.39,1,
62,"Wednesday, Jun 5",PHI,@,SDP,W,7.0,5.0,9.0,35-27,1.0,up 1.5,Nicasio,Stammen,Neris,3:30,D,23004.0,1.40,2,
63,"Friday, Jun 7",PHI,Home,CIN,W,4.0,2.0,9.0,36-27,1.0,up 2.0,Eflin,Mahle,Neris,2:48,N,32058.0,1.39,3,
64,"Saturday, Jun 8",PHI,Home,CIN,W,4.0,1.0,9.0,37-27,1.0,up 2.0,Pivetta,Roark,None,2:17,D,44357.0,1.39,4,
65,"Sunday, Jun 9",PHI,Home,CIN,L,3.0,4.0,9.0,37-28,1.0,up 1.0,Duke,Alvarez,Iglesias,3:14,D,42324.0,1.40,-1,
66,"Monday, Jun 10",PHI,Home,ARI,L,8.0,13.0,9.0,37-29,1.0,Tied,Godley,Eickhoff,None,3:50,N,26255.0,1.48,-2,
67,"Tuesday, Jun 11",PHI,Home,ARI,W,7.0,4.0,9.0,38-29,1.0,Tied,Arrieta,Duplantier,Neris,3:16,N,26321.0,1.40,1,
68,"Wednesday, Jun 12",PHI,Home,ARI,L,0.0,2.0,9.0,38-30,2.0,1.0,Kelly,Eflin,Holland,2:16,N,29047.0,1.46,-1,
69,"Friday, Jun 14",PHI,@,ATL,L-wo,8.0,9.0,9.0,38-31,2.0,2.5,Blevins,Neris,None,3:30,N,41975.0,1.91,-2,
70,"Saturday, Jun 15",PHI,@,ATL,W,6.0,5.0,9.0,39-31,2.0,1.5,Ramos,Jackson,Neris,3:55,N,43593.0,1.88,1,
71,"Sunday, Jun 16",PHI,@,ATL,L,1.0,15.0,9.0,39-32,2.0,2.5,Foltynewicz,Velasquez,None,3:09,D,40855.0,1.90,-1,
72,"Wednesday, Jun 19 (1)",PHI,@,WSN,L,2.0,6.0,9.0,39-33,2.0,4.0,Corbin,Eflin,None,2:46,D,17961.0,1.45,-2,2019-06-17 (Rain)
73,"Wednesday, Jun 19 (2)",PHI,@,WSN,L,0.0,2.0,9.0,39-34,2.0,4.0,Scherzer,Arrieta,Doolittle,3:05,N,24220.0,1.40,-3,
74,"Thursday, Jun 20",PHI,@,WSN,L,4.0,7.0,9.0,39-35,2.0,4.5,Guerra,Pivetta,Doolittle,3:05,N,31329.0,1.43,-4,
75,"Friday, Jun 21",PHI,Home,MIA,L,1.0,2.0,9.0,39-36,2.0,4.5,Alcantara,Nola,Romo,2:56,N,44420.0,1.23,-5,
76,"Saturday, Jun 22",PHI,Home,MIA,L,3.0,5.0,9.0,39-37,2.0,5.5,Brice,Morgan,Quijada,2:43,D,44722.0,1.22,-6,
77,"Sunday, Jun 23",PHI,Home,MIA,L,4.0,6.0,9.0,39-38,2.0,6.5,Yamamoto,De Los Santos,Anderson,2:59,D,36749.0,1.10,-7,
78,"Monday, Jun 24",PHI,Home,NYM,W,13.0,7.0,9.0,40-38,2.0,5.5,Eflin,Matz,None,3:18,N,29117.0,1.13,1,
79,"Tuesday, Jun 25",PHI,Home,NYM,W,7.0,5.0,9.0,41-38,2.0,5.5,Arrieta,Font,Neris,3:07,N,28125.0,1.22,2,
80,"Wednesday, Jun 26",PHI,Home,NYM,W-wo,5.0,4.0,10.0,42-38,2.0,5.5,Garcia,Nogosek,None,3:21,N,29822.0,1.26,3,
81,"Thursday, Jun 27",PHI,Home,NYM,W-wo,6.0,3.0,9.0,43-38,2.0,4.5,Hammer,Díaz,None,3:24,D,39161.0,1.29,4,
82,"Friday, Jun 28",PHI,@,MIA,L,2.0,6.0,9.0,43-39,2.0,5.5,Hernandez,Velasquez,None,2:56,N,9469.0,1.28,-1,
83,"Saturday, Jun 29",PHI,@,MIA,L,6.0,9.0,9.0,43-40,2.0,6.5,Garcia,Morgan,Romo,3:19,D,14774.0,1.22,-2,
84,"Sunday, Jun 30",PHI,@,MIA,W,13.0,6.0,9.0,44-40,2.0,5.5,Arrieta,Richards,None,3:36,D,11742.0,1.11,1,
85,"Tuesday, Jul 2",PHI,@,ATL,W,2.0,0.0,9.0,45-40,2.0,4.5,Nola,Keuchel,Neris,2:48,N,40180.0,1.63,2,
86,"Wednesday, Jul 3",PHI,@,ATL,L,2.0,9.0,9.0,45-41,2.0,5.5,Wilson,Pivetta,None,2:36,N,40147.0,1.75,-1,
87,"Thursday, Jul 4",PHI,@,ATL,L,6.0,12.0,9.0,45-42,3.0,6.5,Minter,Eflin,None,3:32,N,40633.0,1.62,-2,
88,"Friday, Jul 5",PHI,@,NYM,W,7.0,2.0,9.0,46-42,2.0,6.5,Morgan,Díaz,None,3:15,N,32546.0,1.17,1,
89,"Saturday, Jul 6",PHI,@,NYM,L,5.0,6.0,9.0,46-43,3.0,6.5,Syndergaard,Arrieta,Díaz,3:22,N,31350.0,1.25,-1,
90,"Sunday, Jul 7",PHI,@,NYM,W,8.0,3.0,9.0,47-43,3.0,6.5,Nola,Wheeler,None,3:20,D,34247.0,1.17,1,
91,"Friday, Jul 12",PHI,Home,WSN,L,0.0,4.0,9.0,47-44,3.0,7.5,Strasburg,Pivetta,None,3:15,N,42318.0,1.44,-1,
92,"Saturday, Jul 13",PHI,Home,WSN,L,3.0,4.0,9.0,47-45,3.0,8.5,Suero,Neris,Doolittle,3:43,N,43732.0,1.32,-2,
