,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Monday, Apr 6",PIT,@,CIN,L,2.0,5.0,9.0,0-1,3.0,1.0,Diaz,Watson,Chapman,2:30,D,43633.0,1.06,-1,
2,"Wednesday, Apr 8",PIT,@,CIN,L-wo,4.0,5.0,11.0,0-2,4.0,2.0,Hoover,Liz,None,4:01,N,30859.0,1.07,-2,
3,"Thursday, Apr 9",PIT,@,CIN,L-wo,2.0,3.0,9.0,0-3,4.0,3.0,Chapman,Scahill,None,2:32,D,15616.0,.97,-3,
4,"Friday, Apr 10",PIT,@,MIL,W,6.0,2.0,9.0,1-3,4.0,3.0,Locke,Fiers,None,3:13,N,27373.0,.92,1,
5,"Saturday, Apr 11",PIT,@,MIL,L,0.0,6.0,9.0,1-4,4.0,3.0,Nelson,Worley,None,2:26,N,41108.0,.97,-1,
6,"Sunday, Apr 12",PIT,@,MIL,W,10.0,2.0,9.0,2-4,4.0,2.0,Sadler,Lohse,None,3:00,D,39017.0,.90,1,
7,"Monday, Apr 13",PIT,Home,DET,W,5.0,4.0,9.0,3-4,4.0,1.5,Cole,Sanchez,None,2:31,D,39933.0,.86,2,
8,"Tuesday, Apr 14",PIT,Home,DET,L,0.0,2.0,9.0,3-5,4.0,2.0,Greene,Burnett,Soria,2:50,N,31755.0,.87,-1,
9,"Wednesday, Apr 15",PIT,Home,DET,L,0.0,1.0,9.0,3-6,4.0,2.5,Simon,Liriano,Soria,2:52,N,19509.0,.85,-2,
10,"Friday, Apr 17",PIT,Home,MIL,W,6.0,3.0,9.0,4-6,4.0,2.5,Worley,Nelson,Melancon,2:57,N,25664.0,.89,1,
11,"Saturday, Apr 18",PIT,Home,MIL,W,6.0,2.0,9.0,5-6,3.0,2.5,Locke,Lohse,None,2:30,N,33961.0,.95,2,
12,"Sunday, Apr 19",PIT,Home,MIL,W,5.0,2.0,9.0,6-6,3.0,2.5,Cole,Garza,Melancon,2:39,D,28129.0,.93,3,
13,"Monday, Apr 20",PIT,Home,CHC,L,2.0,5.0,9.0,6-7,3.0,3.0,Arrieta,Caminero,None,3:13,N,11777.0,1.13,-1,
14,"Tuesday, Apr 21",PIT,Home,CHC,L,8.0,9.0,9.0,6-8,4.0,3.0,Jackson,Melancon,Rondon,3:18,N,13680.0,1.07,-2,
15,"Wednesday, Apr 22",PIT,Home,CHC,W,4.0,3.0,9.0,7-8,4.0,3.0,Worley,Hammel,Watson,3:04,N,15101.0,1.01,1,
16,"Thursday, Apr 23",PIT,Home,CHC,W,5.0,4.0,9.0,8-8,3.0,3.0,Liz,Schlitter,Melancon,3:06,D,22224.0,1.03,2,
17,"Friday, Apr 24",PIT,@,ARI,W,4.0,1.0,9.0,9-8,3.0,3.0,Cole,Collmenter,Melancon,2:41,N,24427.0,.97,3,
18,"Saturday, Apr 25",PIT,@,ARI,W,2.0,1.0,9.0,10-8,2.0,3.0,Watson,Reed,Melancon,2:52,N,38859.0,.99,4,
19,"Sunday, Apr 26",PIT,@,ARI,W,8.0,0.0,9.0,11-8,2.0,2.0,Liriano,Hellickson,None,3:18,D,32353.0,1.05,5,
20,"Monday, Apr 27",PIT,@,CHC,L,0.0,4.0,9.0,11-9,3.0,2.0,Hammel,Worley,None,2:20,N,29159.0,1.24,-1,
21,"Tuesday, Apr 28",PIT,@,CHC,L,2.0,6.0,9.0,11-10,3.0,3.0,Wood,Locke,None,2:51,N,29915.0,1.24,-2,
22,"Wednesday, Apr 29",PIT,@,CHC,W,8.0,1.0,9.0,12-10,3.0,3.0,Cole,Hendricks,None,3:04,N,30634.0,1.16,1,
23,"Friday, May 1",PIT,@,STL,L-wo,1.0,2.0,10.0,12-11,3.0,4.5,Choate,Scahill,None,3:31,N,40912.0,1.21,-1,
24,"Saturday, May 2",PIT,@,STL,L-wo,1.0,2.0,11.0,12-12,3.0,5.5,Villanueva,Hughes,None,3:27,D,45095.0,1.19,-2,
25,"Sunday, May 3",PIT,@,STL,L-wo,2.0,3.0,14.0,12-13,3.0,6.5,Socolovich,Liz,None,4:28,D,44382.0,1.16,-3,
26,"Tuesday, May 5",PIT,Home,CIN,L,1.0,7.0,9.0,12-14,4.0,8.0,Lorenzen,Locke,None,2:50,N,16822.0,.95,-4,
27,"Wednesday, May 6",PIT,Home,CIN,L,0.0,3.0,9.0,12-15,4.0,8.0,Leake,Cole,Chapman,2:35,N,16527.0,.90,-5,
28,"Thursday, May 7",PIT,Home,CIN,W,7.0,2.0,9.0,13-15,4.0,8.0,Burnett,DeSclafani,None,2:56,N,27302.0,.81,1,
29,"Friday, May 8",PIT,Home,STL,L,5.0,8.0,9.0,13-16,4.0,9.0,Wacha,Liriano,Rosenthal,2:58,N,33507.0,.98,-1,
30,"Saturday, May 9",PIT,Home,STL,W,7.0,5.0,9.0,14-16,4.0,8.0,Scahill,Martinez,Melancon,2:34,N,38068.0,.86,1,
31,"Sunday, May 10",PIT,Home,STL,W,4.0,3.0,9.0,15-16,3.0,7.0,Hughes,Harris,Melancon,2:38,D,34036.0,.94,2,
32,"Monday, May 11",PIT,@,PHI,W,4.0,3.0,9.0,16-16,3.0,6.5,Cole,Williams,Melancon,2:55,N,21358.0,.82,3,
33,"Tuesday, May 12",PIT,@,PHI,W,7.0,2.0,9.0,17-16,3.0,6.5,Burnett,O'Sullivan,None,2:49,N,20393.0,.91,4,
34,"Wednesday, May 13",PIT,@,PHI,L,2.0,3.0,9.0,17-17,3.0,6.5,Hamels,Liriano,Papelbon,2:37,N,29576.0,.92,-1,
35,"Thursday, May 14",PIT,@,PHI,L,2.0,4.0,9.0,17-18,4.0,7.5,Harang,Worley,Papelbon,2:40,D,29205.0,.89,-2,
36,"Friday, May 15",PIT,@,CHC,L-wo,10.0,11.0,12.0,17-19,4.0,7.5,Jackson,Liz,None,5:01,D,33617.0,.97,-3,
37,"Saturday, May 16",PIT,@,CHC,L,1.0,4.0,9.0,17-20,4.0,7.5,Lester,Cole,Wood,3:05,D,38883.0,.94,-4,
38,"Sunday, May 17",PIT,@,CHC,W,3.0,0.0,9.0,18-20,3.0,7.5,Burnett,Arrieta,Melancon,3:07,D,36289.0,.88,1,
39,"Tuesday, May 19",PIT,Home,MIN,L,5.0,8.0,9.0,18-21,3.0,8.0,Nolasco,Liriano,Perkins,2:53,N,22357.0,.81,-1,
40,"Wednesday, May 20",PIT,Home,MIN,L,3.0,4.0,13.0,18-22,3.0,9.0,Duensing,Bastardo,Perkins,3:56,N,21718.0,.74,-2,
41,"Friday, May 22",PIT,Home,NYM,W,4.0,1.0,9.0,19-22,3.0,7.5,Cole,Syndergaard,Melancon,2:24,N,33337.0,.68,1,
42,"Saturday, May 23",PIT,Home,NYM,W,8.0,2.0,9.0,20-22,3.0,6.5,Burnett,Harvey,None,2:41,D,39385.0,.79,2,
43,"Sunday, May 24",PIT,Home,NYM,W,9.0,1.0,9.0,21-22,3.0,6.5,Liriano,Niese,None,2:46,D,37784.0,.86,3,
44,"Monday, May 25",PIT,Home,MIA,W,4.0,2.0,9.0,22-22,3.0,6.5,Morton,Phelps,Melancon,2:20,N,20046.0,.93,4,
45,"Tuesday, May 26",PIT,Home,MIA,W,5.0,1.0,9.0,23-22,3.0,6.5,Locke,Urena,None,2:38,N,20806.0,.94,5,
46,"Wednesday, May 27",PIT,Home,MIA,W,5.0,2.0,9.0,24-22,3.0,6.5,Cole,Dyson,Melancon,2:38,D,33238.0,.95,6,
47,"Thursday, May 28",PIT,@,SDP,W,11.0,5.0,9.0,25-22,3.0,6.0,Burnett,Kennedy,None,3:05,N,23104.0,1.04,7,
