,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Monday, Apr 3",SDP,@,LAD,L,3.0,14.0,9.0,0-1,4.0,1.0,Kershaw,Chacin,None,2:52,D,53701.0,1.07,-1,
2,"Tuesday, Apr 4",SDP,@,LAD,W,4.0,0.0,9.0,1-1,2.0,1.0,Richard,Maeda,None,2:44,N,42196.0,1.02,1,
3,"Wednesday, Apr 5",SDP,@,LAD,L,1.0,3.0,9.0,1-2,4.0,1.0,Hill,Cahill,Jansen,2:43,N,38373.0,1.08,-1,
4,"Thursday, Apr 6",SDP,@,LAD,L,2.0,10.0,9.0,1-3,4.0,2.0,McCarthy,Weaver,None,3:14,D,36501.0,1.04,-2,
5,"Friday, Apr 7",SDP,Home,SFG,W,7.0,6.0,9.0,2-3,4.0,2.0,Torres,Kontos,Maurer,2:58,D,43441.0,.94,1,
6,"Saturday, Apr 8",SDP,Home,SFG,W,2.0,1.0,9.0,3-3,3.0,2.0,Chacin,Bumgarner,Buchter,2:24,N,42397.0,.97,2,
7,"Sunday, Apr 9",SDP,Home,SFG,L,3.0,5.0,9.0,3-4,4.0,3.0,Cueto,Richard,Melancon,2:57,D,40537.0,1.01,-1,
8,"Monday, Apr 10",SDP,@,COL,W,5.0,3.0,9.0,4-4,3.0,2.0,Diaz,Chatwood,None,2:53,N,20504.0,1.02,1,
9,"Tuesday, Apr 11",SDP,@,COL,L,2.0,3.0,9.0,4-5,4.0,3.0,Senzatela,Diaz,Holland,2:24,N,20664.0,1.10,-1,
10,"Wednesday, Apr 12",SDP,@,COL,W,6.0,0.0,9.0,5-5,4.0,2.0,Lee,Freeland,None,2:49,D,20968.0,1.05,1,
11,"Friday, Apr 14",SDP,@,ATL,L,2.0,5.0,9.0,5-6,4.0,2.0,Teheran,Chacin,Johnson,2:57,N,41149.0,.95,-1,
12,"Saturday, Apr 15",SDP,@,ATL,L,2.0,4.0,9.0,5-7,4.0,2.5,Dickey,Richard,Johnson,2:20,N,41149.0,.92,-2,
13,"Sunday, Apr 16",SDP,@,ATL,L,2.0,9.0,9.0,5-8,4.0,3.5,Colon,Cahill,None,2:46,D,37147.0,.88,-3,
14,"Monday, Apr 17",SDP,@,ATL,L-wo,4.0,5.0,9.0,5-9,4.0,4.0,Johnson,Maurer,None,2:48,N,24516.0,.85,-4,
15,"Tuesday, Apr 18",SDP,Home,ARI,L,2.0,11.0,9.0,5-10,5.0,5.0,Miller,Cosart,None,3:20,N,19869.0,.90,-5,
16,"Wednesday, Apr 19",SDP,Home,ARI,W,1.0,0.0,9.0,6-10,4.0,4.0,Chacin,Greinke,Maurer,2:13,N,17089.0,.81,1,
17,"Thursday, Apr 20",SDP,Home,ARI,W,4.0,1.0,9.0,7-10,4.0,3.5,Richard,Corbin,Maurer,2:24,N,17831.0,.88,2,
18,"Friday, Apr 21",SDP,Home,MIA,W,5.0,3.0,9.0,8-10,4.0,3.5,Cahill,Phelps,None,2:28,N,30413.0,.84,3,
19,"Saturday, Apr 22",SDP,Home,MIA,L,3.0,6.0,11.0,8-11,4.0,4.5,Ziegler,Torres,Ramos,3:13,N,39319.0,.87,-1,
20,"Sunday, Apr 23",SDP,Home,MIA,L,3.0,7.0,9.0,8-12,4.0,5.5,Koehler,Stammen,None,2:42,D,26070.0,.84,-2,
21,"Monday, Apr 24",SDP,@,ARI,L,6.0,7.0,9.0,8-13,4.0,6.5,Greinke,Chacin,Rodney,3:05,N,14758.0,.83,-3,
22,"Tuesday, Apr 25",SDP,@,ARI,L,3.0,9.0,9.0,8-14,4.0,6.5,Corbin,Richard,None,3:02,N,17531.0,.78,-4,
23,"Wednesday, Apr 26",SDP,@,ARI,W,8.0,5.0,9.0,9-14,4.0,5.5,Buchter,Rodney,Maurer,3:14,N,12215.0,.75,1,
24,"Thursday, Apr 27",SDP,@,ARI,L,2.0,6.0,9.0,9-15,4.0,6.0,Walker,Weaver,None,2:21,N,15452.0,.87,-1,
25,"Friday, Apr 28",SDP,@,SFG,L,3.0,4.0,9.0,9-16,5.0,6.5,Law,Buchter,Melancon,2:26,N,41436.0,.71,-2,
26,"Saturday, Apr 29",SDP,@,SFG,W,12.0,4.0,9.0,10-16,4.0,6.5,Chacin,Stratton,None,3:32,N,42862.0,.65,1,
27,"Sunday, Apr 30",SDP,@,SFG,W,5.0,2.0,12.0,11-16,4.0,5.5,Buchter,Kontos,Torres,3:23,D,41989.0,.68,2,
28,"Tuesday, May 2",SDP,Home,COL,W,6.0,2.0,9.0,12-16,4.0,5.0,Cahill,Chatwood,None,2:56,N,18910.0,.85,3,
29,"Wednesday, May 3",SDP,Home,COL,L,3.0,11.0,9.0,12-17,4.0,5.5,Senzatela,Weaver,None,2:53,N,16487.0,.90,-1,
30,"Thursday, May 4",SDP,Home,COL,L,2.0,3.0,11.0,12-18,4.0,6.5,Qualls,Hand,Holland,4:13,D,16356.0,.84,-2,
31,"Friday, May 5",SDP,Home,LAD,L,2.0,8.0,9.0,12-19,4.0,6.5,Romo,Torres,Fields,4:11,N,34320.0,.73,-3,
32,"Saturday, May 6",SDP,Home,LAD,L,2.0,10.0,9.0,12-20,4.0,7.5,Kershaw,Richard,None,3:26,N,36337.0,.67,-4,
33,"Monday, May 8",SDP,Home,TEX,W,5.0,1.0,9.0,13-20,4.0,7.5,Cahill,Martinez,None,2:38,N,17756.0,.54,1,
34,"Tuesday, May 9",SDP,Home,TEX,L,0.0,11.0,9.0,13-21,4.0,8.0,Griffin,Weaver,None,2:33,D,14224.0,.54,-1,
35,"Wednesday, May 10",SDP,@,TEX,L,3.0,4.0,9.0,13-22,4.0,9.0,Jeffress,Hand,Bush,3:24,N,24350.0,.51,-2,
36,"Thursday, May 11",SDP,@,TEX,L-wo,2.0,5.0,9.0,13-23,4.0,10.0,Dyson,Maurer,None,2:39,N,22405.0,.43,-3,
37,"Friday, May 12",SDP,@,CHW,W,6.0,3.0,9.0,14-23,4.0,9.0,Chacin,Gonzalez,Maurer,3:16,N,24194.0,.39,1,
38,"Saturday, May 13",SDP,@,CHW,L-wo,4.0,5.0,9.0,14-24,4.0,9.0,Robertson,Hand,None,3:16,N,29111.0,.45,-1,
39,"Sunday, May 14",SDP,@,CHW,L,3.0,9.0,9.0,14-25,5.0,10.0,Ynoa,Buchter,None,3:16,D,22518.0,.39,-2,
40,"Monday, May 15",SDP,Home,MIL,W-wo,6.0,5.0,10.0,15-25,5.0,9.5,Torres,Drake,None,3:37,N,15866.0,.38,1,
41,"Tuesday, May 16",SDP,Home,MIL,L,2.0,6.0,9.0,15-26,5.0,10.5,Nelson,Richard,None,2:41,N,16657.0,.43,-1,
42,"Wednesday, May 17",SDP,Home,MIL,L,1.0,3.0,9.0,15-27,5.0,11.0,Barnes,Maurer,Knebel,2:51,N,17356.0,.36,-2,
