,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Friday, Jul 24",SEA,@,HOU,L,2.0,8.0,9.0,0-1,4.0,1.0,Verlander,Gonzales,None,2:49,N,,1.18,-1,
2,"Saturday, Jul 25",SEA,@,HOU,L,2.0,7.0,9.0,0-2,5.0,2.0,McCullers,Walker,None,2:53,D,,1.18,-2,
3,"Sunday, Jul 26",SEA,@,HOU,W,7.0,6.0,9.0,1-2,3.0,1.0,Altavilla,Devenski,Williams,3:41,D,,1.16,1,
4,"Monday, Jul 27",SEA,@,HOU,L,5.0,8.0,9.0,1-3,4.0,2.0,Bielak,Graveman,Osuna,3:04,N,,1.19,-1,
5,"Tuesday, Jul 28",SEA,@,LAA,L,2.0,10.0,9.0,1-4,5.0,2.0,Buchter,Sheffield,None,3:15,N,,1.16,-2,
6,"Wednesday, Jul 29",SEA,@,LAA,W,10.0,7.0,9.0,2-4,4.0,1.0,Shaw,Barnes,Altavilla,3:47,N,,1.13,1,
7,"Thursday, Jul 30",SEA,@,LAA,W,8.0,5.0,9.0,3-4,3.0,0.5,Gonzales,Bundy,None,2:59,N,,1.22,2,
8,"Friday, Jul 31",SEA,Home,OAK,W,5.0,3.0,9.0,4-4,2.0,0.5,Walker,Manaea,Williams,2:34,N,,1.25,3,
9,"Saturday, Aug 1",SEA,Home,OAK,L,2.0,3.0,10.0,4-5,3.0,0.5,Soria,Altavilla,Hendriks,3:11,N,,1.28,-1,
10,"Sunday, Aug 2",SEA,Home,OAK,L,2.0,3.0,9.0,4-6,3.0,1.5,Bassitt,Graveman,Hendriks,3:20,D,,1.29,-2,
11,"Monday, Aug 3",SEA,Home,OAK,L,1.0,11.0,9.0,4-7,4.0,2.5,Montas,Sheffield,None,3:04,N,,1.24,-3,
12,"Tuesday, Aug 4",SEA,Home,LAA,L,3.0,5.0,9.0,4-8,5.0,3.5,Heaney,Dunn,Buttrey,2:55,N,,1.20,-4,
13,"Wednesday, Aug 5",SEA,Home,LAA,W,7.0,6.0,9.0,5-8,3.0,3.5,Gonzales,Teheran,Edwards,3:09,N,,1.12,1,
14,"Thursday, Aug 6",SEA,Home,LAA,L,1.0,6.0,9.0,5-9,4.0,4.5,Bundy,Walker,None,2:23,D,,1.19,-1,
15,"Friday, Aug 7",SEA,Home,COL,L,4.0,8.0,9.0,5-10,5.0,5.5,Senzatela,Kikuchi,None,3:13,N,,1.03,-2,
16,"Saturday, Aug 8",SEA,Home,COL,L,0.0,5.0,9.0,5-11,5.0,6.5,Hoffman,Misiewicz,None,2:49,N,,.94,-3,
17,"Sunday, Aug 9",SEA,Home,COL,W,5.0,3.0,9.0,6-11,4.0,6.5,Sheffield,Marquez,Williams,2:45,D,,.82,1,
18,"Monday, Aug 10",SEA,@,TEX,W,10.0,2.0,9.0,7-11,4.0,5.5,Dunn,Gibson,None,3:18,N,,1.08,2,
19,"Tuesday, Aug 11",SEA,@,TEX,L,2.0,4.0,9.0,7-12,5.0,5.5,Volquez,Gonzales,Montero,2:56,N,,1.13,-1,
20,"Wednesday, Aug 12",SEA,@,TEX,L,4.0,7.0,9.0,7-13,5.0,6.5,Hernandez,Swanson,Montero,3:09,N,,1.12,-2,
21,"Friday, Aug 14",SEA,@,HOU,L,1.0,11.0,9.0,7-14,5.0,7.5,Valdez,Cortes,None,3:10,N,,.95,-3,
22,"Saturday, Aug 15",SEA,@,HOU,L,1.0,2.0,9.0,7-15,5.0,8.5,Javier,Margevicius,Pressly,2:30,N,,.80,-4,
23,"Sunday, Aug 16",SEA,@,HOU,L-wo,2.0,3.0,9.0,7-16,5.0,9.5,Pressly,Swanson,None,2:56,D,,.67,-5,
24,"Monday, Aug 17",SEA,@,LAD,L,9.0,11.0,9.0,7-17,5.0,9.5,Ferguson,Magill,Jansen,3:32,N,,.48,-6,
25,"Tuesday, Aug 18",SEA,@,LAD,L,1.0,2.0,9.0,7-18,5.0,9.5,Treinen,Altavilla,None,2:38,D,,.41,-7,
26,"Wednesday, Aug 19",SEA,Home,LAD,W,6.0,4.0,9.0,8-18,5.0,9.5,Walker,Santana,Williams,3:15,N,,.29,1,
27,"Thursday, Aug 20",SEA,Home,LAD,L,1.0,6.0,9.0,8-19,5.0,10.5,Kershaw,Kikuchi,None,2:42,D,,.37,-1,
28,"Friday, Aug 21",SEA,Home,TEX,W,7.0,4.0,9.0,9-19,4.0,10.5,Margevicius,Allard,Williams,2:41,N,,.27,1,
29,"Saturday, Aug 22",SEA,Home,TEX,W,10.0,1.0,9.0,10-19,4.0,9.5,Sheffield,Lyles,None,2:51,N,,.37,2,
30,"Sunday, Aug 23",SEA,Home,TEX,W,4.0,1.0,9.0,11-19,4.0,9.5,Dunn,Minor,Williams,2:14,D,,.47,3,
31,"Tuesday, Aug 25",SEA,@,SDP,W,8.0,3.0,9.0,12-19,3.0,9.0,Gonzales,Paddack,None,3:08,N,,.53,4,
32,"Thursday, Aug 27 (1)",SEA,@,SDP,L-wo,7.0,10.0,7.0,12-20,3.0,9.5,Johnson,Williams,None,2:49,D,,.65,-1,2020-08-26 (Boycott (racial justice); (Game2))
33,"Thursday, Aug 27 (2)",SEA,@,SDP,W,8.0,3.0,7.0,13-20,3.0,9.5,Kikuchi,Richards,None,2:39,D,,.53,1,
34,"Friday, Aug 28",SEA,@,LAA,L,2.0,3.0,9.0,13-21,4.0,10.0,Heaney,Margevicius,Buttrey,2:50,N,,.69,-1,
