,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Thursday, Mar 28",SFG,@,SDP,L,0.0,2.0,9.0,0-1,4.0,1.0,Lauer,Bumgarner,Yates,2:18,D,44655.0,1.08,-1,
2,"Friday, Mar 29",SFG,@,SDP,L,1.0,4.0,9.0,0-2,5.0,2.0,Lucchesi,Holland,Yates,3:07,N,33769.0,1.02,-2,
3,"Saturday, Mar 30",SFG,@,SDP,W,3.0,2.0,9.0,1-2,4.0,1.0,Rodriguez,Margevicius,Smith,3:10,N,41899.0,.97,1,
4,"Sunday, Mar 31",SFG,@,SDP,L,1.0,3.0,9.0,1-3,4.0,2.0,Warren,Vincent,Yates,2:47,D,38444.0,1.02,-1,
5,"Monday, Apr 1",SFG,@,LAD,W,4.0,2.0,9.0,2-3,3.0,1.0,Gott,Kelly,Smith,2:59,N,40477.0,1.00,1,
6,"Tuesday, Apr 2",SFG,@,LAD,L,5.0,6.0,9.0,2-4,4.0,2.0,Ryu,Bumgarner,Jansen,2:50,N,42887.0,1.03,-1,
7,"Wednesday, Apr 3",SFG,@,LAD,L,3.0,5.0,9.0,2-5,5.0,3.0,Alexander,Moronta,Jansen,2:59,N,51170.0,1.03,-2,
8,"Friday, Apr 5",SFG,Home,TBR,L,2.0,5.0,9.0,2-6,5.0,4.0,Glasnow,Rodriguez,Alvarado,3:06,D,41067.0,.77,-3,
9,"Saturday, Apr 6",SFG,Home,TBR,W,6.0,4.0,9.0,3-6,4.0,4.0,Bergen,Yarbrough,Smith,2:51,D,31828.0,.75,1,
10,"Sunday, Apr 7",SFG,Home,TBR,L,0.0,3.0,9.0,3-7,4.0,5.0,Chirinos,Pomeranz,Alvarado,3:06,D,31574.0,.75,-1,
11,"Monday, Apr 8",SFG,Home,SDP,L,5.0,6.0,9.0,3-8,4.0,5.0,Lauer,Moronta,Yates,2:55,N,28625.0,.84,-2,
12,"Tuesday, Apr 9",SFG,Home,SDP,W,7.0,2.0,9.0,4-8,4.0,4.0,Holland,Lucchesi,None,2:39,N,28506.0,.79,1,
13,"Wednesday, Apr 10",SFG,Home,SDP,L,1.0,3.0,9.0,4-9,4.0,4.0,Margevicius,Rodriguez,Yates,2:37,D,28584.0,.89,-1,
14,"Thursday, Apr 11",SFG,Home,COL,W,1.0,0.0,9.0,5-9,4.0,4.0,Samardzija,Gray,Smith,2:34,N,29727.0,.77,1,
15,"Friday, Apr 12",SFG,Home,COL,W-wo,3.0,2.0,18.0,6-9,4.0,4.0,Bergen,Johnson,None,5:35,N,33616.0,.83,2,
16,"Saturday, Apr 13",SFG,Home,COL,W,5.0,2.0,9.0,7-9,3.0,4.0,Bumgarner,Freeland,Dyson,2:48,D,32607.0,.86,3,
17,"Sunday, Apr 14",SFG,Home,COL,L,0.0,4.0,9.0,7-10,4.0,4.0,Marquez,Holland,None,2:25,D,35513.0,.94,-1,
18,"Tuesday, Apr 16",SFG,@,WSN,W,7.0,3.0,9.0,8-10,4.0,2.5,Rodriguez,Strasburg,None,3:16,N,22334.0,.85,1,
19,"Wednesday, Apr 17",SFG,@,WSN,L,6.0,9.0,9.0,8-11,4.0,3.5,Hellickson,Samardzija,None,3:07,N,22611.0,.89,-1,
20,"Thursday, Apr 18",SFG,@,WSN,L,2.0,4.0,9.0,8-12,4.0,4.5,Corbin,Pomeranz,Doolittle,2:52,D,26085.0,.80,-2,
21,"Friday, Apr 19",SFG,@,PIT,L,1.0,4.0,9.0,8-13,5.0,5.5,Lyles,Bumgarner,Vazquez,2:48,N,15049.0,.76,-3,
22,"Saturday, Apr 20",SFG,@,PIT,L,1.0,3.0,5.0,8-14,5.0,5.5,Taillon,Holland,None,1:32,D,17663.0,.70,-4,
