,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Thursday, Apr 1",STL,@,CIN,W,11.0,6.0,9.0,1-0,1.0,Tied,Gallegos,Castillo,None,3:31,D,12264.0,1.08,1,
2,"Saturday, Apr 3",STL,@,CIN,L,6.0,9.0,9.0,1-1,1.0,Tied,Mahle,Wainwright,None,3:24,D,12213.0,1.09,-1,
3,"Sunday, Apr 4",STL,@,CIN,L,1.0,12.0,9.0,1-2,3.0,1.0,Hoffman,Martinez,None,3:00,D,11629.0,1.08,-2,
4,"Monday, Apr 5",STL,@,MIA,W,4.0,1.0,9.0,2-2,3.0,1.0,Ponce de Leon,Rogers,Reyes,3:09,N,4605.0,.95,1,
5,"Tuesday, Apr 6",STL,@,MIA,W,4.0,2.0,9.0,3-2,2.0,1.0,Helsley,Alcantara,Reyes,3:43,N,4982.0,1.00,2,
6,"Wednesday, Apr 7",STL,@,MIA,W,7.0,0.0,9.0,4-2,2.0,1.0,Flaherty,Lopez,None,3:10,D,5244.0,1.04,3,
7,"Thursday, Apr 8",STL,Home,MIL,W,3.0,1.0,9.0,5-2,2.0,0.5,Gallegos,Rasmussen,Reyes,3:05,D,13328.0,1.15,4,
8,"Saturday, Apr 10",STL,Home,MIL,L,5.0,9.0,9.0,5-3,2.0,1.0,Houser,Martinez,None,3:43,D,13304.0,1.19,-1,
9,"Sunday, Apr 11",STL,Home,MIL,L,3.0,9.0,9.0,5-4,2.0,1.0,Anderson,Ponce de Leon,None,3:04,D,13176.0,1.18,-2,
10,"Monday, Apr 12",STL,Home,WSN,L,2.0,5.0,9.0,5-5,3.0,2.0,Finnegan,Gant,Hand,3:20,N,12894.0,.99,-3,
11,"Tuesday, Apr 13",STL,Home,WSN,W,14.0,3.0,9.0,6-5,2.0,1.0,Flaherty,Strasburg,None,3:24,N,12714.0,.94,1,
12,"Wednesday, Apr 14",STL,Home,WSN,L,0.0,6.0,9.0,6-6,3.0,1.0,Ross,Wainwright,None,3:11,D,13206.0,.99,-1,
13,"Friday, Apr 16",STL,@,PHI,L,2.0,9.0,9.0,6-7,3.0,2.0,Eflin,Martinez,None,2:34,N,10842.0,.97,-2,
14,"Saturday, Apr 17",STL,@,PHI,W,9.0,4.0,9.0,7-7,3.0,2.0,Helsley,Moore,None,3:54,D,10890.0,.96,1,
15,"Sunday, Apr 18",STL,@,PHI,L,0.0,2.0,9.0,7-8,3.0,2.0,Nola,Gant,None,2:34,D,10876.0,.98,-1,
16,"Monday, Apr 19",STL,@,WSN,W,12.0,5.0,9.0,8-8,3.0,1.5,Flaherty,Ross,None,3:11,N,7542.0,.96,1,
17,"Tuesday, Apr 20",STL,@,WSN,L,2.0,3.0,9.0,8-9,3.0,2.0,Hudson,Gallegos,Hand,2:51,N,8418.0,1.01,-1,
18,"Wednesday, Apr 21",STL,@,WSN,L,0.0,1.0,9.0,8-10,4.0,3.0,Scherzer,Martinez,Hand,3:01,D,7769.0,.92,-2,
19,"Friday, Apr 23",STL,Home,CIN,W,5.0,4.0,9.0,9-10,3.0,2.0,Kim,Gray,Reyes,3:15,N,13196.0,.99,1,
20,"Saturday, Apr 24",STL,Home,CIN,W,2.0,0.0,9.0,10-10,2.0,2.0,Gant,Miley,Gallegos,2:33,D,13176.0,1.09,2,
21,"Sunday, Apr 25",STL,Home,CIN,W,5.0,2.0,9.0,11-10,2.0,2.0,Flaherty,Castillo,Reyes,2:49,D,13348.0,1.12,3,
22,"Monday, Apr 26",STL,Home,PHI,L,1.0,2.0,9.0,11-11,2.0,2.0,Wheeler,Wainwright,Neris,2:22,N,12866.0,1.05,-1,
23,"Tuesday, Apr 27",STL,Home,PHI,W,5.0,2.0,9.0,12-11,2.0,2.0,Martinez,Eflin,Reyes,2:42,N,12895.0,.99,1,
24,"Wednesday, Apr 28",STL,Home,PHI,L,3.0,5.0,9.0,12-12,2.0,2.0,Kintzler,Cabrera,Neris,3:19,N,12701.0,1.02,-1,
25,"Thursday, Apr 29",STL,Home,PHI,W-wo,4.0,3.0,10.0,13-12,2.0,2.0,Reyes,Hale,None,3:10,D,13159.0,1.04,1,
26,"Friday, Apr 30",STL,@,PIT,W,7.0,3.0,9.0,14-12,2.0,2.0,Gant,Brubaker,None,3:19,N,5953.0,1.17,2,
27,"Saturday, May 1",STL,@,PIT,W,12.0,5.0,9.0,15-12,2.0,2.0,Flaherty,Cahill,None,3:43,N,7331.0,1.22,3,
28,"Sunday, May 2",STL,@,PIT,W,3.0,0.0,9.0,16-12,2.0,1.0,Martinez,Crowe,Reyes,2:41,D,7343.0,1.26,4,
29,"Monday, May 3",STL,Home,NYM,W,6.0,5.0,9.0,17-12,1.0,Tied,Wainwright,Lucchesi,Reyes,3:20,N,12686.0,1.21,5,
30,"Wednesday, May 5 (1)",STL,Home,NYM,W,4.0,1.0,7.0,18-12,1.0,up 1.0,Helsley,Stroman,Reyes,2:28,D,,1.25,6,
31,"Wednesday, May 5 (2)",STL,Home,NYM,L,2.0,7.0,7.0,18-13,1.0,up 1.0,Yamamoto,Oviedo,None,2:40,N,13187.0,1.27,-1,
32,"Thursday, May 6",STL,Home,NYM,L,1.0,4.0,9.0,18-14,1.0,up 1.0,Walker,Gant,Díaz,3:19,D,12939.0,1.25,-2,
33,"Friday, May 7",STL,Home,COL,W,5.0,0.0,9.0,19-14,1.0,up 2.0,Flaherty,Gomber,None,2:42,N,13435.0,1.19,1,
34,"Saturday, May 8",STL,Home,COL,W,9.0,8.0,9.0,20-14,1.0,up 2.0,Martinez,Gonzalez,Reyes,3:39,D,13390.0,1.22,2,
35,"Sunday, May 9",STL,Home,COL,W,2.0,0.0,9.0,21-14,1.0,up 2.0,Wainwright,Marquez,Helsley,2:48,D,13380.0,1.29,3,
36,"Tuesday, May 11",STL,@,MIL,W,6.0,1.0,11.0,22-14,1.0,up 3.0,Reyes,Boxberger,None,3:55,N,10595.0,1.50,4,
37,"Wednesday, May 12",STL,@,MIL,L,1.0,4.0,9.0,22-15,1.0,up 2.0,Williams,Helsley,Hader,3:07,N,10226.0,1.56,-1,
