,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Monday, Mar 31",TBR,Home,TOR,W,9.0,2.0,9.0,1-0,1.0,Tied,Price,Dickey,None,3:04,D,31042.0,1.06,1,
2,"Tuesday, Apr 1",TBR,Home,TOR,L,2.0,4.0,9.0,1-1,2.0,0.5,Hutchison,Cobb,Santos,3:32,N,11113.0,1.11,-1,
3,"Wednesday, Apr 2",TBR,Home,TOR,L,0.0,3.0,9.0,1-2,4.0,1.0,Buehrle,Moore,Cecil,2:55,N,10808.0,1.08,-2,
4,"Thursday, Apr 3",TBR,Home,TOR,W,7.0,2.0,9.0,2-2,2.0,0.5,Archer,Morrow,None,3:21,N,9571.0,1.07,1,
5,"Friday, Apr 4",TBR,Home,TEX,W,8.0,1.0,9.0,3-2,1.0,up 0.5,Odorizzi,Saunders,None,3:10,N,14304.0,.94,2,
6,"Saturday, Apr 5",TBR,Home,TEX,W,5.0,4.0,9.0,4-2,1.0,up 1.0,Gomes,Cotts,Balfour,2:48,N,30364.0,.99,3,
7,"Sunday, Apr 6",TBR,Home,TEX,L,0.0,3.0,9.0,4-3,1.0,up 0.5,Darvish,Peralta,Soria,3:01,D,22569.0,1.04,-1,
8,"Monday, Apr 7",TBR,@,KCR,L,2.0,4.0,9.0,4-4,2.0,0.5,Vargas,Moore,Holland,2:56,N,12087.0,.96,-2,
9,"Tuesday, Apr 8",TBR,@,KCR,W,1.0,0.0,9.0,5-4,1.0,up 0.5,Peralta,Holland,Balfour,3:13,N,13905.0,1.04,1,
10,"Wednesday, Apr 9",TBR,@,KCR,L,3.0,7.0,9.0,5-5,2.0,0.5,Guthrie,Odorizzi,None,2:46,D,13612.0,1.00,-1,
11,"Friday, Apr 11",TBR,@,CIN,W,2.0,1.0,9.0,6-5,1.0,Tied,Price,Cueto,Balfour,3:22,N,30502.0,.96,1,
12,"Saturday, Apr 12",TBR,@,CIN,W,1.0,0.0,9.0,7-5,1.0,up 1.0,Cobb,Simon,Balfour,2:31,D,35356.0,.96,2,
13,"Sunday, Apr 13",TBR,@,CIN,L,4.0,12.0,9.0,7-6,1.0,Tied,Cingrani,Ramos,None,3:41,D,34307.0,1.05,-1,
14,"Monday, Apr 14",TBR,@,BAL,L,1.0,7.0,9.0,7-7,3.0,0.5,Chen,Archer,None,2:46,N,15799.0,1.17,-2,
15,"Wednesday, Apr 16",TBR,@,BAL,L,0.0,3.0,9.0,7-8,4.0,2.0,Gonzalez,Odorizzi,Hunter,2:53,D,22611.0,1.08,-3,
16,"Thursday, Apr 17",TBR,Home,NYY,L,2.0,10.0,9.0,7-9,4.0,3.0,Sabathia,Price,None,3:13,N,28085.0,1.05,-4,
17,"Friday, Apr 18",TBR,Home,NYY,W,11.0,5.0,9.0,8-9,4.0,2.0,McGee,Warren,None,3:56,N,26079.0,.97,1,
18,"Saturday, Apr 19",TBR,Home,NYY,W,16.0,1.0,9.0,9-9,3.0,1.0,Archer,Nova,None,3:15,N,30159.0,1.07,2,
19,"Sunday, Apr 20",TBR,Home,NYY,L,1.0,5.0,12.0,9-10,3.0,2.0,Claiborne,Bell,None,4:23,D,26462.0,1.12,-1,
20,"Tuesday, Apr 22",TBR,Home,MIN,W,7.0,3.0,9.0,10-10,3.0,2.0,Price,Gibson,None,2:53,N,11785.0,.92,1,
21,"Wednesday, Apr 23",TBR,Home,MIN,L,4.0,6.0,12.0,10-11,4.0,2.0,Fien,Lueke,Perkins,4:48,N,11993.0,.94,-1,
22,"Thursday, Apr 24",TBR,Home,MIN,L,7.0,9.0,9.0,10-12,4.0,3.0,Nolasco,Bedard,Perkins,3:42,D,13177.0,.92,-2,
23,"Friday, Apr 25",TBR,@,CHW,L-wo,6.0,9.0,9.0,10-13,5.0,3.0,Lindstrom,Balfour,None,4:04,N,17210.0,.89,-3,
24,"Saturday, Apr 26",TBR,@,CHW,W,4.0,0.0,9.0,11-13,4.0,3.0,Ramos,Danks,None,3:11,N,22412.0,.82,1,
25,"Sunday, Apr 27",TBR,@,CHW,L,2.0,9.0,9.0,11-14,5.0,4.0,Carroll,Price,None,2:55,D,17313.0,.92,-1,
26,"Monday, Apr 28",TBR,@,CHW,L,3.0,7.0,9.0,11-15,5.0,4.5,Rienzo,Odorizzi,None,3:19,N,11268.0,.79,-2,
27,"Tuesday, Apr 29",TBR,@,BOS,L,4.0,7.0,9.0,11-16,5.0,4.5,Lackey,Gomes,Uehara,3:40,N,34794.0,.89,-3,
28,"Thursday, May 1 (1)",TBR,@,BOS,W,2.0,1.0,9.0,12-16,4.0,3.0,Gomes,Peavy,Balfour,3:27,D,35621.0,.90,1,2014-04-30 (Rain)
29,"Thursday, May 1 (2)",TBR,@,BOS,W,6.0,5.0,9.0,13-16,4.0,3.0,McGee,Uehara,Balfour,3:44,N,33465.0,.93,2,
30,"Friday, May 2",TBR,@,NYY,W,10.0,5.0,14.0,14-16,3.0,2.5,Bell,Leroux,None,5:49,N,33580.0,1.07,3,
31,"Saturday, May 3",TBR,@,NYY,L,3.0,9.0,9.0,14-17,4.0,3.0,Tanaka,Lueke,None,3:31,D,43325.0,1.07,-1,
32,"Sunday, May 4",TBR,@,NYY,W,5.0,1.0,9.0,15-17,3.0,2.0,Bedard,Sabathia,None,3:14,D,41122.0,1.01,1,
33,"Tuesday, May 6",TBR,Home,BAL,L,3.0,5.0,9.0,15-18,5.0,2.5,O'Day,Peralta,Hunter,3:36,N,11855.0,1.09,-1,
