,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Monday, Apr 4",TEX,Home,SEA,W,3.0,2.0,9.0,1-0,1.0,up 0.5,Hamels,Hernandez,Tolleson,2:38,D,49289.0,1.06,1,
2,"Tuesday, Apr 5",TEX,Home,SEA,L,2.0,10.0,9.0,1-1,2.0,0.5,Vincent,Barnette,None,3:30,N,28386.0,1.15,-1,
3,"Wednesday, Apr 6",TEX,Home,SEA,L,5.0,9.0,9.0,1-2,3.0,1.0,Benoit,Tolleson,None,2:56,D,26945.0,1.08,-2,
4,"Thursday, Apr 7",TEX,@,LAA,L-wo,3.0,4.0,9.0,1-3,4.0,1.5,Street,Dyson,None,3:11,N,39089.0,1.00,-3,
5,"Friday, Apr 8",TEX,@,LAA,W,7.0,3.0,9.0,2-3,2.0,0.5,Griffin,Shoemaker,None,3:30,N,35207.0,.98,1,
6,"Saturday, Apr 9",TEX,@,LAA,W,4.0,1.0,9.0,3-3,1.0,Tied,Hamels,Richards,Tolleson,2:53,N,38106.0,1.08,2,
7,"Sunday, Apr 10",TEX,@,LAA,L,1.0,3.0,9.0,3-4,2.0,1.0,Weaver,Perez,Street,2:43,D,35097.0,1.06,-1,
8,"Monday, Apr 11",TEX,@,SEA,W,7.0,3.0,9.0,4-4,1.0,Tied,Lewis,Iwakuma,None,3:00,N,13468.0,1.06,1,
9,"Tuesday, Apr 12",TEX,@,SEA,W,8.0,0.0,9.0,5-4,1.0,up 0.5,Holland,Miley,None,2:35,N,13376.0,1.12,2,
10,"Wednesday, Apr 13",TEX,@,SEA,L-wo,2.0,4.0,10.0,5-5,2.0,0.5,Cishek,Diekman,None,3:20,D,15075.0,1.13,-1,
11,"Thursday, Apr 14",TEX,Home,BAL,W,6.0,3.0,9.0,6-5,1.0,Tied,Wilhelmsen,Tillman,Tolleson,2:47,N,22820.0,1.02,1,
12,"Friday, Apr 15",TEX,Home,BAL,L,5.0,11.0,9.0,6-6,1.0,Tied,Worley,Wilhelmsen,None,2:47,N,32628.0,1.08,-1,
13,"Saturday, Apr 16",TEX,Home,BAL,W,8.0,4.0,9.0,7-6,1.0,up 1.0,Kela,McFarland,None,2:48,N,39493.0,1.03,1,
14,"Tuesday, Apr 19",TEX,Home,HOU,W,7.0,5.0,9.0,8-6,1.0,up 1.0,Holland,Feldman,Tolleson,3:22,N,24181.0,1.16,2,
15,"Wednesday, Apr 20",TEX,Home,HOU,W,2.0,1.0,9.0,9-6,1.0,up 1.0,Hamels,Fister,Tolleson,3:10,N,25821.0,1.22,3,
16,"Thursday, Apr 21",TEX,Home,HOU,W,7.0,4.0,9.0,10-6,1.0,up 1.0,Griffin,Keuchel,Tolleson,2:42,N,25886.0,1.28,4,
17,"Friday, Apr 22",TEX,@,CHW,L,0.0,5.0,9.0,10-7,1.0,Tied,Quintana,Perez,None,2:41,N,15486.0,1.22,-1,
18,"Saturday, Apr 23",TEX,@,CHW,L-wo,3.0,4.0,11.0,10-8,1.0,Tied,Albers,Martinez,None,3:57,D,20182.0,1.16,-2,
19,"Sunday, Apr 24",TEX,@,CHW,L,1.0,4.0,9.0,10-9,1.0,Tied,Latos,Holland,Robertson,2:52,D,26058.0,1.12,-3,
20,"Monday, Apr 25",TEX,Home,NYY,L,1.0,3.0,9.0,10-10,2.0,0.5,Eovaldi,Ramos,Miller,2:46,N,31453.0,1.04,-4,
21,"Tuesday, Apr 26",TEX,Home,NYY,W,10.0,1.0,9.0,11-10,2.0,0.5,Griffin,Severino,None,2:19,N,26163.0,1.00,1,
22,"Wednesday, Apr 27",TEX,Home,NYY,W,3.0,2.0,9.0,12-10,1.0,up 0.5,Perez,Sabathia,Tolleson,2:44,N,35477.0,1.05,2,
23,"Friday, Apr 29",TEX,Home,LAA,W,4.0,2.0,9.0,13-10,1.0,up 0.5,Lewis,Santiago,Tolleson,2:35,N,29589.0,1.26,3,
24,"Saturday, Apr 30",TEX,Home,LAA,W,7.0,2.0,9.0,14-10,1.0,up 0.5,Holland,Shoemaker,None,2:55,N,41571.0,1.27,4,
25,"Sunday, May 1",TEX,Home,LAA,L,6.0,9.0,9.0,14-11,1.0,up 0.5,Mahle,Wilhelmsen,None,3:33,D,39401.0,1.30,-1,
26,"Monday, May 2",TEX,@,TOR,W,2.0,1.0,9.0,15-11,1.0,up 0.5,Barnette,Floyd,Tolleson,2:44,N,25323.0,1.13,1,
27,"Tuesday, May 3",TEX,@,TOR,L-wo,1.0,3.0,10.0,15-12,2.0,0.5,Biagini,Klein,None,3:25,N,24437.0,1.22,-1,
