,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Thursday, Mar 29",TOR,Home,NYY,L,1.0,6.0,9.0,0-1,4.0,1.0,Severino,Happ,None,2:51,D,48115.0,1.04,-1,
2,"Friday, Mar 30",TOR,Home,NYY,L,2.0,4.0,9.0,0-2,5.0,2.0,Tanaka,Sanchez,Chapman,2:49,N,33716.0,1.02,-2,
3,"Saturday, Mar 31",TOR,Home,NYY,W,5.0,3.0,9.0,1-2,4.0,1.0,Tepera,Betances,Osuna,2:37,D,37692.0,.97,1,
4,"Sunday, Apr 1",TOR,Home,NYY,W,7.0,4.0,9.0,2-2,2.0,1.0,Clippard,Robertson,Oh,3:03,D,29091.0,1.04,2,
5,"Monday, Apr 2",TOR,Home,CHW,W,4.0,2.0,9.0,3-2,2.0,1.0,Oh,Farquhar,Osuna,2:51,N,16629.0,.95,3,
6,"Tuesday, Apr 3",TOR,Home,CHW,W,14.0,5.0,9.0,4-2,2.0,1.0,Happ,Gonzalez,None,3:27,N,17451.0,.99,4,
7,"Wednesday, Apr 4",TOR,Home,CHW,L,3.0,4.0,9.0,4-3,3.0,1.5,Jones,Tepera,Soria,2:56,N,17268.0,1.01,-1,
8,"Friday, Apr 6",TOR,@,TEX,W,8.0,5.0,9.0,5-3,2.0,1.5,Estrada,Moore,Osuna,3:06,N,21670.0,.96,1,
9,"Saturday, Apr 7",TOR,@,TEX,L,1.0,5.0,9.0,5-4,2.0,2.5,Minor,Stroman,None,2:37,N,26229.0,1.00,-1,
10,"Sunday, Apr 8",TOR,@,TEX,W,7.0,4.0,9.0,6-4,2.0,2.5,Garcia,Hamels,Osuna,3:16,D,26902.0,1.01,1,
11,"Monday, Apr 9",TOR,@,BAL,W,7.0,1.0,9.0,7-4,2.0,2.0,Happ,Bundy,None,2:56,N,7915.0,1.15,2,
12,"Tuesday, Apr 10",TOR,@,BAL,W,2.0,1.0,9.0,8-4,2.0,2.0,Sanchez,O'Day,Osuna,2:37,N,8640.0,1.18,3,
13,"Wednesday, Apr 11",TOR,@,BAL,L,3.0,5.0,9.0,8-5,2.0,2.0,Gausman,Estrada,Brach,2:57,N,10399.0,1.22,-1,
14,"Friday, Apr 13",TOR,@,CLE,W,8.0,4.0,9.0,9-5,2.0,2.5,Barnes,McAllister,None,3:12,N,25592.0,1.07,1,
15,"Tuesday, Apr 17 (1)",TOR,Home,KCR,W,11.0,3.0,9.0,10-5,2.0,3.0,Garcia,Skoglund,None,2:56,D,,1.07,2,2018-04-16 (Venue)
16,"Tuesday, Apr 17 (2)",TOR,Home,KCR,W-wo,5.0,4.0,10.0,11-5,2.0,3.0,Clippard,Flynn,None,3:37,N,18645.0,1.12,3,
17,"Wednesday, Apr 18",TOR,Home,KCR,W,15.0,5.0,9.0,12-5,2.0,3.0,Happ,Kennedy,None,3:05,D,28803.0,1.12,4,
18,"Thursday, Apr 19",TOR,@,NYY,L,3.0,4.0,9.0,12-6,2.0,4.0,Green,Sanchez,Chapman,3:00,N,36665.0,1.29,-1,
19,"Friday, Apr 20",TOR,@,NYY,W,8.0,5.0,9.0,13-6,2.0,4.0,Estrada,German,Osuna,3:22,N,39197.0,1.22,1,
20,"Saturday, Apr 21",TOR,@,NYY,L,1.0,9.0,9.0,13-7,2.0,4.0,Montgomery,Stroman,None,2:50,D,40986.0,1.25,-1,
21,"Sunday, Apr 22",TOR,@,NYY,L,1.0,5.0,9.0,13-8,2.0,4.0,Severino,Garcia,None,2:47,D,43628.0,1.26,-2,
22,"Tuesday, Apr 24",TOR,Home,BOS,W-wo,4.0,3.0,10.0,14-8,2.0,3.0,Clippard,Kimbrel,None,2:51,N,20070.0,1.39,1,
23,"Wednesday, Apr 25",TOR,Home,BOS,L,3.0,4.0,9.0,14-9,2.0,4.0,Rodriguez,Barnes,Kimbrel,3:04,N,18914.0,1.43,-1,
24,"Thursday, Apr 26",TOR,Home,BOS,L,4.0,5.0,9.0,14-10,3.0,5.0,Sale,Estrada,Kimbrel,3:08,N,23571.0,1.36,-2,
25,"Friday, Apr 27",TOR,Home,TEX,L,4.0,6.0,9.0,14-11,3.0,5.0,Minor,Stroman,Kela,2:50,N,26312.0,1.00,-3,
26,"Saturday, Apr 28",TOR,Home,TEX,L,4.0,7.0,9.0,14-12,3.0,5.0,Colon,Garcia,Kela,3:00,D,39176.0,.99,-4,
27,"Sunday, Apr 29",TOR,Home,TEX,W,7.0,2.0,9.0,15-12,3.0,5.0,Happ,Perez,None,2:37,D,31669.0,.94,1,
28,"Monday, Apr 30",TOR,@,MIN,W,7.0,5.0,9.0,16-12,3.0,5.0,Sanchez,Lynn,Osuna,3:13,N,16456.0,.96,2,
29,"Tuesday, May 1",TOR,@,MIN,W,7.0,4.0,10.0,17-12,3.0,4.0,Clippard,Curtiss,Osuna,3:32,N,16245.0,.98,3,
30,"Wednesday, May 2",TOR,@,MIN,L,0.0,4.0,9.0,17-13,3.0,5.0,Romero,Stroman,None,2:47,D,16420.0,1.01,-1,
31,"Thursday, May 3 (1)",TOR,@,CLE,W,13.0,11.0,11.0,18-13,3.0,4.5,Mayza,Olson,None,4:47,D,,1.05,1,2018-04-15 (Rain)
32,"Thursday, May 3 (2)",TOR,@,CLE,L,4.0,13.0,9.0,18-14,3.0,4.5,Plutko,Biagini,None,3:11,N,19008.0,1.05,-1,
33,"Friday, May 4",TOR,@,TBR,L,2.0,6.0,9.0,18-15,3.0,5.5,Yarbrough,Happ,None,2:39,N,11117.0,1.07,-2,
34,"Saturday, May 5",TOR,@,TBR,L,3.0,5.0,9.0,18-16,3.0,6.5,Faria,Sanchez,Colome,2:52,N,16297.0,1.02,-3,
35,"Sunday, May 6",TOR,@,TBR,W,2.0,1.0,9.0,19-16,3.0,6.5,Tepera,Colome,Osuna,2:56,D,14032.0,.92,1,
36,"Tuesday, May 8",TOR,Home,SEA,L,0.0,5.0,9.0,19-17,3.0,6.5,Paxton,Stroman,None,2:19,N,20513.0,.95,-1,
37,"Wednesday, May 9",TOR,Home,SEA,W,5.0,2.0,9.0,20-17,3.0,6.5,Tepera,Nicasio,Clippard,3:08,N,20290.0,.89,1,
38,"Thursday, May 10",TOR,Home,SEA,L,3.0,9.0,9.0,20-18,3.0,6.5,Leake,Happ,None,2:58,N,22315.0,.94,-1,
39,"Friday, May 11",TOR,Home,BOS,W-wo,5.0,3.0,12.0,21-18,3.0,5.5,Gaviglio,Johnson,None,3:54,N,28695.0,1.00,1,
40,"Saturday, May 12",TOR,Home,BOS,L,2.0,5.0,9.0,21-19,3.0,6.5,Price,Estrada,Kimbrel,3:11,D,37588.0,1.10,-1,
41,"Sunday, May 13",TOR,Home,BOS,L,3.0,5.0,9.0,21-20,3.0,7.5,Velazquez,Biagini,Kelly,3:42,D,37888.0,1.01,-2,
42,"Tuesday, May 15",TOR,@,NYM,L,2.0,12.0,9.0,21-21,3.0,7.5,Syndergaard,Garcia,None,3:02,N,28967.0,.77,-3,
43,"Wednesday, May 16",TOR,@,NYM,W,12.0,1.0,9.0,22-21,3.0,7.0,Happ,Wheeler,None,3:34,D,28400.0,.73,1,
44,"Thursday, May 17",TOR,Home,OAK,L,5.0,10.0,9.0,22-22,3.0,8.0,Petit,Sanchez,None,3:34,N,22893.0,.86,-1,
45,"Friday, May 18",TOR,Home,OAK,L,1.0,3.0,9.0,22-23,3.0,8.0,Coulombe,Estrada,Treinen,2:55,N,21703.0,.77,-2,
46,"Saturday, May 19",TOR,Home,OAK,L,4.0,5.0,9.0,22-24,4.0,9.0,Pagan,Clippard,Treinen,3:16,D,35786.0,.74,-3,
47,"Sunday, May 20",TOR,Home,OAK,L,2.0,9.0,9.0,22-25,4.0,10.0,Mengden,Biagini,None,3:11,D,30676.0,.65,-4,
48,"Tuesday, May 22",TOR,Home,LAA,W,5.0,3.0,9.0,23-25,3.0,10.0,Happ,Richards,Clippard,2:31,N,21480.0,.54,1,
49,"Wednesday, May 23",TOR,Home,LAA,L,4.0,5.0,9.0,23-26,3.0,11.0,Anderson,Clippard,Parker,3:45,N,25504.0,.59,-1,
50,"Thursday, May 24",TOR,Home,LAA,L,1.0,8.0,9.0,23-27,4.0,11.0,Tropeano,Estrada,None,2:53,D,43344.0,.53,-2,
51,"Friday, May 25",TOR,@,PHI,W,6.0,5.0,9.0,24-27,3.0,11.0,Gaviglio,Eflin,Tepera,2:59,N,21374.0,.42,1,
52,"Saturday, May 26",TOR,@,PHI,L,1.0,2.0,9.0,24-28,4.0,12.0,Dominguez,Biagini,Garcia,2:25,D,26788.0,.48,-1,
53,"Sunday, May 27",TOR,@,PHI,W,5.0,3.0,9.0,25-28,4.0,11.0,Happ,Pivetta,Tepera,2:50,D,24182.0,.40,1,
54,"Monday, May 28",TOR,@,BOS,L,3.0,8.0,9.0,25-29,4.0,12.0,Price,Sanchez,None,2:54,D,34700.0,.54,-1,
55,"Tuesday, May 29",TOR,@,BOS,L,3.0,8.0,9.0,25-30,4.0,13.0,Porcello,Estrada,Kimbrel,2:59,N,33380.0,.46,-2,
56,"Wednesday, May 30",TOR,@,BOS,L,4.0,6.0,9.0,25-31,4.0,14.0,Rodriguez,Gaviglio,Kimbrel,2:52,D,33451.0,.41,-3,
57,"Friday, Jun 1",TOR,@,DET,L,2.0,5.0,9.0,25-32,4.0,13.5,Hardy,Garcia,Greene,2:52,N,22192.0,.31,-4,
58,"Saturday, Jun 2",TOR,@,DET,L,4.0,7.0,9.0,25-33,4.0,14.5,Coleman,Oh,Jimenez,2:37,D,34674.0,.25,-5,
59,"Sunday, Jun 3",TOR,@,DET,W,8.0,4.0,9.0,26-33,4.0,14.5,Sanchez,Fulmer,None,3:02,D,24658.0,.21,1,
60,"Tuesday, Jun 5",TOR,Home,NYY,L,2.0,7.0,9.0,26-34,4.0,15.5,Sabathia,Oh,None,2:38,N,29308.0,.27,-1,
61,"Wednesday, Jun 6",TOR,Home,NYY,L,0.0,3.0,13.0,26-35,4.0,16.5,Robertson,Biagini,Chapman,3:41,N,27838.0,.22,-2,
62,"Thursday, Jun 7",TOR,Home,BAL,W-wo,5.0,4.0,10.0,27-35,4.0,15.5,Barnes,Castro,None,3:13,N,24494.0,.14,1,
63,"Friday, Jun 8",TOR,Home,BAL,W,5.0,1.0,9.0,28-35,4.0,14.5,Happ,Cashner,Tepera,2:44,N,28863.0,.17,2,
64,"Saturday, Jun 9",TOR,Home,BAL,W-wo,4.0,3.0,10.0,29-35,4.0,14.5,Axford,Givens,None,3:19,D,34643.0,.18,3,
65,"Sunday, Jun 10",TOR,Home,BAL,W,13.0,3.0,9.0,30-35,3.0,13.5,Estrada,Cobb,None,3:03,D,33485.0,.19,4,
66,"Monday, Jun 11",TOR,@,TBR,L,4.0,8.0,9.0,30-36,4.0,14.5,Yarbrough,Gaviglio,None,2:34,N,10769.0,.23,-1,
67,"Tuesday, Jun 12",TOR,@,TBR,L,1.0,4.0,9.0,30-37,4.0,15.5,Pruitt,Garcia,Romo,2:41,N,11162.0,.19,-2,
68,"Wednesday, Jun 13",TOR,@,TBR,L-wo,0.0,1.0,9.0,30-38,4.0,16.5,Castillo,Tepera,None,3:00,D,10847.0,.15,-3,
69,"Friday, Jun 15",TOR,Home,WSN,W,6.0,5.0,9.0,31-38,4.0,16.0,Oh,Gonzalez,Tepera,2:35,N,29633.0,.11,1,
70,"Saturday, Jun 16",TOR,Home,WSN,W,2.0,0.0,9.0,32-38,3.0,15.5,Estrada,Scherzer,Clippard,2:34,D,36044.0,.12,2,
71,"Sunday, Jun 17",TOR,Home,WSN,W,8.0,6.0,9.0,33-38,3.0,15.0,Tepera,Madson,None,3:30,D,35146.0,.14,3,
72,"Tuesday, Jun 19",TOR,Home,ATL,L,4.0,11.0,9.0,33-39,4.0,16.0,Freeman,Garcia,None,3:03,N,32466.0,.15,-1,
73,"Wednesday, Jun 20",TOR,Home,ATL,W,5.0,4.0,9.0,34-39,3.0,16.0,Happ,Sanchez,Tepera,2:30,D,45563.0,.13,1,
74,"Thursday, Jun 21",TOR,@,LAA,L,5.0,8.0,9.0,34-40,3.0,17.0,Ramirez,Axford,Anderson,3:03,N,30416.0,.17,-1,
75,"Friday, Jun 22",TOR,@,LAA,L,1.0,2.0,9.0,34-41,4.0,17.0,Heaney,Estrada,Parker,2:17,N,38028.0,.13,-2,
76,"Saturday, Jun 23",TOR,@,LAA,W,4.0,1.0,9.0,35-41,4.0,16.0,Oh,Anderson,Tepera,3:07,N,40612.0,.13,1,
77,"Sunday, Jun 24",TOR,@,LAA,W,7.0,6.0,10.0,36-41,4.0,15.0,Tepera,Robles,Clippard,3:33,D,33102.0,.13,2,
78,"Monday, Jun 25",TOR,@,HOU,W,6.0,3.0,9.0,37-41,4.0,15.0,Happ,Verlander,Oh,3:10,N,28791.0,.17,3,
79,"Tuesday, Jun 26",TOR,@,HOU,L,0.0,7.0,9.0,37-42,4.0,16.0,Morton,Borucki,None,2:42,N,38700.0,.19,-1,
80,"Wednesday, Jun 27",TOR,@,HOU,L-wo,6.0,7.0,9.0,37-43,4.0,16.5,Harris,Tepera,None,2:55,D,39191.0,.14,-2,
81,"Friday, Jun 29",TOR,Home,DET,W,3.0,2.0,9.0,38-43,4.0,16.0,Stroman,Liriano,Clippard,2:33,N,24068.0,.08,1,
82,"Saturday, Jun 30",TOR,Home,DET,W-wo,4.0,3.0,9.0,39-43,4.0,16.0,Oh,Jimenez,None,2:38,D,27066.0,.09,2,
83,"Sunday, Jul 1",TOR,Home,DET,L,1.0,9.0,9.0,39-44,4.0,16.0,Zimmermann,Happ,None,2:31,D,37445.0,.10,-1,
84,"Monday, Jul 2",TOR,Home,DET,L,2.0,3.0,10.0,39-45,4.0,17.0,Jimenez,Oh,Hardy,2:44,D,29575.0,.08,-2,
85,"Tuesday, Jul 3",TOR,Home,NYM,W,8.0,6.0,9.0,40-45,4.0,17.0,Axford,Peterson,Clippard,3:13,N,24010.0,.07,1,
86,"Wednesday, Jul 4",TOR,Home,NYM,L,3.0,6.0,9.0,40-46,4.0,18.0,Lugo,Stroman,Familia,2:46,N,26038.0,.07,-1,
87,"Friday, Jul 6",TOR,Home,NYY,W,6.0,2.0,9.0,41-46,4.0,18.0,Biagini,Gray,None,3:07,N,37254.0,.04,1,
88,"Saturday, Jul 7",TOR,Home,NYY,L,5.0,8.0,9.0,41-47,4.0,19.0,Severino,Happ,None,3:31,D,44352.0,.07,-1,
89,"Sunday, Jul 8",TOR,Home,NYY,L,1.0,2.0,10.0,41-48,4.0,20.0,Green,Clippard,Robertson,2:51,D,39866.0,.05,-2,
90,"Tuesday, Jul 10",TOR,@,ATL,W,6.0,2.0,9.0,42-48,4.0,20.5,Stroman,Minter,None,2:58,N,31747.0,.02,1,
91,"Wednesday, Jul 11",TOR,@,ATL,L,5.0,9.0,9.0,42-49,4.0,21.5,Foltynewicz,Gaviglio,None,2:58,N,27839.0,.03,-1,
92,"Thursday, Jul 12",TOR,@,BOS,L,4.0,6.0,9.0,42-50,4.0,22.5,Price,Happ,Kimbrel,3:19,N,37182.0,.02,-2,
93,"Friday, Jul 13",TOR,@,BOS,W,13.0,7.0,9.0,43-50,4.0,21.5,Petricka,Porcello,None,3:43,N,37018.0,.01,1,
94,"Saturday, Jul 14",TOR,@,BOS,L-wo,2.0,6.0,10.0,43-51,4.0,22.5,Kimbrel,Rowley,None,3:32,D,36390.0,.02,-1,
