,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Tuesday, Apr 6",WSN,Home,ATL,W-wo,6.0,5.0,9.0,1-0,2.0,1.0,Hudson,Smith,None,3:10,D,4801.0,1.02,1,
2,"Wednesday, Apr 7 (1)",WSN,Home,ATL,L,6.0,7.0,7.0,1-1,2.0,2.5,Tomlin,Fedde,Smith,2:49,D,,1.12,-1,
3,"Wednesday, Apr 7 (2)",WSN,Home,ATL,L,0.0,2.0,7.0,1-2,2.0,2.5,Jackson,Rainey,Newcomb,2:08,N,4927.0,1.10,-2,
4,"Friday, Apr 9",WSN,@,LAD,L,0.0,1.0,9.0,1-3,4.0,2.5,Buehler,Avilan,Knebel,2:31,D,15036.0,.96,-3,
5,"Saturday, Apr 10",WSN,@,LAD,L,5.0,9.0,9.0,1-4,4.0,2.5,Urias,Corbin,None,3:11,N,15021.0,.90,-4,
6,"Sunday, Apr 11",WSN,@,LAD,L,0.0,3.0,9.0,1-5,4.0,3.5,Kershaw,Scherzer,Jansen,2:29,D,15049.0,.88,-5,
7,"Monday, Apr 12",WSN,@,STL,W,5.0,2.0,9.0,2-5,4.0,3.0,Finnegan,Gant,Hand,3:20,N,12894.0,.78,1,
8,"Tuesday, Apr 13",WSN,@,STL,L,3.0,14.0,9.0,2-6,5.0,3.0,Flaherty,Strasburg,None,3:24,N,12714.0,.78,-1,
9,"Wednesday, Apr 14",WSN,@,STL,W,6.0,0.0,9.0,3-6,4.0,3.0,Ross,Wainwright,None,3:11,D,13206.0,.79,1,
10,"Thursday, Apr 15",WSN,Home,ARI,L,6.0,11.0,9.0,3-7,5.0,3.5,Kelly,Corbin,None,3:26,N,6666.0,.84,-1,
11,"Friday, Apr 16",WSN,Home,ARI,W-wo,1.0,0.0,9.0,4-7,5.0,3.0,Hand,Young,None,2:54,N,8056.0,.79,1,
12,"Saturday, Apr 17",WSN,Home,ARI,W,6.0,2.0,9.0,5-7,4.0,2.5,Fedde,Weaver,None,3:23,D,8305.0,.82,2,
13,"Sunday, Apr 18",WSN,Home,ARI,L,2.0,5.0,9.0,5-8,5.0,3.5,Bumgarner,Espino,Crichton,3:20,D,8478.0,.90,-1,
14,"Monday, Apr 19",WSN,Home,STL,L,5.0,12.0,9.0,5-9,5.0,4.0,Flaherty,Ross,None,3:11,N,7542.0,.81,-2,
15,"Tuesday, Apr 20",WSN,Home,STL,W,3.0,2.0,9.0,6-9,3.0,3.0,Hudson,Gallegos,Hand,2:51,N,8418.0,.77,1,
16,"Wednesday, Apr 21",WSN,Home,STL,W,1.0,0.0,9.0,7-9,3.0,2.0,Scherzer,Martinez,Hand,3:01,D,7769.0,.85,2,
17,"Friday, Apr 23",WSN,@,NYM,L,0.0,6.0,9.0,7-10,4.0,2.5,deGrom,Fedde,None,2:37,N,8130.0,1.03,-1,
18,"Saturday, Apr 24",WSN,@,NYM,W,7.0,1.0,9.0,8-10,4.0,1.5,Ross,Stroman,None,3:20,D,8051.0,.98,1,
19,"Sunday, Apr 25",WSN,@,NYM,L,0.0,4.0,9.0,8-11,3.0,2.5,Walker,Corbin,None,2:42,D,7784.0,1.03,-1,
20,"Tuesday, Apr 27",WSN,@,TOR,L,5.0,9.0,9.0,8-12,4.0,2.5,Milone,Scherzer,None,2:56,N,1471.0,.84,-2,
21,"Wednesday, Apr 28",WSN,@,TOR,W,8.0,2.0,9.0,9-12,4.0,1.5,Fedde,Matz,None,2:53,N,1274.0,.82,1,
22,"Friday, Apr 30",WSN,Home,MIA,W-wo,2.0,1.0,10.0,10-12,3.0,1.0,Hand,Garcia,None,3:02,N,8295.0,1.00,2,
23,"Saturday, May 1",WSN,Home,MIA,W,7.0,2.0,9.0,11-12,2.0,0.5,Corbin,Campbell,None,2:59,D,8510.0,1.06,3,
24,"Sunday, May 2",WSN,Home,MIA,W,3.0,1.0,9.0,12-12,2.0,0.5,Scherzer,Rogers,None,2:37,D,8482.0,1.11,4,
25,"Tuesday, May 4",WSN,Home,ATL,L,1.0,6.0,9.0,12-13,3.0,0.5,Ynoa,Ross,None,2:55,N,8156.0,1.21,-1,
26,"Wednesday, May 5",WSN,Home,ATL,L,3.0,5.0,9.0,12-14,3.0,1.5,Fried,Fedde,Smith,2:49,N,8400.0,1.14,-2,
27,"Thursday, May 6",WSN,Home,ATL,L,2.0,3.0,9.0,12-15,4.0,2.5,Smyly,Lester,Smith,2:53,D,8561.0,1.06,-3,
28,"Friday, May 7",WSN,@,NYY,W,11.0,4.0,9.0,13-15,3.0,2.5,Finnegan,Loaisiga,None,3:01,N,10010.0,.83,1,
29,"Saturday, May 8",WSN,@,NYY,L-wo,3.0,4.0,11.0,13-16,4.0,3.0,Wilson,Rainey,None,3:50,D,10850.0,.85,-1,
30,"Sunday, May 9",WSN,@,NYY,L-wo,2.0,3.0,9.0,13-17,4.0,4.0,Chapman,Hand,None,3:04,D,10092.0,.84,-2,
31,"Tuesday, May 11",WSN,Home,PHI,L,2.0,6.0,9.0,13-18,4.0,5.0,Anderson,Fedde,None,3:58,N,8559.0,.90,-3,
32,"Wednesday, May 12",WSN,Home,PHI,L,2.0,5.0,10.0,13-19,5.0,6.0,Alvarado,Hand,Neris,3:46,N,8610.0,.83,-4,
33,"Thursday, May 13",WSN,Home,PHI,W,5.0,1.0,9.0,14-19,5.0,5.5,Corbin,Eflin,None,2:38,D,8710.0,.74,1,
34,"Friday, May 14",WSN,@,ARI,W,17.0,2.0,9.0,15-19,4.0,4.5,Scherzer,Smith,None,3:14,N,11907.0,.75,2,
35,"Saturday, May 15",WSN,@,ARI,L,4.0,11.0,9.0,15-20,4.0,4.5,Young,Ross,None,3:27,N,13462.0,.79,-1,
36,"Sunday, May 16",WSN,@,ARI,W,3.0,0.0,9.0,16-20,4.0,3.5,Fedde,Crichton,Hand,2:49,D,11619.0,.75,1,
37,"Monday, May 17",WSN,@,CHC,L,3.0,7.0,9.0,16-21,4.0,4.5,Alzolay,Lester,None,2:53,N,11144.0,.84,-1,
38,"Tuesday, May 18",WSN,@,CHC,L,3.0,6.0,9.0,16-22,4.0,5.5,Thompson,Harris,Kimbrel,3:22,N,11142.0,.75,-2,
39,"Wednesday, May 19",WSN,@,CHC,W,4.0,3.0,9.0,17-22,4.0,4.5,Scherzer,Arrieta,Hand,3:48,N,11145.0,.72,1,
40,"Thursday, May 20",WSN,@,CHC,L,2.0,5.0,9.0,17-23,5.0,5.0,Steele,Ross,Kimbrel,3:07,D,11143.0,.75,-1,
41,"Friday, May 21",WSN,Home,BAL,W,4.0,2.0,9.0,18-23,4.0,5.0,Strasburg,Lopez,None,2:56,N,14369.0,.69,1,
42,"Saturday, May 22",WSN,Home,BAL,W,12.0,9.0,9.0,19-23,4.0,4.0,Hudson,Plutko,Hand,3:41,D,15440.0,.76,2,
43,"Sunday, May 23",WSN,Home,BAL,W,6.0,5.0,9.0,20-23,4.0,3.0,Corbin,Harvey,Hand,3:14,D,14618.0,.77,3,
44,"Tuesday, May 25",WSN,Home,CIN,L,1.0,2.0,9.0,20-24,5.0,3.5,Mahle,Scherzer,Sims,2:52,N,8935.0,.87,-1,
45,"Wednesday, May 26",WSN,Home,CIN,W,5.0,3.0,9.0,21-24,5.0,3.0,Voth,Hoffman,Hand,3:26,D,7343.0,.78,1,
