,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Thursday, Mar 28",ARI,@,LAD,L,5.0,12.0,9.0,0-1,4.0,1.0,Ryu,Greinke,None,2:49,D,53086.0,1.08,-1,
2,"Friday, Mar 29",ARI,@,LAD,W,5.0,4.0,13.0,1-1,3.0,1.0,Andriese,Garcia,Holland,6:05,N,42266.0,.99,1,
3,"Saturday, Mar 30",ARI,@,LAD,L,5.0,18.0,9.0,1-2,4.0,1.0,Maeda,Godley,None,3:14,N,50626.0,1.06,-1,
4,"Sunday, Mar 31",ARI,@,LAD,L,7.0,8.0,9.0,1-3,4.0,2.0,Floro,Hirano,Jansen,3:29,D,43815.0,1.04,-2,
5,"Monday, Apr 1",ARI,@,SDP,W,10.0,3.0,9.0,2-3,3.0,1.0,Kelly,Strahm,Duplantier,3:04,N,18683.0,.98,1,
6,"Tuesday, Apr 2",ARI,@,SDP,W,8.0,5.0,9.0,3-3,2.0,1.0,Greinke,Lauer,Holland,3:21,N,22504.0,1.05,2,
7,"Wednesday, Apr 3",ARI,@,SDP,L,1.0,4.0,9.0,3-4,3.0,2.0,Lucchesi,Ray,None,2:59,D,19376.0,1.14,-1,
8,"Friday, Apr 5",ARI,Home,BOS,W,15.0,8.0,9.0,4-4,3.0,2.0,Godley,Porcello,None,3:23,D,48338.0,.91,1,
9,"Saturday, Apr 6",ARI,Home,BOS,W-wo,5.0,4.0,9.0,5-4,3.0,2.0,Holland,Brewer,None,3:19,N,35969.0,.94,2,
10,"Sunday, Apr 7",ARI,Home,BOS,L,0.0,1.0,9.0,5-5,3.0,3.0,Walden,Kelly,Brasier,2:29,D,31565.0,.98,-1,
11,"Tuesday, Apr 9",ARI,Home,TEX,W-wo,5.0,4.0,9.0,6-5,3.0,1.5,Andriese,Leclerc,None,2:48,N,16620.0,.96,1,
12,"Wednesday, Apr 10",ARI,Home,TEX,L,2.0,5.0,9.0,6-6,3.0,1.5,Lynn,Chafin,Bird,3:35,N,15871.0,.98,-1,
13,"Thursday, Apr 11",ARI,Home,SDP,L,6.0,7.0,9.0,6-7,3.0,2.5,Stammen,Bradley,Wingenter,3:13,N,15449.0,1.16,-2,
14,"Friday, Apr 12",ARI,Home,SDP,L,1.0,2.0,9.0,6-8,3.0,3.5,Reyes,Weaver,Yates,2:38,N,22209.0,1.11,-3,
15,"Saturday, Apr 13",ARI,Home,SDP,L,4.0,5.0,9.0,6-9,4.0,4.5,Stammen,Andriese,Yates,3:41,N,27256.0,1.08,-4,
16,"Sunday, Apr 14",ARI,Home,SDP,W,8.0,4.0,9.0,7-9,3.0,3.5,Greinke,Lauer,None,2:49,D,25489.0,1.02,1,
17,"Tuesday, Apr 16",ARI,@,ATL,W,9.0,6.0,9.0,8-9,3.0,2.0,Hirano,Minter,Holland,3:36,N,22407.0,.92,2,
18,"Wednesday, Apr 17",ARI,@,ATL,W,3.0,2.0,10.0,9-9,3.0,2.0,Bradley,Biddle,Holland,3:32,N,22356.0,.96,3,
19,"Thursday, Apr 18",ARI,@,ATL,W,4.0,1.0,9.0,10-9,3.0,2.0,Weaver,Soroka,Hirano,3:25,D,24193.0,.97,4,
20,"Friday, Apr 19",ARI,@,CHC,L,1.0,5.0,9.0,10-10,3.0,3.0,Hendricks,Kelly,Strop,3:24,D,33938.0,1.00,-1,
21,"Saturday, Apr 20",ARI,@,CHC,W,6.0,0.0,9.0,11-10,2.0,2.0,Greinke,Darvish,Clarke,3:08,D,37667.0,.99,1,
22,"Sunday, Apr 21",ARI,@,CHC,L-wo,1.0,2.0,9.0,11-11,3.0,3.0,Strop,Bradley,None,2:28,D,38181.0,1.09,-1,
23,"Monday, Apr 22",ARI,@,PIT,W,12.0,4.0,9.0,12-11,2.0,2.5,Andriese,Crick,None,3:35,N,9233.0,1.02,1,
24,"Tuesday, Apr 23",ARI,@,PIT,W,2.0,1.0,9.0,13-11,2.0,1.5,Weaver,Williams,Holland,2:53,N,8558.0,1.08,2,
25,"Wednesday, Apr 24",ARI,@,PIT,W,11.0,2.0,9.0,14-11,2.0,0.5,Kelly,Lyles,None,2:49,N,9450.0,1.10,3,
