,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Friday, Jul 24",ATL,@,NYM,L,0.0,1.0,9.0,0-1,3.0,1.0,Lugo,Martin,Díaz,2:25,D,,1.20,-1,
2,"Saturday, Jul 25",ATL,@,NYM,W,5.0,3.0,10.0,1-1,1.0,Tied,Jackson,Strickland,None,3:21,D,,1.20,1,
3,"Sunday, Jul 26",ATL,@,NYM,W,14.0,1.0,9.0,2-1,1.0,Tied,Chacin,Porcello,None,3:20,N,,1.21,2,
4,"Monday, Jul 27",ATL,@,TBR,L,5.0,14.0,9.0,2-2,2.0,0.5,Castillo,Foltynewicz,None,3:03,N,,1.10,-1,
5,"Tuesday, Jul 28",ATL,@,TBR,L,2.0,5.0,9.0,2-3,3.0,1.0,Fairbanks,Wright,Drake,3:03,N,,1.10,-2,
6,"Wednesday, Jul 29",ATL,Home,TBR,W,7.0,4.0,9.0,3-3,2.0,0.5,O'Day,Drake,Melancon,3:22,N,,1.08,1,
7,"Thursday, Jul 30",ATL,Home,TBR,W,2.0,1.0,9.0,4-3,1.0,Tied,Fried,Yarbrough,Melancon,2:40,N,,1.10,2,
8,"Friday, Jul 31",ATL,Home,NYM,W,11.0,10.0,9.0,5-3,1.0,up 0.5,Dayton,Lugo,Martin,3:35,N,,1.26,3,
9,"Saturday, Aug 1",ATL,Home,NYM,W,7.0,1.0,9.0,6-3,1.0,up 1.0,Tomlin,Wacha,None,3:21,N,,1.24,4,
10,"Sunday, Aug 2",ATL,Home,NYM,W,4.0,0.0,9.0,7-3,1.0,up 1.5,Matzek,Peterson,None,3:06,D,,1.19,5,
11,"Monday, Aug 3",ATL,Home,NYM,L,2.0,7.0,9.0,7-4,1.0,up 1.0,deGrom,Soroka,None,3:16,N,,1.15,-1,
12,"Tuesday, Aug 4",ATL,Home,TOR,W,10.0,1.0,9.0,8-4,1.0,up 1.0,Fried,Shoemaker,None,3:06,N,,1.09,1,
13,"Wednesday, Aug 5",ATL,Home,TOR,L,1.0,2.0,9.0,8-5,2.0,0.5,Ryu,Newcomb,Bass,3:00,N,,1.03,-1,
14,"Thursday, Aug 6",ATL,Home,TOR,W-wo,4.0,3.0,9.0,9-5,2.0,0.5,Melancon,Font,None,2:37,N,,1.10,1,
15,"Saturday, Aug 8",ATL,@,PHI,L,0.0,5.0,9.0,9-6,2.0,1.0,Arrieta,Wright,None,2:31,N,,1.21,-1,
16,"Sunday, Aug 9 (1)",ATL,@,PHI,W,5.0,2.0,7.0,10-6,1.0,up 0.5,Matzek,Guerra,Melancon,2:59,D,,1.29,1,2020-08-07 (Rain; (Game2))
17,"Sunday, Aug 9 (2)",ATL,@,PHI,W,8.0,0.0,7.0,11-6,1.0,up 0.5,Fried,Howard,None,2:29,D,,1.28,2,
18,"Monday, Aug 10",ATL,@,PHI,L,8.0,13.0,9.0,11-7,1.0,Tied,Nola,Newcomb,None,2:54,N,,1.13,-1,
19,"Tuesday, Aug 11",ATL,@,NYY,L,6.0,9.0,9.0,11-8,1.0,Tied,Montgomery,Toussaint,Britton,3:18,N,,1.08,-2,
20,"Wednesday, Aug 12",ATL,@,NYY,L,3.0,6.0,9.0,11-9,2.0,1.0,Loaisiga,Matzek,Britton,3:40,N,,1.13,-3,
21,"Friday, Aug 14",ATL,@,MIA,L,2.0,8.0,9.0,11-10,2.0,2.0,Lopez,Wright,None,2:59,N,,1.33,-4,
22,"Saturday, Aug 15",ATL,@,MIA,W,2.0,1.0,9.0,12-10,2.0,1.0,Smith,Kintzler,Melancon,2:59,N,,1.39,1,
23,"Sunday, Aug 16",ATL,@,MIA,W,4.0,0.0,9.0,13-10,1.0,Tied,O'Day,Vincent,None,2:58,D,,1.33,2,
24,"Monday, Aug 17",ATL,Home,WSN,W-wo,7.0,6.0,9.0,14-10,1.0,up 1.0,Smith,Hudson,None,3:35,N,,1.31,3,
25,"Tuesday, Aug 18",ATL,Home,WSN,L,5.0,8.0,9.0,14-11,1.0,up 1.0,Suero,Matzek,Hudson,3:44,N,,1.21,-1,
26,"Friday, Aug 21",ATL,Home,PHI,W,11.0,2.0,9.0,15-11,1.0,up 1.5,Fried,Nola,None,3:18,N,,1.31,1,
27,"Saturday, Aug 22",ATL,Home,PHI,W-wo,6.0,5.0,9.0,16-11,1.0,up 2.0,Melancon,Workman,None,3:18,N,,1.19,2,
28,"Sunday, Aug 23",ATL,Home,PHI,L,4.0,5.0,9.0,16-12,1.0,up 2.0,Eflin,Tomlin,Workman,3:17,N,,1.09,-1,
29,"Wednesday, Aug 26 (1)",ATL,Home,NYY,W,5.0,1.0,7.0,17-12,1.0,up 2.0,Anderson,Cole,None,2:05,D,,1.08,1,2020-08-25 (Rain; (Game2))
30,"Wednesday, Aug 26 (2)",ATL,Home,NYY,W,2.0,1.0,7.0,18-12,1.0,up 2.0,Fried,Green,Melancon,1:58,N,,1.00,2,
31,"Friday, Aug 28",ATL,@,PHI,L-wo,4.0,7.0,11.0,18-13,1.0,up 2.0,Parker,Melancon,None,4:07,N,,1.00,-1,
32,"Saturday, Aug 29",ATL,@,PHI,L,1.0,4.0,9.0,18-14,1.0,up 2.0,Eflin,Tomlin,Workman,2:33,D,,1.15,-2,
33,"Sunday, Aug 30",ATL,@,PHI,W,12.0,10.0,9.0,19-14,1.0,up 3.0,Minter,Arrieta,Melancon,4:13,N,,1.27,1,
34,"Monday, Aug 31",ATL,@,BOS,W,6.0,3.0,9.0,20-14,1.0,up 3.0,Fried,Brewer,Melancon,3:19,N,,.87,2,
35,"Tuesday, Sep 1",ATL,@,BOS,W,10.0,3.0,9.0,21-14,1.0,up 3.0,Anderson,Stock,None,3:05,N,,.73,3,
36,"Wednesday, Sep 2",ATL,@,BOS,W,7.0,5.0,9.0,22-14,1.0,up 3.0,Matzek,Triggs,Melancon,3:01,N,,.63,4,
37,"Friday, Sep 4 (1)",ATL,Home,WSN,W,7.0,1.0,7.0,23-14,1.0,up 2.0,O'Day,Voth,None,2:30,D,,.58,5,2020-08-19 (Rain; (Game 2))
38,"Friday, Sep 4 (2)",ATL,Home,WSN,L,9.0,10.0,7.0,23-15,1.0,up 2.0,Suero,Smith,Hudson,3:12,N,,.48,-1,
39,"Saturday, Sep 5",ATL,Home,WSN,L,4.0,10.0,9.0,23-16,1.0,up 2.0,McGowin,Matzek,None,3:31,N,,.53,-2,
40,"Sunday, Sep 6",ATL,Home,WSN,W,10.0,3.0,9.0,24-16,1.0,up 3.0,Tomlin,Corbin,None,3:26,D,,.70,1,
41,"Monday, Sep 7",ATL,Home,MIA,L,4.0,5.0,10.0,24-17,1.0,up 2.0,Kintzler,Minter,Vincent,3:52,D,,.64,-1,
42,"Tuesday, Sep 8",ATL,Home,MIA,L,0.0,8.0,9.0,24-18,1.0,up 1.5,Sanchez,Wright,None,3:12,N,,.86,-2,
43,"Wednesday, Sep 9",ATL,Home,MIA,W,29.0,9.0,9.0,25-18,1.0,up 2.0,Dayton,Lopez,Wilson,4:14,N,,1.00,1,
44,"Thursday, Sep 10",ATL,@,WSN,W,7.0,6.0,9.0,26-18,1.0,up 3.0,Martin,Rainey,Melancon,3:40,N,,.70,2,
45,"Friday, Sep 11",ATL,@,WSN,L-wo,7.0,8.0,12.0,26-19,1.0,up 2.5,Bourque,Dayton,None,4:48,N,,.50,-1,
46,"Saturday, Sep 12",ATL,@,WSN,W,2.0,1.0,9.0,27-19,1.0,up 2.5,Anderson,Corbin,Melancon,3:04,N,,.67,1,
47,"Sunday, Sep 13",ATL,@,WSN,W,8.0,4.0,9.0,28-19,1.0,up 3.5,Wright,Scherzer,None,3:37,D,,.48,2,
48,"Monday, Sep 14",ATL,@,BAL,L,1.0,14.0,9.0,28-20,1.0,up 2.5,Lopez,Toussaint,None,2:54,N,,.36,-1,
49,"Tuesday, Sep 15",ATL,@,BAL,W,5.0,1.0,9.0,29-20,1.0,up 3.5,O'Day,Eshelman,None,2:57,N,,.38,1,
50,"Wednesday, Sep 16",ATL,@,BAL,L,1.0,5.0,9.0,29-21,1.0,up 2.5,Akin,Hamels,None,2:35,N,,.34,-1,
51,"Friday, Sep 18",ATL,@,NYM,W,15.0,2.0,9.0,30-21,1.0,up 3.5,Fried,Matz,None,3:39,N,,.35,1,
52,"Saturday, Sep 19",ATL,@,NYM,L,2.0,7.0,9.0,30-22,1.0,up 2.5,Peterson,Anderson,None,3:32,N,,.30,-1,
53,"Sunday, Sep 20",ATL,@,NYM,W,7.0,0.0,9.0,31-22,1.0,up 3.0,Wright,Porcello,None,3:09,D,,.36,1,
54,"Monday, Sep 21",ATL,Home,MIA,W,5.0,4.0,9.0,32-22,1.0,up 4.0,Matzek,Rogers,Melancon,3:30,N,,.41,2,
55,"Tuesday, Sep 22",ATL,Home,MIA,W,11.0,1.0,9.0,33-22,1.0,up 5.0,Wilson,Urena,None,2:50,N,,.23,3,
56,"Wednesday, Sep 23",ATL,Home,MIA,W,9.0,4.0,9.0,34-22,1.0,up 6.0,Jackson,Smith,None,3:01,N,,.06,4,
57,"Thursday, Sep 24",ATL,Home,MIA,L,2.0,4.0,9.0,34-23,1.0,up 5.0,Lopez,Anderson,Kintzler,3:35,N,,.11,-1,
58,"Friday, Sep 25",ATL,Home,BOS,W-wo,8.0,7.0,11.0,35-23,1.0,up 5.0,Greene,Springs,None,3:59,N,,.11,1,
59,"Saturday, Sep 26",ATL,Home,BOS,L,2.0,8.0,9.0,35-24,1.0,up 5.0,Houck,Davidson,None,3:22,N,,.13,-1,
60,"Sunday, Sep 27",ATL,Home,BOS,L,1.0,9.0,9.0,35-25,1.0,up 4.0,Pivetta,Smith,None,3:23,D,,.13,-2,
