,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Thursday, Mar 29",BAL,Home,MIN,W-wo,3.0,2.0,11.0,1-0,1.0,Tied,Bleier,Rodney,None,3:31,D,45469.0,.95,1,
2,"Saturday, Mar 31",BAL,Home,MIN,L,2.0,6.0,9.0,1-1,3.0,0.5,Gibson,Cashner,None,2:50,N,17763.0,.98,-1,
3,"Sunday, Apr 1",BAL,Home,MIN,L,0.0,7.0,9.0,1-2,4.0,1.5,Berrios,Gausman,None,2:35,D,17212.0,.95,-2,
4,"Monday, Apr 2",BAL,@,HOU,L,1.0,6.0,9.0,1-3,4.0,2.5,Morton,Tillman,None,2:52,N,42675.0,.90,-3,
5,"Tuesday, Apr 3",BAL,@,HOU,L,6.0,10.0,9.0,1-4,4.0,3.5,Rondon,Araujo,None,3:19,N,40081.0,.85,-4,
6,"Wednesday, Apr 4",BAL,@,HOU,L,2.0,3.0,9.0,1-5,4.0,4.0,Peacock,Castro,None,2:42,D,27698.0,.79,-5,
7,"Thursday, Apr 5",BAL,@,NYY,W,5.0,2.0,9.0,2-5,4.0,4.0,Cashner,Tanaka,Brach,3:15,N,33653.0,.87,1,
8,"Friday, Apr 6",BAL,@,NYY,W,7.0,3.0,14.0,3-5,4.0,3.5,Araujo,Holder,None,5:20,N,34244.0,.96,2,
9,"Saturday, Apr 7",BAL,@,NYY,L,3.0,8.0,9.0,3-6,4.0,4.5,Gray,Tillman,None,3:03,D,34388.0,.95,-1,
10,"Sunday, Apr 8",BAL,@,NYY,W,8.0,7.0,12.0,4-6,4.0,4.5,Bleier,Warren,Brach,4:48,D,37096.0,.92,1,
11,"Monday, Apr 9",BAL,Home,TOR,L,1.0,7.0,9.0,4-7,4.0,5.0,Happ,Bundy,None,2:56,N,7915.0,.96,-1,
12,"Tuesday, Apr 10",BAL,Home,TOR,L,1.0,2.0,9.0,4-8,4.0,6.0,Sanchez,O'Day,Osuna,2:37,N,8640.0,.90,-2,
13,"Wednesday, Apr 11",BAL,Home,TOR,W,5.0,3.0,9.0,5-8,4.0,5.0,Gausman,Estrada,Brach,2:57,N,10399.0,.81,1,
14,"Friday, Apr 13",BAL,@,BOS,L,3.0,7.0,9.0,5-9,4.0,6.5,Rodriguez,Tillman,None,3:22,N,32610.0,.93,-1,
15,"Saturday, Apr 14",BAL,@,BOS,L,3.0,10.0,9.0,5-10,4.0,7.5,Velazquez,Cobb,Walden,3:05,D,33584.0,.85,-2,
16,"Sunday, Apr 15",BAL,@,BOS,L,1.0,3.0,9.0,5-11,4.0,8.5,Hembree,Bundy,Kimbrel,2:54,D,32489.0,.78,-3,
17,"Tuesday, Apr 17",BAL,@,DET,L,2.0,4.0,9.0,5-12,4.0,9.5,Liriano,Cashner,Greene,2:44,N,15530.0,.61,-4,
18,"Wednesday, Apr 18",BAL,@,DET,L-wo,5.0,6.0,9.0,5-13,4.0,10.5,Greene,Araujo,None,2:46,D,15178.0,.54,-5,
19,"Thursday, Apr 19",BAL,@,DET,L,8.0,13.0,9.0,5-14,5.0,11.5,Zimmermann,Cobb,None,3:11,D,15916.0,.47,-6,
20,"Friday, Apr 20",BAL,Home,CLE,W,3.0,1.0,9.0,6-14,5.0,11.5,Bundy,Bauer,O'Day,2:52,N,20004.0,.40,1,
21,"Saturday, Apr 21",BAL,Home,CLE,L,0.0,4.0,9.0,6-15,5.0,11.5,Clevinger,Tillman,None,2:21,D,29187.0,.44,-1,
22,"Sunday, Apr 22",BAL,Home,CLE,L,3.0,7.0,9.0,6-16,5.0,11.5,Kluber,Cashner,None,2:54,D,27394.0,.41,-2,
23,"Monday, Apr 23",BAL,Home,CLE,L,1.0,2.0,9.0,6-17,5.0,12.0,Carrasco,Gausman,Allen,2:21,N,10614.0,.36,-3,
24,"Wednesday, Apr 25",BAL,Home,TBR,L,4.0,8.0,9.0,6-18,5.0,12.5,Kittredge,Cobb,None,2:53,N,8730.0,.31,-4,
25,"Thursday, Apr 26",BAL,Home,TBR,L,5.0,9.0,9.0,6-19,5.0,13.5,Archer,Bundy,None,3:20,N,9596.0,.29,-5,
26,"Friday, Apr 27",BAL,Home,DET,W,6.0,0.0,9.0,7-19,5.0,12.5,Tillman,Fiers,None,2:26,N,14223.0,.23,1,
27,"Saturday, Apr 28",BAL,Home,DET,L,5.0,9.0,9.0,7-20,5.0,12.5,Liriano,Cashner,None,3:13,N,20896.0,.26,-1,
28,"Sunday, Apr 29",BAL,Home,DET,W,5.0,3.0,9.0,8-20,5.0,12.5,Gausman,Norris,O'Day,3:01,D,28089.0,.22,1,
29,"Tuesday, May 1",BAL,@,LAA,L-wo,2.0,3.0,9.0,8-21,5.0,13.0,Bedrosian,Brach,None,2:58,N,32345.0,.26,-1,
30,"Wednesday, May 2",BAL,@,LAA,L,7.0,10.0,9.0,8-22,5.0,14.0,Heaney,Bundy,None,3:14,N,32156.0,.22,-2,
31,"Thursday, May 3",BAL,@,LAA,L,3.0,12.0,9.0,8-23,5.0,14.0,Barria,Tillman,None,3:02,N,35879.0,.19,-3,
32,"Friday, May 4",BAL,@,OAK,L,4.0,6.0,9.0,8-24,5.0,15.0,Trivino,Brach,Treinen,3:21,N,12723.0,.16,-4,
