,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Tuesday, Apr 5",BOS,@,CLE,W,6.0,2.0,9.0,1-0,1.0,Tied,Price,Kluber,None,3:13,D,34493.0,.99,1,2016-04-04 (Cold)
2,"Wednesday, Apr 6",BOS,@,CLE,L,6.0,7.0,9.0,1-1,2.0,1.0,McAllister,Tazawa,Allen,3:29,N,10298.0,1.00,-1,
3,"Friday, Apr 8",BOS,@,TOR,W,8.0,7.0,9.0,2-1,2.0,1.5,Barnes,Storen,Kimbrel,3:24,N,48871.0,1.02,1,
4,"Saturday, Apr 9",BOS,@,TOR,W,8.0,4.0,9.0,3-1,2.0,1.0,Porcello,Dickey,None,2:48,D,47138.0,1.13,2,
5,"Sunday, Apr 10",BOS,@,TOR,L,0.0,3.0,9.0,3-2,2.0,2.0,Estrada,Wright,Osuna,2:27,D,46158.0,1.09,-1,
6,"Monday, Apr 11",BOS,Home,BAL,L,7.0,9.0,9.0,3-3,3.0,3.0,Brach,Kimbrel,Britton,3:26,D,37160.0,1.10,-2,
7,"Tuesday, Apr 12",BOS,Home,BAL,L,5.0,9.0,9.0,3-4,3.0,4.0,Wright,Buchholz,None,3:23,N,31114.0,1.08,-3,
8,"Wednesday, Apr 13",BOS,Home,BAL,W,4.0,2.0,9.0,4-4,3.0,3.0,Kelly,Jimenez,Kimbrel,3:13,N,31011.0,1.05,1,
9,"Friday, Apr 15",BOS,Home,TOR,W,5.0,3.0,9.0,5-4,2.0,2.5,Porcello,Dickey,Kimbrel,3:02,N,31415.0,1.02,2,
10,"Saturday, Apr 16",BOS,Home,TOR,W,4.0,2.0,9.0,6-4,2.0,1.5,Price,Estrada,Kimbrel,2:43,D,36267.0,1.12,3,
11,"Sunday, Apr 17",BOS,Home,TOR,L,3.0,5.0,9.0,6-5,2.0,2.0,Sanchez,Wright,None,3:09,D,37217.0,1.18,-1,
12,"Monday, Apr 18",BOS,Home,TOR,L,3.0,4.0,9.0,6-6,2.0,2.5,Happ,Uehara,Storen,3:12,D,37168.0,1.10,-2,
13,"Tuesday, Apr 19",BOS,Home,TBR,L,0.0,3.0,10.0,6-7,3.0,2.5,Ramirez,Barnes,Colome,3:25,N,32061.0,1.03,-3,
14,"Wednesday, Apr 20",BOS,Home,TBR,W,7.0,3.0,9.0,7-7,2.0,2.5,Porcello,Archer,None,3:02,N,31689.0,.98,1,
15,"Thursday, Apr 21",BOS,Home,TBR,L,8.0,12.0,9.0,7-8,2.0,3.5,Ramirez,Cuevas,Colome,4:16,D,37954.0,1.04,-1,
