,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Monday, Apr 6",CLE,@,HOU,L,0.0,2.0,9.0,0-1,3.0,1.0,Keuchel,Kluber,Gregerson,2:30,N,43753.0,.95,-1,
2,"Wednesday, Apr 8",CLE,@,HOU,W,2.0,0.0,9.0,1-1,3.0,1.0,Carrasco,Feldman,Allen,2:40,N,23078.0,.89,1,
3,"Thursday, Apr 9",CLE,@,HOU,W,5.0,1.0,9.0,2-1,3.0,1.0,Bauer,Wojciechowski,None,3:08,D,22593.0,.98,2,
4,"Friday, Apr 10",CLE,Home,DET,L,4.0,8.0,9.0,2-2,3.0,2.0,Simon,McAllister,Soria,3:35,D,35789.0,1.17,-1,
5,"Saturday, Apr 11",CLE,Home,DET,L,6.0,9.0,9.0,2-3,3.0,3.0,Krol,Allen,None,4:16,D,23161.0,1.11,-2,
6,"Sunday, Apr 12",CLE,Home,DET,L,5.0,8.0,9.0,2-4,3.0,4.0,Lobstein,House,Soria,3:13,D,19555.0,.98,-3,
7,"Tuesday, Apr 14",CLE,Home,CHW,L,1.0,4.0,9.0,2-5,4.0,5.0,Quintana,Carrasco,Robertson,3:01,N,10642.0,.89,-4,
8,"Wednesday, Apr 15",CLE,Home,CHW,W,4.0,2.0,9.0,3-5,3.0,4.5,Bauer,Danks,Allen,2:58,D,11042.0,.81,1,
9,"Friday, Apr 17",CLE,@,MIN,L-wo,2.0,3.0,11.0,3-6,4.0,5.5,Boyer,Shaw,None,3:38,N,21307.0,.89,-1,
10,"Saturday, Apr 18",CLE,@,MIN,W,4.0,2.0,9.0,4-6,3.0,4.5,Salazar,Hughes,Allen,2:33,D,23949.0,.78,1,
11,"Sunday, Apr 19",CLE,@,MIN,L,2.0,7.0,9.0,4-7,4.0,5.5,May,House,None,2:45,D,17923.0,.87,-1,
12,"Monday, Apr 20",CLE,@,CHW,L-wo,3.0,4.0,9.0,4-8,5.0,6.5,Robertson,Allen,None,2:53,N,13055.0,.79,-2,
13,"Tuesday, Apr 21",CLE,@,CHW,W,6.0,2.0,9.0,5-8,3.0,5.5,Carrasco,Noesi,None,3:07,N,14032.0,.74,1,
14,"Wednesday, Apr 22",CLE,@,CHW,L,0.0,6.0,9.0,5-9,5.0,5.5,Samardzija,Kluber,None,2:56,D,14429.0,.82,-1,
15,"Friday, Apr 24",CLE,@,DET,W,13.0,1.0,9.0,6-9,4.0,5.0,Salazar,Greene,None,2:52,N,28192.0,.86,1,
16,"Saturday, Apr 25",CLE,@,DET,L,1.0,4.0,9.0,6-10,5.0,5.5,Simon,House,Soria,2:58,D,35473.0,.95,-1,
17,"Sunday, Apr 26",CLE,@,DET,L,6.0,8.0,9.0,6-11,5.0,6.0,Lobstein,Carrasco,Soria,3:01,D,30698.0,.85,-2,
18,"Monday, Apr 27",CLE,Home,KCR,L,2.0,6.0,9.0,6-12,5.0,7.0,Vargas,Kluber,None,3:22,N,9668.0,.79,-3,
19,"Tuesday, Apr 28",CLE,Home,KCR,L,5.0,11.0,9.0,6-13,5.0,7.5,Finnegan,Atchison,None,3:13,N,10698.0,.71,-4,
20,"Wednesday, Apr 29",CLE,Home,KCR,W,7.0,5.0,9.0,7-13,5.0,7.0,Salazar,Ventura,Allen,2:41,N,10284.0,.59,1,
21,"Thursday, Apr 30",CLE,Home,TOR,L,1.0,5.0,9.0,7-14,5.0,7.5,Francis,House,None,2:46,N,9798.0,.61,-1,
22,"Friday, May 1",CLE,Home,TOR,W,9.0,4.0,9.0,8-14,5.0,7.5,Carrasco,Buehrle,None,2:37,N,15088.0,.52,1,
23,"Saturday, May 2",CLE,Home,TOR,L,4.0,11.0,9.0,8-15,5.0,7.5,Sanchez,Kluber,None,3:23,D,18008.0,.60,-1,
24,"Sunday, May 3",CLE,Home,TOR,W,10.0,7.0,9.0,9-15,4.0,7.0,Rzepczynski,Francis,None,3:06,D,16128.0,.54,1,
25,"Tuesday, May 5",CLE,@,KCR,L,3.0,5.0,9.0,9-16,5.0,7.5,Vargas,Salazar,Davis,2:26,N,29099.0,.65,-1,
26,"Wednesday, May 6",CLE,@,KCR,W,10.0,3.0,9.0,10-16,5.0,6.5,Carrasco,Duffy,None,3:04,N,23316.0,.62,1,
27,"Thursday, May 7",CLE,@,KCR,L,4.0,7.0,9.0,10-17,5.0,7.5,Morales,Kluber,Holland,3:13,D,38271.0,.71,-1,
28,"Friday, May 8",CLE,Home,MIN,L,3.0,9.0,9.0,10-18,5.0,8.0,Pelfrey,Bauer,None,2:47,N,19102.0,.57,-2,
29,"Saturday, May 9",CLE,Home,MIN,L,4.0,7.0,9.0,10-19,5.0,8.5,Hughes,Chen,Perkins,3:02,D,16199.0,.50,-3,
30,"Sunday, May 10",CLE,Home,MIN,W,8.0,2.0,9.0,11-19,5.0,8.5,Salazar,May,None,2:37,D,13769.0,.48,1,
31,"Tuesday, May 12",CLE,Home,STL,L,3.0,8.0,9.0,11-20,5.0,9.0,Lynn,Carrasco,None,3:31,N,12615.0,.45,-1,
32,"Wednesday, May 13",CLE,Home,STL,W,2.0,0.0,9.0,12-20,5.0,8.0,Kluber,Lackey,Allen,2:47,N,12313.0,.39,1,
33,"Thursday, May 14",CLE,Home,STL,L,1.0,2.0,9.0,12-21,5.0,9.0,Siegrist,Rzepczynski,Rosenthal,3:12,D,15865.0,.43,-1,
34,"Friday, May 15",CLE,@,TEX,W,8.0,3.0,9.0,13-21,5.0,9.0,Webb,Rodriguez,None,3:17,N,29524.0,.38,1,
35,"Saturday, May 16",CLE,@,TEX,W,10.0,8.0,9.0,14-21,5.0,8.0,Atchison,Feliz,Allen,3:37,N,31045.0,.43,2,
