,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Friday, Jul 24",COL,@,TEX,L,0.0,1.0,9.0,0-1,3.0,1.5,Lynn,Marquez,Leclerc,2:57,N,,1.07,-1,
2,"Saturday, Jul 25",COL,@,TEX,W,3.0,2.0,9.0,1-1,3.0,1.0,Bard,Minor,Davis,3:34,D,,1.05,1,
3,"Sunday, Jul 26",COL,@,TEX,W,5.0,2.0,9.0,2-1,1.0,Tied,Freeland,Palumbo,Davis,3:05,D,,1.08,2,
4,"Tuesday, Jul 28",COL,@,OAK,W,8.0,3.0,9.0,3-1,2.0,0.5,Senzatela,Mengden,None,2:58,N,,1.06,3,
5,"Wednesday, Jul 29",COL,@,OAK,W,5.0,1.0,9.0,4-1,1.0,up 0.5,Marquez,Montas,None,2:55,D,,1.08,4,
6,"Friday, Jul 31",COL,Home,SDP,L,7.0,8.0,9.0,4-2,2.0,1.0,Stammen,Davis,Pomeranz,3:37,N,,1.19,-1,
7,"Saturday, Aug 1",COL,Home,SDP,W,6.0,1.0,9.0,5-2,1.0,Tied,Freeland,Lucchesi,None,2:50,N,,1.18,1,
8,"Sunday, Aug 2",COL,Home,SDP,W,9.0,6.0,9.0,6-2,1.0,Tied,Senzatela,Davies,Diaz,2:52,D,,1.18,2,
9,"Monday, Aug 3",COL,Home,SFG,W,7.0,6.0,9.0,7-2,1.0,up 1.0,Hoffman,Peralta,Diaz,2:48,N,,1.14,3,
10,"Tuesday, Aug 4",COL,Home,SFG,W,5.0,2.0,9.0,8-2,1.0,up 1.0,Marquez,Gausman,Almonte,2:36,N,,1.10,4,
11,"Wednesday, Aug 5",COL,Home,SFG,L,3.0,4.0,9.0,8-3,1.0,Tied,Webb,Gray,Gott,2:48,N,,1.02,-1,
12,"Thursday, Aug 6",COL,Home,SFG,W,6.0,4.0,9.0,9-3,1.0,up 0.5,Almonte,Garcia,Diaz,3:06,D,,1.12,1,
13,"Friday, Aug 7",COL,@,SEA,W,8.0,4.0,9.0,10-3,1.0,up 0.5,Senzatela,Kikuchi,None,3:13,N,,.96,2,
14,"Saturday, Aug 8",COL,@,SEA,W,5.0,0.0,9.0,11-3,1.0,up 1.5,Hoffman,Misiewicz,None,2:49,N,,.87,3,
15,"Sunday, Aug 9",COL,@,SEA,L,3.0,5.0,9.0,11-4,1.0,up 0.5,Sheffield,Marquez,Williams,2:45,D,,.77,-1,
16,"Monday, Aug 10",COL,Home,ARI,L,8.0,12.0,9.0,11-5,1.0,up 0.5,Young,Gray,Bradley,3:43,N,,.95,-2,
17,"Tuesday, Aug 11",COL,Home,ARI,W,8.0,7.0,9.0,12-5,1.0,up 1.5,Estevez,Ginkel,Bard,3:16,N,,1.04,1,
18,"Wednesday, Aug 12",COL,Home,ARI,L,7.0,13.0,9.0,12-6,1.0,up 0.5,Chafin,Kinley,None,3:56,D,,.95,-1,
19,"Friday, Aug 14",COL,Home,TEX,L,2.0,3.0,9.0,12-7,2.0,1.0,Lynn,Bard,None,2:33,N,,.94,-2,
20,"Saturday, Aug 15",COL,Home,TEX,L,4.0,6.0,9.0,12-8,2.0,2.0,Gibson,Marquez,Montero,3:22,N,,1.05,-3,
21,"Sunday, Aug 16",COL,Home,TEX,W,10.0,6.0,9.0,13-8,2.0,2.0,Gray,Allard,Estevez,3:00,D,,1.11,1,
22,"Monday, Aug 17",COL,@,HOU,L,1.0,2.0,9.0,13-9,2.0,3.0,Bielak,Freeland,Taylor,2:50,N,,1.06,-1,
23,"Tuesday, Aug 18",COL,@,HOU,L-wo,1.0,2.0,11.0,13-10,2.0,4.0,Scrubb,Diaz,None,3:03,D,,1.13,-2,
24,"Wednesday, Aug 19",COL,Home,HOU,L,6.0,13.0,9.0,13-11,2.0,4.0,Valdez,Castellani,None,3:09,N,,1.19,-3,
25,"Thursday, Aug 20",COL,Home,HOU,L,8.0,10.0,9.0,13-12,3.0,5.0,Paredes,Marquez,Pressly,3:31,D,,1.29,-4,
26,"Friday, Aug 21",COL,@,LAD,L,1.0,5.0,9.0,13-13,3.0,6.0,Buehler,Gray,None,2:35,N,,1.32,-5,
27,"Saturday, Aug 22",COL,@,LAD,L-wo,3.0,4.0,9.0,13-14,3.0,7.0,Jansen,Bard,None,3:05,N,,1.33,-6,
28,"Sunday, Aug 23",COL,@,LAD,L,3.0,11.0,9.0,13-15,3.0,8.0,Gonzalez,Senzatela,None,2:58,D,,1.30,-7,
29,"Monday, Aug 24",COL,@,ARI,W,3.0,2.0,9.0,14-15,3.0,7.5,Castellani,Widener,Bard,3:19,N,,1.38,1,
30,"Tuesday, Aug 25",COL,@,ARI,W,5.0,4.0,9.0,15-15,3.0,6.5,Diaz,Crichton,Bard,3:52,N,,1.42,2,
31,"Wednesday, Aug 26",COL,@,ARI,W,8.0,7.0,9.0,16-15,3.0,6.0,Gray,Ray,Hoffman,3:43,N,,1.48,3,
32,"Friday, Aug 28",COL,Home,SDP,L,4.0,10.0,9.0,16-16,3.0,7.0,Davies,Hoffman,None,3:29,N,,1.46,-1,
33,"Saturday, Aug 29",COL,Home,SDP,W-wo,4.0,3.0,9.0,17-16,3.0,7.0,Bard,Stammen,None,3:08,N,,1.51,1,
34,"Sunday, Aug 30",COL,Home,SDP,L,2.0,13.0,9.0,17-17,3.0,8.0,Paddack,Castellani,None,3:07,D,,1.52,-1,
35,"Monday, Aug 31",COL,Home,SDP,L,0.0,6.0,9.0,17-18,3.0,8.5,Morejón,Marquez,None,2:49,N,,1.51,-2,
36,"Tuesday, Sep 1",COL,Home,SFG,L,5.0,23.0,9.0,17-19,4.0,9.5,Gausman,Gray,None,3:48,N,,1.60,-3,
