,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Monday, Apr 6",KCR,Home,CHW,W,10.0,1.0,9.0,1-0,1.0,Tied,Ventura,Samardzija,None,2:50,D,40085.0,1.07,1,
2,"Wednesday, Apr 8",KCR,Home,CHW,W,7.0,5.0,9.0,2-0,1.0,Tied,Davis,Putnam,Holland,3:11,N,23385.0,1.06,2,
3,"Thursday, Apr 9",KCR,Home,CHW,W,4.0,1.0,9.0,3-0,1.0,Tied,Volquez,Danks,Holland,2:37,D,20236.0,1.14,3,
4,"Friday, Apr 10",KCR,@,LAA,W,4.0,2.0,9.0,4-0,1.0,Tied,Vargas,Santiago,Davis,3:16,N,44489.0,1.05,4,
5,"Saturday, Apr 11",KCR,@,LAA,W,6.0,4.0,9.0,5-0,1.0,Tied,Guthrie,Weaver,Holland,2:41,N,44154.0,1.10,5,
6,"Sunday, Apr 12",KCR,@,LAA,W,9.0,2.0,9.0,6-0,1.0,Tied,Ventura,Wilson,None,2:56,D,37060.0,1.10,6,
7,"Monday, Apr 13",KCR,@,MIN,W,12.0,3.0,9.0,7-0,1.0,up 1.0,Duffy,May,None,2:50,D,40123.0,1.25,7,
8,"Wednesday, Apr 15",KCR,@,MIN,L,1.0,3.0,9.0,7-1,2.0,0.5,Gibson,Volquez,Perkins,2:25,N,21362.0,1.28,-1,
9,"Thursday, Apr 16",KCR,@,MIN,L,5.0,8.0,9.0,7-2,2.0,1.0,Milone,Vargas,Perkins,3:01,D,17449.0,1.21,-2,
10,"Friday, Apr 17",KCR,Home,OAK,W,6.0,4.0,9.0,8-2,2.0,1.0,Davis,Otero,Holland,2:33,N,39228.0,1.12,1,
11,"Saturday, Apr 18",KCR,Home,OAK,L,0.0,5.0,9.0,8-3,2.0,1.0,Hahn,Ventura,Chavez,2:34,N,33151.0,1.11,-1,
12,"Sunday, Apr 19",KCR,Home,OAK,W,4.0,2.0,9.0,9-3,2.0,1.0,Morales,O'Flaherty,Davis,3:08,D,36755.0,1.13,1,
13,"Monday, Apr 20",KCR,Home,MIN,W,7.0,1.0,9.0,10-3,2.0,1.0,Volquez,Gibson,None,2:43,N,20393.0,1.25,2,
14,"Tuesday, Apr 21",KCR,Home,MIN,W,6.0,5.0,9.0,11-3,1.0,Tied,Young,Fien,Davis,2:55,N,20990.0,1.26,3,
15,"Wednesday, Apr 22",KCR,Home,MIN,L,0.0,3.0,9.0,11-4,1.0,Tied,Pelfrey,Guthrie,Perkins,2:47,N,24721.0,1.29,-1,
16,"Thursday, Apr 23",KCR,@,CHW,W,3.0,2.0,13.0,12-4,1.0,up 1.0,Morales,Petricka,Davis,4:07,N,14218.0,1.36,1,
17,"Friday, Apr 24",KCR,@,CHW,L-wo,2.0,3.0,9.0,12-5,1.0,up 1.0,Robertson,Herrera,None,3:19,N,20350.0,1.32,-1,
18,"Sunday, Apr 26",KCR,@,CHW,L,3.0,5.0,9.0,12-6,2.0,0.5,Danks,Volquez,Robertson,2:48,D,23317.0,1.32,-2,
19,"Monday, Apr 27",KCR,@,CLE,W,6.0,2.0,9.0,13-6,2.0,0.5,Vargas,Kluber,None,3:22,N,9668.0,1.28,1,
