,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Thursday, Apr 1",LAA,Home,CHW,W,4.0,3.0,9.0,1-0,1.0,Tied,Mayers,Bummer,Iglesias,2:51,N,13207.0,.94,1.0,
2,"Friday, Apr 2",LAA,Home,CHW,L,8.0,12.0,9.0,1-1,2.0,1.0,Kopech,Heaney,Hendriks,3:44,N,12763.0,.99,-1.0,
3,"Saturday, Apr 3",LAA,Home,CHW,W,5.0,3.0,9.0,2-1,2.0,1.0,Guerra,Marshall,None,3:04,N,12043.0,.95,1.0,
4,"Sunday, Apr 4",LAA,Home,CHW,W-wo,7.0,4.0,9.0,3-1,2.0,1.0,Iglesias,Ruiz,None,3:56,N,12396.0,.97,2.0,
5,"Monday, Apr 5",LAA,Home,HOU,W,7.0,6.0,9.0,4-1,1.0,Tied,Watson,Smith,Mayers,4:01,N,13447.0,1.17,3.0,
6,"Tuesday, Apr 6",LAA,Home,HOU,L,2.0,4.0,9.0,4-2,2.0,1.0,Pressly,Iglesias,None,2:47,D,11122.0,1.25,-1.0,
7,"Thursday, Apr 8",LAA,@,TOR,W,7.0,5.0,11.0,5-2,2.0,1.0,Guerra,Borucki,Iglesias,3:57,N,1348.0,1.06,1.0,
8,"Friday, Apr 9",LAA,@,TOR,W,7.0,1.0,9.0,6-2,1.0,Tied,Heaney,Zeuch,None,3:06,N,1523.0,1.11,2.0,
9,"Saturday, Apr 10",LAA,@,TOR,L,1.0,15.0,9.0,6-3,1.0,Tied,Matz,Quintana,Milone,3:21,N,1292.0,1.11,-1.0,
10,"Monday, Apr 12",LAA,@,KCR,W,10.0,3.0,9.0,7-3,1.0,up 1.0,Cobb,Singer,None,3:28,N,6962.0,1.09,1.0,
11,"Tuesday, Apr 13",LAA,@,KCR,L,2.0,3.0,9.0,7-4,1.0,up 1.0,Duffy,Bundy,Holland,2:57,N,6404.0,1.10,-1.0,
12,"Wednesday, Apr 14",LAA,@,KCR,L,1.0,6.0,9.0,7-5,1.0,up 0.5,Keller,Canning,None,3:10,D,6814.0,1.09,-2.0,
13,"Friday, Apr 16",LAA,Home,MIN,W,10.0,3.0,9.0,8-5,2.0,0.5,Slegers,Dobnak,None,3:08,N,13428.0,1.07,1.0,
14,"Monday, Apr 19",LAA,Home,TEX,L,4.0,6.0,9.0,8-6,2.0,1.5,Arihara,Bundy,Kennedy,3:15,N,11396.0,1.21,-1.0,
15,"Tuesday, Apr 20",LAA,Home,TEX,W,6.0,2.0,9.0,9-6,3.0,0.5,Canning,Lyles,None,2:52,N,12544.0,1.13,1.0,
16,"Wednesday, Apr 21",LAA,Home,TEX,L,4.0,7.0,9.0,9-7,3.0,1.5,King,Mayers,None,3:20,D,9207.0,1.19,-1.0,
17,"Thursday, Apr 22",LAA,@,HOU,L,2.0,8.0,9.0,9-8,3.0,2.0,Javier,Cobb,None,3:43,N,13985.0,1.09,-2.0,
18,"Friday, Apr 23",LAA,@,HOU,L-wo,4.0,5.0,10.0,9-9,3.0,3.0,Pressly,Iglesias,None,3:33,N,21728.0,1.10,-3.0,
19,"Saturday, Apr 24",LAA,@,HOU,L,2.0,16.0,9.0,9-10,4.0,4.0,Emanuel,Canning,None,3:20,D,21820.0,1.03,-4.0,
20,"Sunday, Apr 25",LAA,@,HOU,W,4.0,2.0,9.0,10-10,3.0,3.0,Rodriguez,Garcia,Iglesias,3:04,D,21781.0,1.00,1.0,
21,"Monday, Apr 26",LAA,@,TEX,W,9.0,4.0,9.0,11-10,3.0,3.0,Ohtani,Lyles,None,3:06,N,17766.0,1.04,2.0,
22,"Tuesday, Apr 27",LAA,@,TEX,L,1.0,6.0,9.0,11-11,4.0,3.0,Foltynewicz,Quintana,None,2:50,N,16103.0,1.09,-1.0,
23,"Wednesday, Apr 28",LAA,@,TEX,W,4.0,3.0,9.0,12-11,3.0,2.0,Rodriguez,Dunning,Iglesias,2:48,N,17875.0,1.01,1.0,
24,"Friday, Apr 30",LAA,@,SEA,L,4.0,7.0,9.0,12-12,4.0,2.5,Steckenrider,Heaney,None,3:20,N,8632.0,1.19,-1.0,
25,"Saturday, May 1",LAA,@,SEA,W,10.0,5.0,9.0,13-12,4.0,1.5,Canning,Newsome,None,3:16,N,8993.0,1.11,1.0,
