,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Monday, Apr 6",LAD,Home,SDP,W,6.0,3.0,9.0,1-0,1.0,Tied,Peralta,Kelley,Hatcher,3:04,D,53518.0,1.04,1,
2,"Tuesday, Apr 7",LAD,Home,SDP,L,3.0,7.0,9.0,1-1,2.0,1.0,Benoit,Hatcher,None,3:31,N,40356.0,1.11,-1,
3,"Wednesday, Apr 8",LAD,Home,SDP,W,7.0,4.0,9.0,2-1,2.0,1.0,McCarthy,Cashner,Peralta,3:16,N,52204.0,1.05,1,
4,"Friday, Apr 10",LAD,@,ARI,L-wo,3.0,4.0,10.0,2-2,3.0,2.0,Perez,Howell,None,3:01,N,27404.0,1.04,-1,
5,"Saturday, Apr 11",LAD,@,ARI,L,0.0,6.0,9.0,2-3,5.0,2.0,Bradley,Kershaw,None,2:36,N,37636.0,1.01,-2,
6,"Sunday, Apr 12",LAD,@,ARI,W,7.0,4.0,9.0,3-3,3.0,1.0,Greinke,Collmenter,Peralta,3:27,D,29678.0,.99,1,
7,"Monday, Apr 13",LAD,Home,SEA,W-wo,6.0,5.0,10.0,4-3,2.0,1.0,Garcia,Leone,None,3:04,N,42202.0,.91,2,
8,"Tuesday, Apr 14",LAD,Home,SEA,W-wo,6.0,5.0,9.0,5-3,2.0,1.0,Garcia,Rodney,None,3:40,N,43115.0,.96,3,
9,"Wednesday, Apr 15",LAD,Home,SEA,W,5.0,2.0,9.0,6-3,2.0,1.0,Anderson,Walker,None,2:53,N,51287.0,.99,4,
10,"Friday, Apr 17",LAD,Home,COL,W,7.0,3.0,9.0,7-3,1.0,Tied,Kershaw,Kendrick,None,3:18,N,48950.0,1.23,5,
11,"Saturday, Apr 18",LAD,Home,COL,W,6.0,3.0,9.0,8-3,1.0,up 1.0,Greinke,Lyles,Peralta,2:55,N,45912.0,1.24,6,
12,"Sunday, Apr 19",LAD,Home,COL,W,7.0,0.0,9.0,9-3,1.0,up 1.5,McCarthy,Butler,None,2:55,D,44666.0,1.29,7,
13,"Tuesday, Apr 21",LAD,@,SFG,L,2.0,6.0,9.0,9-4,1.0,Tied,Lincecum,Anderson,Casilla,3:09,N,41386.0,1.16,-1,
14,"Wednesday, Apr 22",LAD,@,SFG,L-wo,2.0,3.0,9.0,9-5,1.0,Tied,Casilla,Hatcher,None,3:16,N,42259.0,1.20,-2,
15,"Thursday, Apr 23",LAD,@,SFG,L-wo,2.0,3.0,10.0,9-6,1.0,Tied,Casilla,Nicasio,None,3:23,D,41240.0,1.18,-3,
16,"Friday, Apr 24",LAD,@,SDP,W,3.0,0.0,9.0,10-6,1.0,up 0.5,Greinke,Cashner,Garcia,3:04,N,43055.0,1.29,1,
17,"Saturday, Apr 25",LAD,@,SDP,W,11.0,8.0,9.0,11-6,1.0,up 1.5,McCarthy,Kennedy,None,3:36,N,44454.0,1.30,2,
18,"Sunday, Apr 26",LAD,@,SDP,L,1.0,3.0,9.0,11-7,1.0,up 1.0,Morrow,Baker,Kimbrel,2:30,D,43256.0,1.32,-1,
19,"Monday, Apr 27",LAD,Home,SFG,W,8.0,3.0,9.0,12-7,1.0,up 1.0,Frias,Lincecum,None,2:58,N,46704.0,1.24,1,
20,"Tuesday, Apr 28",LAD,Home,SFG,L,1.0,2.0,9.0,12-8,1.0,up 1.0,Bumgarner,Kershaw,Casilla,2:50,N,50161.0,1.30,-1,
21,"Wednesday, Apr 29",LAD,Home,SFG,W,7.0,3.0,9.0,13-8,1.0,up 2.0,Greinke,Vogelsong,None,2:54,N,53285.0,1.30,1,
22,"Friday, May 1",LAD,Home,ARI,W,8.0,0.0,9.0,14-8,1.0,up 3.0,Frias,De La Rosa,None,2:47,N,50164.0,1.34,2,
23,"Saturday, May 2",LAD,Home,ARI,W,6.0,4.0,9.0,15-8,1.0,up 3.0,Nicasio,Marshall,Hatcher,3:14,N,43617.0,1.36,3,
24,"Sunday, May 3",LAD,Home,ARI,W-wo,1.0,0.0,13.0,16-8,1.0,up 3.0,Howell,Marshall,None,4:02,D,48136.0,1.38,4,
