,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Thursday, Mar 28",MIL,Home,STL,W,5.0,4.0,9.0,1-0,1.0,Tied,Chacin,Mikolas,Hader,2:36,D,45304.0,1.05,1,
2,"Friday, Mar 29",MIL,Home,STL,L,5.0,9.0,9.0,1-1,3.0,0.5,Gant,Williams,None,3:41,N,30157.0,1.09,-1,
3,"Saturday, Mar 30",MIL,Home,STL,W,4.0,2.0,9.0,2-1,1.0,Tied,Woodruff,Hudson,Hader,3:07,N,36655.0,1.05,1,
4,"Sunday, Mar 31",MIL,Home,STL,W-wo,5.0,4.0,9.0,3-1,1.0,up 1.0,Barnes,Hicks,None,2:54,D,35042.0,1.09,2,
5,"Monday, Apr 1",MIL,@,CIN,W,4.0,3.0,9.0,4-1,1.0,up 2.0,Wilson,Iglesias,Hader,3:31,N,7799.0,1.20,3,
6,"Tuesday, Apr 2",MIL,@,CIN,W,4.0,3.0,9.0,5-1,1.0,up 2.5,Chacin,Duke,Hader,3:07,N,10195.0,1.23,4,
7,"Wednesday, Apr 3",MIL,@,CIN,W,1.0,0.0,9.0,6-1,1.0,up 2.5,Peralta,Castillo,Wilson,2:33,D,13439.0,1.24,5,
8,"Friday, Apr 5",MIL,Home,CHC,W,13.0,10.0,9.0,7-1,1.0,up 3.0,Anderson,Quintana,None,3:36,N,34926.0,1.28,6,
9,"Saturday, Apr 6",MIL,Home,CHC,L,8.0,14.0,9.0,7-2,1.0,up 2.0,Hamels,Burnes,None,3:54,N,42790.0,1.29,-1,
10,"Sunday, Apr 7",MIL,Home,CHC,W,4.0,2.0,9.0,8-2,1.0,up 2.0,Davies,Hendricks,Hader,3:04,D,40322.0,1.31,1,
11,"Monday, Apr 8",MIL,@,LAA,L,2.0,5.0,9.0,8-3,1.0,up 2.0,Cahill,Chacin,Allen,2:40,N,28571.0,1.14,-1,
12,"Tuesday, Apr 9",MIL,@,LAA,L,8.0,11.0,9.0,8-4,1.0,up 1.5,Bedrosian,Claudio,Allen,3:50,N,28793.0,1.15,-2,
13,"Wednesday, Apr 10",MIL,@,LAA,L,2.0,4.0,9.0,8-5,1.0,up 0.5,Barria,Woodruff,Robles,3:00,N,34446.0,1.13,-3,
14,"Friday, Apr 12",MIL,@,LAD,W,8.0,5.0,9.0,9-5,1.0,up 0.5,Albers,Urias,None,3:54,N,43643.0,1.14,1,
15,"Saturday, Apr 13",MIL,@,LAD,W,4.0,1.0,9.0,10-5,1.0,up 1.5,Davies,Ferguson,Guerra,2:54,N,53922.0,1.15,2,
16,"Sunday, Apr 14",MIL,@,LAD,L,1.0,7.0,9.0,10-6,1.0,up 0.5,Stripling,Chacin,None,2:34,D,45235.0,1.17,-1,
17,"Monday, Apr 15",MIL,Home,STL,W,10.0,7.0,9.0,11-6,1.0,up 1.5,Guerra,Mayers,None,3:51,N,28199.0,1.36,1,
18,"Tuesday, Apr 16",MIL,Home,STL,W,8.0,4.0,9.0,12-6,1.0,up 1.5,Woodruff,Flaherty,None,3:13,N,30260.0,1.38,2,
19,"Wednesday, Apr 17",MIL,Home,STL,L,3.0,6.0,9.0,12-7,1.0,up 0.5,Wacha,Burnes,Hicks,2:55,D,29817.0,1.38,-1,
20,"Thursday, Apr 18",MIL,Home,LAD,L,1.0,3.0,9.0,12-8,1.0,Tied,Urias,Albers,Jansen,3:02,N,33281.0,1.14,-2,
21,"Friday, Apr 19",MIL,Home,LAD,L,3.0,5.0,9.0,12-9,2.0,1.0,Baez,Hader,Jansen,3:47,N,36776.0,1.12,-3,
22,"Saturday, Apr 20",MIL,Home,LAD,W,5.0,0.0,9.0,13-9,2.0,1.0,Anderson,Ryu,None,2:51,N,40402.0,1.10,1,
23,"Sunday, Apr 21",MIL,Home,LAD,L,5.0,6.0,9.0,13-10,2.0,1.0,Jansen,Hader,None,3:13,D,32054.0,1.13,-1,
24,"Monday, Apr 22",MIL,@,STL,L,5.0,13.0,9.0,13-11,3.0,1.0,Flaherty,Houser,None,3:12,N,35819.0,1.26,-2,
25,"Tuesday, Apr 23",MIL,@,STL,L,3.0,4.0,9.0,13-12,3.0,2.0,Miller,Wilson,Hicks,3:00,N,38474.0,1.22,-3,
26,"Wednesday, Apr 24",MIL,@,STL,L,2.0,5.0,9.0,13-13,4.0,3.0,Wainwright,Chacin,Hicks,2:51,D,36878.0,1.14,-4,
27,"Friday, Apr 26",MIL,@,NYM,W,10.0,2.0,9.0,14-13,2.0,2.0,Albers,deGrom,None,3:20,N,28131.0,.98,1,
28,"Saturday, Apr 27",MIL,@,NYM,W,8.0,6.0,9.0,15-13,2.0,2.0,Woodruff,Syndergaard,Hader,3:57,N,40610.0,1.05,2,
29,"Sunday, Apr 28",MIL,@,NYM,L,2.0,5.0,9.0,15-14,3.0,3.0,Matz,Barnes,Díaz,2:52,D,25756.0,1.08,-1,
30,"Monday, Apr 29",MIL,Home,COL,W,5.0,1.0,9.0,16-14,2.0,3.0,Davies,Freeland,None,2:38,N,23356.0,1.05,1,
31,"Tuesday, Apr 30",MIL,Home,COL,W,4.0,3.0,9.0,17-14,2.0,3.0,Chacin,Marquez,Hader,2:22,N,25673.0,1.06,2,
32,"Wednesday, May 1",MIL,Home,COL,L,4.0,11.0,9.0,17-15,3.0,4.0,Estevez,Burnes,None,3:44,N,28780.0,1.08,-1,
33,"Thursday, May 2",MIL,Home,COL,L,6.0,11.0,9.0,17-16,3.0,4.0,Gray,Peralta,None,3:24,D,21319.0,1.03,-2,
34,"Friday, May 3",MIL,Home,NYM,W,3.0,1.0,9.0,18-16,3.0,3.0,Woodruff,Matz,Hader,3:01,N,32550.0,.97,1,
35,"Saturday, May 4",MIL,Home,NYM,W-wo,4.0,3.0,18.0,19-16,3.0,2.0,Williams,Flexen,None,5:22,N,39565.0,1.00,2,
36,"Sunday, May 5",MIL,Home,NYM,W,3.0,2.0,9.0,20-16,3.0,1.5,Davies,Vargas,Hader,2:39,D,36016.0,1.03,3,
37,"Monday, May 6",MIL,Home,WSN,W,5.0,3.0,9.0,21-16,3.0,1.0,Claudio,Jennings,Guerra,3:33,N,29299.0,1.09,4,
38,"Tuesday, May 7",MIL,Home,WSN,W,6.0,0.0,9.0,22-16,2.0,0.5,Peralta,Strasburg,None,3:00,N,31023.0,1.13,5,
39,"Wednesday, May 8",MIL,Home,WSN,W,7.0,3.0,9.0,23-16,2.0,0.5,Woodruff,Hellickson,Hader,3:24,D,30333.0,1.18,6,
40,"Friday, May 10",MIL,@,CHC,W,7.0,0.0,9.0,24-16,1.0,Tied,Gonzalez,Quintana,None,3:18,D,37870.0,1.48,7,
41,"Saturday, May 11",MIL,@,CHC,L-wo,1.0,2.0,15.0,24-17,2.0,1.0,Chatwood,Smith,None,4:56,D,39598.0,1.54,-1,
42,"Sunday, May 12",MIL,@,CHC,L,1.0,4.0,9.0,24-18,2.0,2.0,Lester,Chacin,Cishek,2:55,N,37267.0,1.49,-2,
43,"Monday, May 13",MIL,@,PHI,L,4.0,7.0,9.0,24-19,2.0,2.5,Morgan,Albers,Neshek,3:57,N,26169.0,1.23,-3,
44,"Tuesday, May 14",MIL,@,PHI,W,6.0,1.0,9.0,25-19,2.0,2.5,Woodruff,Eickhoff,None,3:11,N,31533.0,1.18,1,
45,"Wednesday, May 15",MIL,@,PHI,W,5.0,2.0,9.0,26-19,2.0,1.5,Gonzalez,Arrieta,Hader,3:20,N,28129.0,1.21,2,
46,"Thursday, May 16",MIL,@,PHI,W,11.0,3.0,9.0,27-19,2.0,0.5,Davies,Eflin,None,3:18,D,38346.0,1.25,3,
47,"Friday, May 17",MIL,@,ATL,L,8.0,12.0,9.0,27-20,2.0,1.5,Fried,Chacin,Jackson,3:25,N,36222.0,1.29,-1,
48,"Saturday, May 18",MIL,@,ATL,L-wo,3.0,4.0,10.0,27-21,2.0,1.5,Webb,Hader,None,3:34,N,39121.0,1.29,-2,
49,"Sunday, May 19",MIL,@,ATL,W,3.0,2.0,10.0,28-21,2.0,1.5,Hader,Parsons,None,2:44,D,36548.0,1.29,1,
50,"Tuesday, May 21",MIL,Home,CIN,L,0.0,3.0,9.0,28-22,2.0,2.0,Gray,Gonzalez,Iglesias,2:39,N,36829.0,1.34,-1,
51,"Wednesday, May 22",MIL,Home,CIN,W,11.0,9.0,9.0,29-22,2.0,2.0,Guerra,Peralta,Hader,3:48,D,35330.0,1.31,1,
52,"Friday, May 24",MIL,Home,PHI,L,4.0,6.0,9.0,29-23,2.0,1.5,Velasquez,Peralta,Neris,3:23,N,40254.0,1.30,-1,
53,"Saturday, May 25",MIL,Home,PHI,L,2.0,7.0,9.0,29-24,2.0,2.5,Arrieta,Chacin,None,2:52,D,42475.0,1.28,-2,
54,"Sunday, May 26",MIL,Home,PHI,W,9.0,1.0,9.0,30-24,2.0,1.5,Woodruff,Eflin,None,2:49,D,44174.0,1.20,1,
55,"Monday, May 27",MIL,@,MIN,W,5.0,4.0,9.0,31-24,2.0,0.5,Burnes,Rogers,Hader,3:12,N,29167.0,1.28,2,
56,"Tuesday, May 28",MIL,@,MIN,L,3.0,5.0,9.0,31-25,2.0,0.5,Magill,Claudio,Harper,2:40,N,27120.0,1.28,-1,
57,"Thursday, May 30",MIL,@,PIT,W,11.0,5.0,9.0,32-25,2.0,0.5,Anderson,Musgrove,None,3:39,N,13059.0,1.45,1,
58,"Friday, May 31",MIL,@,PIT,L,4.0,9.0,9.0,32-26,2.0,0.5,Archer,Chacin,None,2:54,N,28465.0,1.49,-1,
59,"Saturday, Jun 1",MIL,@,PIT,W,12.0,10.0,13.0,33-26,1.0,up 0.5,Houser,McRae,None,5:23,D,28770.0,1.52,1,
60,"Sunday, Jun 2",MIL,@,PIT,W,4.0,2.0,9.0,34-26,1.0,up 1.5,Davies,Lyles,Burnes,2:41,D,19442.0,1.52,2,
61,"Tuesday, Jun 4",MIL,Home,MIA,L,0.0,16.0,9.0,34-27,1.0,Tied,Lopez,Anderson,None,3:12,N,25364.0,1.37,-1,
62,"Wednesday, Jun 5",MIL,Home,MIA,L,3.0,8.0,9.0,34-28,2.0,1.0,Alcantara,Nelson,None,3:04,N,26615.0,1.35,-2,
63,"Thursday, Jun 6",MIL,Home,MIA,W,5.0,1.0,9.0,35-28,1.0,Tied,Peralta,Smith,Hader,2:47,D,25409.0,1.35,1,
64,"Friday, Jun 7",MIL,Home,PIT,W,10.0,4.0,9.0,36-28,1.0,Tied,Woodruff,Davis,None,3:33,N,30296.0,1.57,2,
65,"Saturday, Jun 8",MIL,Home,PIT,W,5.0,3.0,9.0,37-28,1.0,Tied,Davies,Feliz,Hader,3:29,D,40704.0,1.55,3,
66,"Sunday, Jun 9",MIL,Home,PIT,W,5.0,2.0,9.0,38-28,1.0,Tied,Jeffress,Liriano,Hader,2:52,D,45375.0,1.54,4,
67,"Tuesday, Jun 11",MIL,@,HOU,L,8.0,10.0,9.0,38-29,1.0,up 0.5,Peacock,Peralta,None,2:58,N,35928.0,1.38,-1,
68,"Wednesday, Jun 12",MIL,@,HOU,W,6.0,3.0,14.0,39-29,1.0,up 0.5,Houser,Pérez,None,4:16,N,40032.0,1.37,1,
69,"Friday, Jun 14",MIL,@,SFG,L,3.0,5.0,9.0,39-30,1.0,up 1.0,Pomeranz,Davies,Smith,3:01,N,35106.0,1.45,-1,
70,"Saturday, Jun 15",MIL,@,SFG,L,7.0,8.0,9.0,39-31,1.0,Tied,Gott,Guerra,Smith,3:06,D,34560.0,1.47,-2,
71,"Sunday, Jun 16",MIL,@,SFG,W,5.0,3.0,9.0,40-31,1.0,up 1.0,Albers,Samardzija,Hader,3:18,D,34603.0,1.41,1,
72,"Monday, Jun 17",MIL,@,SDP,L,0.0,2.0,9.0,40-32,1.0,up 0.5,Lucchesi,Chacin,Yates,2:55,N,24914.0,1.46,-1,
73,"Tuesday, Jun 18",MIL,@,SDP,L,1.0,4.0,9.0,40-33,1.0,up 0.5,Allen,Woodruff,Yates,2:43,N,29112.0,1.45,-2,
74,"Wednesday, Jun 19",MIL,@,SDP,L,7.0,8.0,9.0,40-34,2.0,0.5,Reyes,Jeffress,Stammen,3:24,D,28144.0,1.51,-3,
75,"Thursday, Jun 20",MIL,Home,CIN,L,1.0,7.0,9.0,40-35,2.0,1.5,Roark,Nelson,None,2:58,N,28898.0,1.53,-4,
76,"Friday, Jun 21",MIL,Home,CIN,L,7.0,11.0,9.0,40-36,2.0,1.5,Hernandez,Anderson,None,4:08,N,38289.0,1.52,-5,
77,"Saturday, Jun 22",MIL,Home,CIN,W,6.0,5.0,9.0,41-36,2.0,0.5,Albers,Castillo,Hader,3:00,D,43971.0,1.51,1,
78,"Sunday, Jun 23",MIL,Home,CIN,W,7.0,5.0,9.0,42-36,2.0,0.5,Woodruff,DeSclafani,None,2:50,D,41237.0,1.53,2,
79,"Tuesday, Jun 25",MIL,Home,SEA,L,3.0,8.0,9.0,42-37,2.0,1.0,Gonzales,Davies,None,3:38,N,28468.0,1.40,-1,
80,"Wednesday, Jun 26",MIL,Home,SEA,L,2.0,4.0,9.0,42-38,2.0,1.0,LeBlanc,Houser,Elias,3:11,N,30074.0,1.39,-2,
81,"Thursday, Jun 27",MIL,Home,SEA,W,4.0,2.0,9.0,43-38,2.0,1.0,Anderson,Leake,Hader,2:34,D,36587.0,1.40,1,
82,"Friday, Jun 28",MIL,Home,PIT,L,2.0,3.0,9.0,43-39,2.0,1.0,Vazquez,Jeffress,None,3:00,N,33931.0,1.59,-1,
83,"Saturday, Jun 29",MIL,Home,PIT,W,3.0,1.0,9.0,44-39,2.0,1.0,Woodruff,Lyles,Hader,2:52,N,37821.0,1.61,1,
84,"Sunday, Jun 30",MIL,Home,PIT,W,2.0,1.0,9.0,45-39,1.0,Tied,Jeffress,Crick,Albers,3:40,D,41257.0,1.61,2,
85,"Monday, Jul 1",MIL,@,CIN,W,8.0,6.0,9.0,46-39,1.0,up 1.0,Claudio,Hernandez,Jeffress,3:10,N,16186.0,1.65,3,
86,"Tuesday, Jul 2",MIL,@,CIN,L-wo,4.0,5.0,11.0,46-40,1.0,up 1.0,Iglesias,Burnes,None,3:19,N,15105.0,1.65,-1,
87,"Wednesday, Jul 3",MIL,@,CIN,L,0.0,3.0,9.0,46-41,1.0,up 1.0,Gray,Chacin,Iglesias,2:40,N,22685.0,1.69,-2,
88,"Thursday, Jul 4",MIL,@,CIN,L,0.0,1.0,9.0,46-42,1.0,Tied,Castillo,Woodruff,Iglesias,2:19,D,20885.0,1.67,-3,
89,"Friday, Jul 5",MIL,@,PIT,W,7.0,6.0,10.0,47-42,1.0,up 0.5,Guerra,Vazquez,None,4:13,N,23229.0,1.68,1,
90,"Saturday, Jul 6",MIL,@,PIT,L,2.0,12.0,9.0,47-43,2.0,0.5,Agrazal,Houser,None,3:26,N,28038.0,1.67,-1,
91,"Sunday, Jul 7",MIL,@,PIT,L,5.0,6.0,9.0,47-44,2.0,0.5,Liriano,Guerra,Vazquez,3:04,D,17624.0,1.70,-2,
92,"Friday, Jul 12",MIL,Home,SFG,L,7.0,10.0,10.0,47-45,2.0,1.5,Smith,Albers,None,3:33,N,40186.0,1.44,-3,
93,"Saturday, Jul 13",MIL,Home,SFG,W-wo,5.0,4.0,9.0,48-45,2.0,1.5,Jeffress,Moronta,None,3:54,N,42324.0,1.36,1,
94,"Sunday, Jul 14",MIL,Home,SFG,L,3.0,8.0,9.0,48-46,2.0,2.5,Beede,Burnes,None,3:26,D,43259.0,1.43,-1,
95,"Monday, Jul 15",MIL,Home,ATL,L,2.0,4.0,9.0,48-47,3.0,2.5,Fried,Houser,Jackson,3:02,N,31850.0,1.33,-2,
96,"Tuesday, Jul 16",MIL,Home,ATL,W,13.0,1.0,9.0,49-47,2.0,2.5,Woodruff,Wilson,None,3:29,N,31599.0,1.28,1,
97,"Wednesday, Jul 17",MIL,Home,ATL,W,5.0,4.0,9.0,50-47,2.0,2.5,Anderson,Keuchel,Hader,3:07,D,36928.0,1.33,2,
98,"Thursday, Jul 18",MIL,@,ARI,W,5.0,1.0,9.0,51-47,2.0,2.0,Davies,López,None,2:59,N,23985.0,1.44,3,
