,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Wednesday, Mar 20",OAK,Home,SEA,L,7.0,9.0,9.0,0-1,5.0,1.0,Gonzales,Fiers,Strickland,3:24,N,45787.0,1.10,-1,
2,"Thursday, Mar 21",OAK,Home,SEA,L,4.0,5.0,12.0,0-2,5.0,2.0,Rosscup,Buchter,Strickland,4:27,N,46451.0,1.01,-2,
3,"Thursday, Mar 28",OAK,Home,LAA,W,4.0,0.0,9.0,1-2,3.0,2.0,Fiers,Cahill,None,2:18,D,22691.0,.95,1,
4,"Friday, Mar 29",OAK,Home,LAA,L,2.0,6.0,9.0,1-3,5.0,2.0,Robles,Soria,None,2:52,N,22585.0,.98,-1,
5,"Saturday, Mar 30",OAK,Home,LAA,W,4.0,2.0,9.0,2-3,3.0,2.0,Anderson,Peña,Treinen,2:42,N,16051.0,.94,1,
6,"Sunday, Mar 31",OAK,Home,LAA,W,2.0,1.0,9.0,3-3,3.0,2.0,Montas,Skaggs,Treinen,2:40,D,23265.0,.98,2,
7,"Monday, Apr 1",OAK,Home,BOS,W,7.0,0.0,9.0,4-3,2.0,2.0,Brooks,Price,None,2:42,N,12417.0,.92,3,
8,"Tuesday, Apr 2",OAK,Home,BOS,W,1.0,0.0,9.0,5-3,2.0,2.0,Fiers,Sale,Treinen,2:42,N,12721.0,.98,4,
9,"Wednesday, Apr 3",OAK,Home,BOS,L,3.0,6.0,9.0,5-4,3.0,2.5,Barnes,Rodney,Brasier,3:21,N,14207.0,1.00,-1,
10,"Thursday, Apr 4",OAK,Home,BOS,W,7.0,3.0,9.0,6-4,3.0,2.0,Anderson,Rodriguez,None,3:16,D,15095.0,.97,1,
11,"Friday, Apr 5",OAK,@,HOU,L,2.0,3.0,9.0,6-5,3.0,2.0,McHugh,Montas,Osuna,3:03,N,43165.0,1.05,-1,
12,"Saturday, Apr 6",OAK,@,HOU,L,0.0,6.0,9.0,6-6,3.0,3.0,Miley,Brooks,None,2:47,N,34487.0,1.09,-2,
13,"Sunday, Apr 7",OAK,@,HOU,L-wo,8.0,9.0,9.0,6-7,4.0,4.0,Osuna,Treinen,None,3:39,D,34902.0,1.02,-3,
14,"Monday, Apr 8",OAK,@,BAL,L,4.0,12.0,9.0,6-8,5.0,5.0,Cashner,Estrada,None,3:07,N,6585.0,.87,-4,
15,"Tuesday, Apr 9",OAK,@,BAL,W,13.0,2.0,9.0,7-8,4.0,5.0,Anderson,Means,None,2:53,N,7738.0,.81,1,
16,"Wednesday, Apr 10",OAK,@,BAL,W,10.0,3.0,9.0,8-8,4.0,5.0,Montas,Straily,None,2:35,N,7974.0,.81,2,
17,"Thursday, Apr 11",OAK,@,BAL,W,8.0,5.0,9.0,9-8,3.0,5.0,Brooks,Bundy,Treinen,2:50,D,8374.0,.85,3,
18,"Friday, Apr 12",OAK,@,TEX,W,8.0,6.0,9.0,10-8,3.0,4.0,Trivino,Martin,Treinen,3:16,N,24817.0,.99,4,
19,"Sunday, Apr 14",OAK,@,TEX,L,7.0,8.0,9.0,10-9,3.0,3.5,Springs,Soria,Leclerc,3:05,D,26350.0,1.04,-1,
20,"Tuesday, Apr 16",OAK,Home,HOU,L,1.0,9.0,9.0,10-10,4.0,3.5,McHugh,Estrada,None,3:03,N,12270.0,1.06,-2,
21,"Wednesday, Apr 17",OAK,Home,HOU,W,2.0,1.0,9.0,11-10,4.0,2.5,Montas,Miley,Treinen,2:29,N,11323.0,1.02,1,
22,"Friday, Apr 19",OAK,Home,TOR,L,1.0,5.0,9.0,11-11,4.0,3.5,Stroman,Brooks,None,2:36,N,15128.0,.96,-1,
23,"Saturday, Apr 20",OAK,Home,TOR,L,1.0,10.0,9.0,11-12,4.0,4.5,Gaviglio,Fiers,None,3:05,D,31140.0,.88,-2,
24,"Sunday, Apr 21",OAK,Home,TOR,L,4.0,5.0,9.0,11-13,4.0,4.5,Hudson,Anderson,Giles,3:19,D,16015.0,.84,-3,
25,"Monday, Apr 22",OAK,Home,TEX,W,6.0,1.0,9.0,12-13,4.0,4.0,Bassitt,Minor,None,2:48,N,8073.0,.87,1,
26,"Tuesday, Apr 23",OAK,Home,TEX,W,11.0,5.0,9.0,13-13,4.0,3.0,Montas,Lynn,None,3:17,N,10496.0,.94,2,
27,"Wednesday, Apr 24",OAK,Home,TEX,W-wo,6.0,5.0,9.0,14-13,3.0,2.5,Treinen,Martin,None,3:22,D,18610.0,.99,3,
28,"Friday, Apr 26",OAK,@,TOR,L-wo,2.0,4.0,9.0,14-14,3.0,3.5,Giles,Petit,None,2:50,N,28688.0,.99,-1,
29,"Saturday, Apr 27",OAK,@,TOR,L,1.0,7.0,9.0,14-15,4.0,3.5,Sanchez,Anderson,None,2:50,D,22254.0,.95,-2,
30,"Sunday, Apr 28",OAK,@,TOR,L-wo,4.0,5.0,11.0,14-16,4.0,4.0,Luciano,Treinen,None,3:56,D,18557.0,.90,-3,
31,"Monday, Apr 29",OAK,@,BOS,L,4.0,9.0,9.0,14-17,4.0,4.0,Brasier,Montas,Barnes,3:23,N,30866.0,.86,-4,
32,"Tuesday, Apr 30",OAK,@,BOS,L,1.0,5.0,9.0,14-18,4.0,5.0,Porcello,Brooks,None,2:34,N,31754.0,.77,-5,
33,"Wednesday, May 1",OAK,@,BOS,L,3.0,7.0,9.0,14-19,5.0,5.0,Walden,Fiers,None,2:54,D,33708.0,.72,-6,
34,"Friday, May 3",OAK,@,PIT,W,14.0,1.0,9.0,15-19,5.0,4.0,Anderson,Musgrove,None,3:26,N,16428.0,.68,1,
35,"Saturday, May 4",OAK,@,PIT,L,4.0,6.0,9.0,15-20,5.0,5.0,Feliz,Wendelken,Vazquez,3:08,N,26447.0,.78,-1,
36,"Sunday, May 5",OAK,@,PIT,L-wo,3.0,5.0,13.0,15-21,5.0,6.0,Lyons,Rodney,None,3:58,D,18517.0,.70,-2,
37,"Tuesday, May 7",OAK,Home,CIN,W,2.0,0.0,9.0,16-21,5.0,5.5,Fiers,Mahle,None,2:25,N,11794.0,.64,1,
38,"Wednesday, May 8",OAK,Home,CIN,W-wo,5.0,4.0,13.0,17-21,4.0,5.5,Hendriks,Stephenson,None,3:58,N,9096.0,.68,2,
39,"Thursday, May 9",OAK,Home,CIN,L,0.0,3.0,9.0,17-22,5.0,6.5,Roark,Bassitt,Iglesias,2:36,D,19694.0,.72,-1,
40,"Friday, May 10",OAK,Home,CLE,W-wo,4.0,3.0,12.0,18-22,5.0,6.5,Soria,Hand,None,3:41,N,36913.0,.72,1,
41,"Saturday, May 11",OAK,Home,CLE,W-wo,3.0,2.0,9.0,19-22,4.0,6.5,Treinen,Cole,None,3:13,D,18278.0,.76,2,
42,"Sunday, May 12",OAK,Home,CLE,L,3.0,5.0,9.0,19-23,4.0,7.5,Rodriguez,Mengden,Hand,2:57,D,18891.0,.77,-1,
43,"Monday, May 13",OAK,@,SEA,L-wo,5.0,6.0,10.0,19-24,5.0,8.5,Brennan,Soria,None,3:47,N,12514.0,.79,-2,
44,"Tuesday, May 14",OAK,@,SEA,L,3.0,4.0,9.0,19-25,5.0,9.5,Leake,Anderson,Elias,2:37,N,11365.0,.70,-3,
45,"Thursday, May 16",OAK,@,DET,W,17.0,3.0,9.0,20-25,5.0,9.5,Bassitt,Turnbull,None,2:55,D,18527.0,.55,1,
46,"Friday, May 17",OAK,@,DET,W,7.0,2.0,9.0,21-25,5.0,9.5,Montas,Norris,None,2:28,N,18746.0,.62,2,
47,"Saturday, May 18",OAK,@,DET,W,4.0,1.0,9.0,22-25,3.0,9.5,Mengden,Boyd,Treinen,2:40,D,22913.0,.66,3,
48,"Sunday, May 19",OAK,@,DET,W,7.0,3.0,9.0,23-25,2.0,8.5,Fiers,Reininger,None,2:58,D,15680.0,.70,4,
49,"Monday, May 20",OAK,@,CLE,W,6.0,4.0,9.0,24-25,2.0,8.5,Anderson,Carrasco,Treinen,3:19,N,12563.0,.81,5,
50,"Tuesday, May 21",OAK,@,CLE,W,5.0,3.0,9.0,25-25,2.0,8.5,Hendriks,Bauer,Treinen,3:22,N,13705.0,.83,6,
51,"Wednesday, May 22",OAK,@,CLE,W,7.0,2.0,9.0,26-25,2.0,7.5,Montas,Rodriguez,None,3:14,D,17010.0,.90,7,
52,"Friday, May 24",OAK,Home,SEA,W,6.0,2.0,9.0,27-25,2.0,7.0,Trivino,LeBlanc,None,3:25,N,12902.0,1.01,8,
53,"Saturday, May 25",OAK,Home,SEA,W,6.0,5.0,9.0,28-25,2.0,7.0,Fiers,Kikuchi,Treinen,2:52,D,18975.0,1.00,9,
54,"Sunday, May 26",OAK,Home,SEA,W,7.0,1.0,9.0,29-25,2.0,6.0,Anderson,Leake,None,2:38,D,14664.0,1.02,10,
55,"Monday, May 27",OAK,Home,LAA,W,8.0,5.0,9.0,30-25,2.0,6.0,Bassitt,Cahill,Treinen,3:06,D,20409.0,1.15,11,
56,"Tuesday, May 28",OAK,Home,LAA,L,4.0,6.0,9.0,30-26,2.0,7.0,Buttrey,Soria,Robles,3:32,N,21583.0,1.17,-1,
57,"Wednesday, May 29",OAK,Home,LAA,L,7.0,12.0,11.0,30-27,2.0,7.0,Ramirez,Trivino,None,4:36,D,21185.0,1.11,-2,
58,"Friday, May 31",OAK,Home,HOU,L,2.0,3.0,9.0,30-28,2.0,8.0,Rondon,Trivino,Osuna,2:52,N,14519.0,1.30,-3,
59,"Saturday, Jun 1",OAK,Home,HOU,L,1.0,5.0,9.0,30-29,3.0,9.0,Verlander,Anderson,None,2:37,N,20425.0,1.16,-4,
60,"Sunday, Jun 2",OAK,Home,HOU,L,4.0,6.0,12.0,30-30,3.0,10.0,James,Trivino,None,4:24,D,23144.0,1.02,-5,
61,"Tuesday, Jun 4",OAK,@,LAA,W,4.0,2.0,9.0,31-30,3.0,10.5,Montas,Canning,Treinen,3:04,N,36009.0,.80,1,
62,"Wednesday, Jun 5",OAK,@,LAA,L-wo,9.0,10.0,9.0,31-31,3.0,10.5,Robles,Trivino,None,4:13,N,36065.0,.84,-1,
63,"Thursday, Jun 6",OAK,@,LAA,W,7.0,4.0,9.0,32-31,3.0,10.5,Fiers,Skaggs,None,3:26,N,34109.0,.79,1,
64,"Friday, Jun 7",OAK,@,TEX,W,5.0,3.0,9.0,33-31,3.0,10.5,Petit,Leclerc,Treinen,3:09,N,25120.0,.87,2,
65,"Saturday, Jun 8 (1)",OAK,@,TEX,L,5.0,10.0,9.0,33-32,3.0,11.0,Springs,Blackburn,None,3:12,D,22327.0,.93,-1,2019-04-13 (Rain)
66,"Saturday, Jun 8 (2)",OAK,@,TEX,L,1.0,3.0,9.0,33-33,3.0,11.0,Sampson,Bassitt,None,2:45,N,39514.0,.84,-2,
67,"Sunday, Jun 9",OAK,@,TEX,W,9.0,8.0,9.0,34-33,3.0,11.0,Montas,Smyly,Treinen,3:25,D,20358.0,.82,1,
68,"Monday, Jun 10",OAK,@,TBR,L,2.0,6.0,9.0,34-34,3.0,11.5,Morton,Anderson,None,2:35,N,16091.0,.80,-1,
69,"Tuesday, Jun 11",OAK,@,TBR,W,4.0,3.0,9.0,35-34,3.0,11.5,Fiers,Pagan,Treinen,2:47,N,11132.0,.75,1,
70,"Wednesday, Jun 12",OAK,@,TBR,W,6.0,2.0,9.0,36-34,3.0,10.5,Hendriks,Kolarek,None,3:22,D,17946.0,.81,2,
71,"Friday, Jun 14",OAK,Home,SEA,L,2.0,9.0,9.0,36-35,3.0,11.5,Gonzales,Bassitt,None,3:00,N,21387.0,.85,-1,
