,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Friday, Jul 24",PHI,Home,MIA,L,2.0,5.0,9.0,0-1,3.0,1.0,Alcantara,Nola,Kintzler,3:10,N,,1.16,-1,
2,"Saturday, Jul 25",PHI,Home,MIA,W,7.0,1.0,9.0,1-1,1.0,Tied,Wheeler,Vesia,None,2:54,D,,1.17,1,
3,"Sunday, Jul 26",PHI,Home,MIA,L,6.0,11.0,9.0,1-2,3.0,1.0,Tarpley,Irvin,None,3:44,D,,1.20,-1,
4,"Monday, Aug 3",PHI,@,NYY,L,3.0,6.0,9.0,1-3,4.0,2.5,Cole,Arrieta,Britton,3:00,N,,1.05,-2,2020-07-29 (Schedule change (Covid))
5,"Wednesday, Aug 5 (1)",PHI,Home,NYY,W,11.0,7.0,7.0,2-3,4.0,3.0,Wheeler,Happ,Neris,2:44,D,,1.04,1,2020-07-27 (Covid; (Game2))
6,"Wednesday, Aug 5 (2)",PHI,Home,NYY,L,1.0,3.0,7.0,2-4,4.0,3.0,Ottavino,Hunter,Britton,2:38,D,,1.06,-1,2020-07-30 (Schedule change (Covid); Tropical storm Isaisas; Played at PHI; NYA was home team; (Game1))
7,"Thursday, Aug 6",PHI,Home,NYY,W,5.0,4.0,9.0,3-4,3.0,3.0,Guerra,Montgomery,Neris,3:22,N,,1.02,1,2020-07-28 (Covid)
8,"Saturday, Aug 8",PHI,Home,ATL,W,5.0,0.0,9.0,4-4,3.0,2.5,Arrieta,Wright,None,2:31,N,,1.19,2,
9,"Sunday, Aug 9 (1)",PHI,Home,ATL,L,2.0,5.0,7.0,4-5,3.0,3.5,Matzek,Guerra,Melancon,2:59,D,,1.24,-1,2020-08-07 (Rain; (Game2))
10,"Sunday, Aug 9 (2)",PHI,Home,ATL,L,0.0,8.0,7.0,4-6,3.0,3.5,Fried,Howard,None,2:29,D,,1.26,-2,
11,"Monday, Aug 10",PHI,Home,ATL,W,13.0,8.0,9.0,5-6,3.0,2.5,Nola,Newcomb,None,2:54,N,,1.17,1,
12,"Tuesday, Aug 11",PHI,Home,BAL,L,9.0,10.0,10.0,5-7,3.0,2.5,Sulser,Guerra,Lakins,4:00,N,,1.11,-1,
