,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Friday, Jul 24",SDP,Home,ARI,W,7.0,2.0,9.0,1-0,2.0,0.5,Paddack,Bumgarner,None,3:05,N,,1.18,1,
2,"Saturday, Jul 25",SDP,Home,ARI,W,5.0,1.0,9.0,2-0,1.0,up 0.5,Lamet,Ray,None,3:18,N,,1.20,2,
3,"Sunday, Jul 26",SDP,Home,ARI,L,3.0,4.0,9.0,2-1,1.0,Tied,Bradley,Yates,None,3:44,D,,1.19,-1,
4,"Monday, Jul 27",SDP,Home,ARI,W,6.0,2.0,9.0,3-1,1.0,up 0.5,Quantrill,Weaver,None,3:03,D,,1.21,1,
5,"Tuesday, Jul 28",SDP,@,SFG,W,5.0,3.0,9.0,4-1,1.0,up 0.5,Davies,Samardzija,Pomeranz,2:54,N,,1.19,2,
6,"Wednesday, Jul 29",SDP,@,SFG,L-wo,6.0,7.0,9.0,4-2,2.0,0.5,Rogers,Strahm,None,3:02,N,,1.18,-1,
7,"Thursday, Jul 30",SDP,@,SFG,W,12.0,7.0,10.0,5-2,1.0,Tied,Johnson,Rogers,None,4:04,N,,1.23,1,
8,"Friday, Jul 31",SDP,@,COL,W,8.0,7.0,9.0,6-2,1.0,up 1.0,Stammen,Davis,Pomeranz,3:37,N,,1.21,2,
9,"Saturday, Aug 1",SDP,@,COL,L,1.0,6.0,9.0,6-3,1.0,Tied,Freeland,Lucchesi,None,2:50,N,,1.13,-1,
10,"Sunday, Aug 2",SDP,@,COL,L,6.0,9.0,9.0,6-4,3.0,1.0,Senzatela,Davies,Diaz,2:52,D,,1.21,-2,
11,"Monday, Aug 3",SDP,Home,LAD,W,5.0,4.0,9.0,7-4,2.0,1.0,Paddack,Graterol,Yates,2:44,N,,1.27,1,
12,"Tuesday, Aug 4",SDP,Home,LAD,L,2.0,5.0,9.0,7-5,3.0,2.0,May,Stammen,Jansen,3:04,N,,1.24,-1,
13,"Wednesday, Aug 5",SDP,Home,LAD,L,6.0,7.0,9.0,7-6,3.0,2.0,Stripling,Richards,Jansen,3:11,N,,1.25,-2,
14,"Friday, Aug 7",SDP,Home,ARI,W,3.0,0.0,9.0,8-6,3.0,2.5,Davies,Weaver,Yates,2:27,N,,1.28,1,
15,"Saturday, Aug 8",SDP,Home,ARI,L,2.0,3.0,9.0,8-7,3.0,3.5,Kelly,Paddack,Bradley,2:51,N,,1.27,-1,
16,"Sunday, Aug 9",SDP,Home,ARI,W,9.0,5.0,9.0,9-7,3.0,2.5,Lamet,Bumgarner,None,2:59,D,,1.31,1,
17,"Monday, Aug 10",SDP,@,LAD,W,2.0,1.0,9.0,10-7,3.0,1.5,Quantrill,May,Pomeranz,2:56,N,,1.31,2,
18,"Tuesday, Aug 11",SDP,@,LAD,W,6.0,2.0,9.0,11-7,2.0,1.5,Richards,Stripling,Pomeranz,3:02,N,,1.30,3,
19,"Wednesday, Aug 12",SDP,@,LAD,L,0.0,6.0,9.0,11-8,3.0,1.5,Treinen,Davies,None,2:52,N,,1.26,-1,
20,"Thursday, Aug 13",SDP,@,LAD,L,2.0,11.0,9.0,11-9,3.0,2.0,Urias,Paddack,None,2:45,N,,1.29,-2,
21,"Friday, Aug 14",SDP,@,ARI,L,1.0,5.0,9.0,11-10,3.0,3.0,Kelly,Lamet,None,3:03,N,,1.35,-3,
22,"Saturday, Aug 15",SDP,@,ARI,L,6.0,7.0,9.0,11-11,3.0,4.0,Crichton,Johnson,Bradley,3:23,N,,1.40,-4,
23,"Sunday, Aug 16",SDP,@,ARI,L,4.0,5.0,9.0,11-12,4.0,5.0,Clarke,Pagan,Bradley,3:13,D,,1.43,-5,
24,"Monday, Aug 17",SDP,@,TEX,W,14.0,4.0,9.0,12-12,4.0,5.0,Davies,Lyles,None,3:07,N,,1.26,1,
25,"Tuesday, Aug 18",SDP,@,TEX,W,6.0,4.0,9.0,13-12,4.0,5.0,Stammen,Minor,Quantrill,3:36,D,,1.30,2,
26,"Wednesday, Aug 19",SDP,Home,TEX,W-wo,6.0,3.0,10.0,14-12,2.0,4.0,Hill,Montero,None,3:23,N,,1.31,3,
27,"Thursday, Aug 20",SDP,Home,TEX,W-wo,8.0,7.0,10.0,15-12,2.0,4.0,Johnson,Garcia,None,3:59,N,,1.31,4,
28,"Friday, Aug 21",SDP,Home,HOU,W,4.0,3.0,9.0,16-12,2.0,4.0,Guerra,McCullers,Pagan,3:41,N,,1.25,5,
29,"Saturday, Aug 22",SDP,Home,HOU,W,13.0,2.0,9.0,17-12,2.0,4.0,Davies,Bielak,None,2:41,N,,1.11,6,
30,"Sunday, Aug 23",SDP,Home,HOU,W,5.0,3.0,9.0,18-12,2.0,4.0,Stammen,Paredes,Pagan,3:04,D,,1.02,7,
31,"Tuesday, Aug 25",SDP,Home,SEA,L,3.0,8.0,9.0,18-13,2.0,4.0,Gonzales,Paddack,None,3:08,N,,.90,-1,
32,"Thursday, Aug 27 (1)",SDP,Home,SEA,W-wo,10.0,7.0,7.0,19-13,2.0,5.0,Johnson,Williams,None,2:49,D,,1.04,1,2020-08-26 (Boycott (racial justice); (Game2))
33,"Thursday, Aug 27 (2)",SDP,Home,SEA,L,3.0,8.0,7.0,19-14,2.0,5.0,Kikuchi,Richards,None,2:39,D,,.94,-1,
34,"Friday, Aug 28",SDP,@,COL,W,10.0,4.0,9.0,20-14,2.0,4.0,Davies,Hoffman,None,3:29,N,,1.15,1,
35,"Saturday, Aug 29",SDP,@,COL,L-wo,3.0,4.0,9.0,20-15,2.0,5.0,Bard,Stammen,None,3:08,N,,1.02,-1,
36,"Sunday, Aug 30",SDP,@,COL,W,13.0,2.0,9.0,21-15,2.0,5.0,Paddack,Castellani,None,3:07,D,,1.15,1,
37,"Monday, Aug 31",SDP,@,COL,W,6.0,0.0,9.0,22-15,2.0,4.5,Morejón,Marquez,None,2:49,N,,.92,2,
38,"Wednesday, Sep 2",SDP,@,LAA,W,11.0,4.0,9.0,23-15,2.0,5.0,Hill,Buttrey,None,3:13,N,,.67,3,
39,"Thursday, Sep 3",SDP,@,LAA,L,0.0,2.0,9.0,23-16,2.0,6.0,Heaney,Clevinger,Peña,2:40,D,,.55,-1,
40,"Friday, Sep 4",SDP,@,OAK,W,7.0,0.0,9.0,24-16,2.0,6.0,Davies,Luzardo,None,2:41,N,,.60,1,
41,"Saturday, Sep 5",SDP,@,OAK,L,4.0,8.0,9.0,24-17,2.0,6.0,Manaea,Paddack,None,3:00,D,,.48,-1,
42,"Sunday, Sep 6",SDP,@,OAK,W,5.0,3.0,9.0,25-17,2.0,5.0,Richards,Fiers,Rosenthal,3:04,D,,.62,1,
43,"Monday, Sep 7",SDP,Home,COL,W-wo,1.0,0.0,9.0,26-17,2.0,4.5,Pomeranz,Estevez,None,3:02,N,,.64,2,
44,"Tuesday, Sep 8",SDP,Home,COL,W,14.0,5.0,9.0,27-17,2.0,4.5,Clevinger,Gonzalez,None,3:16,N,,.48,3,
45,"Wednesday, Sep 9",SDP,Home,COL,W,5.0,3.0,9.0,28-17,2.0,4.5,Davies,Senzatela,Rosenthal,2:54,N,,.36,4,
46,"Thursday, Sep 10",SDP,Home,SFG,W,6.0,1.0,9.0,29-17,2.0,3.5,Morejón,Cahill,None,2:48,N,,.35,5,
47,"Sunday, Sep 13 (1)",SDP,Home,SFG,W,6.0,0.0,7.0,30-17,2.0,2.5,Clevinger,Cueto,None,2:08,D,,.28,6,2020-09-11 (Covid; (Game2))
48,"Sunday, Sep 13 (2)",SDP,Home,SFG,W,3.0,1.0,7.0,31-17,2.0,2.5,Hill,Selman,Rosenthal,2:12,D,,.21,7,
49,"Monday, Sep 14",SDP,Home,LAD,W,7.0,2.0,9.0,32-17,2.0,1.5,Lamet,Kershaw,None,2:59,N,,.21,8,
50,"Tuesday, Sep 15",SDP,Home,LAD,L,1.0,3.0,9.0,32-18,2.0,2.5,Gonsolin,Davies,Jansen,2:59,N,,.21,-1,
51,"Wednesday, Sep 16",SDP,Home,LAD,L,5.0,7.0,9.0,32-19,2.0,3.5,Kolarek,Morejón,Baez,3:25,D,,.19,-2,
52,"Friday, Sep 18",SDP,Home,SEA,W,6.0,1.0,9.0,33-19,2.0,4.0,Paddack,Kikuchi,None,3:01,N,,.13,1,2020-09-18 (Played at SDN due to wildfire smoke in SEA; SEA was home team)
53,"Saturday, Sep 19",SDP,Home,SEA,L,1.0,4.0,9.0,33-20,2.0,5.0,Sheffield,Altavilla,Hirano,2:59,N,,.09,-1,2020-09-19 (Played at SDN due to wildfire smoke in SEA; SEA was home team)
54,"Sunday, Sep 20",SDP,Home,SEA,W,7.0,4.0,11.0,34-20,2.0,4.0,Rosenthal,Sadler,None,4:02,D,,.09,1,2020-09-20 (Played at SDN due to wildfire smoke in SEA; SEA was home team)
55,"Tuesday, Sep 22",SDP,Home,LAA,L,2.0,4.0,9.0,34-21,2.0,5.0,Canning,Davies,Mayers,3:10,N,,.07,-1,
56,"Wednesday, Sep 23",SDP,Home,LAA,L,2.0,5.0,9.0,34-22,2.0,5.0,Sandoval,Morejón,Peña,3:24,D,,.06,-2,
57,"Friday, Sep 25 (1)",SDP,@,SFG,L,4.0,5.0,7.0,34-23,2.0,6.0,Anderson,Paddack,None,2:27,D,,.08,-3,2020-09-12 (Covid; Played at SFN; SDN was home team; (Game2))
58,"Friday, Sep 25 (2)",SDP,@,SFG,W-wo,6.0,5.0,7.0,35-23,2.0,6.0,Patino,Coonrod,None,2:37,N,,.08,1,
59,"Saturday, Sep 26",SDP,@,SFG,W,6.0,2.0,9.0,36-23,2.0,6.0,Stammen,Cueto,None,2:47,N,,.11,2,
60,"Sunday, Sep 27",SDP,@,SFG,W,5.0,4.0,9.0,37-23,2.0,6.0,Altavilla,Smyly,Rosenthal,3:22,D,,.09,3,
