,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Thursday, Mar 29",SFG,@,LAD,W,1.0,0.0,9.0,1-0,1.0,Tied,Blach,Kershaw,Strickland,2:55,D,53595.0,1.12,1,
2,"Friday, Mar 30",SFG,@,LAD,W,1.0,0.0,9.0,2-0,1.0,Tied,Watson,Jansen,Strickland,2:23,N,53478.0,1.13,2,
3,"Saturday, Mar 31",SFG,@,LAD,L,0.0,5.0,9.0,2-1,1.0,Tied,Maeda,Holland,None,2:43,N,45938.0,1.20,-1,
4,"Sunday, Apr 1",SFG,@,LAD,L,0.0,9.0,9.0,2-2,2.0,0.5,Hill,Stratton,None,2:47,N,41866.0,1.16,-2,
5,"Tuesday, Apr 3",SFG,Home,SEA,L,4.0,6.0,9.0,2-3,2.0,2.0,Gonzales,Blach,Díaz,3:02,D,40901.0,.93,-3,
6,"Wednesday, Apr 4",SFG,Home,SEA,W,10.0,1.0,9.0,3-3,2.0,2.0,Cueto,Hernandez,None,2:52,D,42582.0,.90,1,
7,"Saturday, Apr 7",SFG,Home,LAD,W-wo,7.0,5.0,14.0,4-3,2.0,1.5,Gomez,Font,None,5:16,D,42308.0,1.09,2,
8,"Sunday, Apr 8",SFG,Home,LAD,L,1.0,2.0,10.0,4-4,2.0,2.5,Fields,Johnson,Jansen,3:04,D,42374.0,1.11,-1,
9,"Monday, Apr 9",SFG,Home,ARI,L,1.0,2.0,9.0,4-5,2.0,3.5,Godley,Holland,Bradley,2:33,N,36997.0,1.19,-2,
10,"Tuesday, Apr 10",SFG,Home,ARI,W-wo,5.0,4.0,9.0,5-5,2.0,2.5,Strickland,De La Rosa,None,3:24,N,37869.0,1.09,1,
11,"Wednesday, Apr 11",SFG,Home,ARI,L,3.0,7.0,9.0,5-6,2.0,3.5,Salas,Suarez,None,3:09,D,35041.0,1.17,-1,
12,"Thursday, Apr 12",SFG,@,SDP,W,7.0,0.0,9.0,6-6,2.0,3.0,Stratton,Mitchell,None,2:47,N,22288.0,.98,1,
13,"Friday, Apr 13",SFG,@,SDP,L,1.0,5.0,9.0,6-7,3.0,4.0,Ross,Blach,Hand,2:32,N,31675.0,1.00,-1,
14,"Saturday, Apr 14",SFG,@,SDP,L,4.0,5.0,9.0,6-8,3.0,5.0,Cimber,Gearrin,Hand,2:59,N,41117.0,.97,-2,
15,"Sunday, Apr 15",SFG,@,SDP,L,1.0,10.0,9.0,6-9,3.0,5.0,Lucchesi,Beede,None,3:09,D,34316.0,.91,-3,
16,"Tuesday, Apr 17",SFG,@,ARI,L,0.0,1.0,9.0,6-10,4.0,6.0,Corbin,Watson,None,2:05,N,19669.0,.96,-4,
17,"Wednesday, Apr 18",SFG,@,ARI,W,4.0,3.0,10.0,7-10,4.0,5.0,Strickland,Boxberger,Gearrin,3:44,N,16976.0,.85,1,
