,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Monday, Apr 3",TEX,Home,CLE,L,5.0,8.0,9.0,0-1,3.0,1.0,Miller,Dyson,Allen,3:21,N,48350.0,.96,-1,
2,"Tuesday, Apr 4",TEX,Home,CLE,L,3.0,4.0,9.0,0-2,4.0,2.0,Carrasco,Perez,Allen,3:14,N,23574.0,.90,-2,
3,"Wednesday, Apr 5",TEX,Home,CLE,L,6.0,9.0,9.0,0-3,4.0,3.0,Armstrong,Dyson,Shaw,3:25,N,24649.0,.85,-3,
4,"Friday, Apr 7",TEX,Home,OAK,W,10.0,5.0,9.0,1-3,4.0,1.5,Claudio,Alcantara,None,2:56,N,34235.0,.89,1,
5,"Saturday, Apr 8",TEX,Home,OAK,L,1.0,6.0,9.0,1-4,4.0,2.5,Graveman,Darvish,None,2:59,N,44410.0,.99,-1,
6,"Sunday, Apr 9",TEX,Home,OAK,W,8.0,1.0,9.0,2-4,4.0,2.5,Perez,Manaea,None,3:16,D,36905.0,.91,1,
7,"Tuesday, Apr 11",TEX,@,LAA,L-wo,5.0,6.0,10.0,2-5,4.0,3.5,Bedrosian,Jeffress,None,3:33,N,34044.0,1.04,-1,
8,"Wednesday, Apr 12",TEX,@,LAA,W,8.0,3.0,9.0,3-5,4.0,2.5,Griffin,Chavez,Leclerc,2:59,N,34599.0,.94,1,
9,"Thursday, Apr 13",TEX,@,LAA,W,8.0,3.0,9.0,4-5,4.0,1.5,Darvish,Nolasco,None,3:14,D,30255.0,.97,2,
10,"Friday, Apr 14",TEX,@,SEA,L,1.0,2.0,9.0,4-6,4.0,2.5,Hernandez,Leclerc,Díaz,3:05,N,41855.0,.99,-1,
11,"Saturday, Apr 15",TEX,@,SEA,L,0.0,5.0,9.0,4-7,4.0,3.5,Paxton,Cashner,None,2:24,N,34927.0,.96,-2,
12,"Sunday, Apr 16",TEX,@,SEA,L-wo,7.0,8.0,9.0,4-8,5.0,4.0,Díaz,Dyson,None,3:39,D,19678.0,.93,-3,
13,"Monday, Apr 17",TEX,@,OAK,W,7.0,0.0,9.0,5-8,4.0,4.0,Griffin,Cotton,None,2:46,N,10406.0,.87,1,
14,"Tuesday, Apr 18",TEX,@,OAK,L,2.0,4.0,9.0,5-9,5.0,4.0,Triggs,Darvish,Casilla,2:48,N,12091.0,.93,-1,
15,"Wednesday, Apr 19",TEX,@,OAK,L,1.0,9.0,9.0,5-10,5.0,5.0,Hahn,Perez,None,2:47,D,14031.0,.90,-2,
16,"Thursday, Apr 20",TEX,Home,KCR,W-wo,1.0,0.0,13.0,6-10,5.0,5.0,Alvarez,Wood,None,3:47,N,26898.0,.76,1,
17,"Friday, Apr 21",TEX,Home,KCR,W,6.0,2.0,9.0,7-10,3.0,5.0,Hamels,Karns,None,2:45,N,31320.0,.76,2,
18,"Saturday, Apr 22",TEX,Home,KCR,W-wo,2.0,1.0,9.0,8-10,3.0,4.0,Bush,Wood,None,2:38,N,41446.0,.83,3,
19,"Sunday, Apr 23",TEX,Home,KCR,W,5.0,2.0,9.0,9-10,3.0,4.0,Darvish,Hammel,Bush,3:00,D,37177.0,.86,4,
20,"Monday, Apr 24",TEX,Home,MIN,L,2.0,3.0,9.0,9-11,3.0,4.5,Hughes,Perez,Kintzler,3:01,N,19027.0,.93,-1,
21,"Tuesday, Apr 25",TEX,Home,MIN,L,1.0,8.0,9.0,9-12,4.0,5.5,Santana,Cashner,None,3:04,N,20568.0,.86,-2,
22,"Wednesday, Apr 26",TEX,Home,MIN,W,14.0,3.0,9.0,10-12,4.0,4.5,Hamels,Rogers,None,3:37,N,22365.0,.78,1,
23,"Friday, Apr 28",TEX,Home,LAA,L,3.0,6.0,9.0,10-13,4.0,5.0,Guerra,Jeffress,Alvarez,3:12,N,28968.0,.98,-1,
24,"Saturday, Apr 29",TEX,Home,LAA,W,6.0,3.0,9.0,11-13,3.0,4.0,Darvish,Chavez,None,3:03,N,44597.0,.89,1,
25,"Sunday, Apr 30",TEX,Home,LAA,L,2.0,5.0,9.0,11-14,3.0,5.0,Ramirez,Perez,Norris,3:23,D,39804.0,.96,-1,
26,"Monday, May 1",TEX,@,HOU,L,2.0,6.0,9.0,11-15,4.0,6.0,Devenski,Cashner,Giles,2:59,N,22556.0,.93,-2,
27,"Tuesday, May 2",TEX,@,HOU,L,7.0,8.0,9.0,11-16,4.0,7.0,Hoyt,Kela,Harris,3:13,N,26208.0,.87,-3,
28,"Wednesday, May 3",TEX,@,HOU,L,1.0,10.0,9.0,11-17,5.0,8.0,Morton,Martinez,None,3:01,N,27439.0,.81,-4,
29,"Thursday, May 4",TEX,@,HOU,W,10.0,4.0,9.0,12-17,5.0,7.0,Griffin,Musgrove,None,3:52,D,27391.0,.76,1,
30,"Friday, May 5",TEX,@,SEA,W,3.0,1.0,13.0,13-17,3.0,7.0,Bush,Pagan,Claudio,5:02,N,26938.0,.75,2,
31,"Saturday, May 6",TEX,@,SEA,L,2.0,8.0,9.0,13-18,5.0,7.0,Pazos,Perez,None,3:12,N,36044.0,.80,-1,
32,"Sunday, May 7",TEX,@,SEA,L,3.0,4.0,9.0,13-19,5.0,8.0,Rzepczynski,Dyson,Díaz,3:09,D,32518.0,.74,-2,
33,"Monday, May 8",TEX,@,SDP,L,1.0,5.0,9.0,13-20,5.0,8.5,Cahill,Martinez,None,2:38,N,17756.0,.59,-3,
34,"Tuesday, May 9",TEX,@,SDP,W,11.0,0.0,9.0,14-20,5.0,8.5,Griffin,Weaver,None,2:33,D,14224.0,.54,1,
35,"Wednesday, May 10",TEX,Home,SDP,W,4.0,3.0,9.0,15-20,5.0,8.5,Jeffress,Hand,Bush,3:24,N,24350.0,.57,2,
36,"Thursday, May 11",TEX,Home,SDP,W-wo,5.0,2.0,9.0,16-20,5.0,8.5,Dyson,Maurer,None,2:39,N,22405.0,.60,3,
37,"Friday, May 12",TEX,Home,OAK,W-wo,5.0,2.0,9.0,17-20,4.0,8.5,Kela,Casilla,None,2:58,N,35625.0,.71,4,
38,"Saturday, May 13",TEX,Home,OAK,W,6.0,5.0,9.0,18-20,2.0,8.0,Barnette,Dull,Bush,3:26,N,37898.0,.79,5,
39,"Sunday, May 14",TEX,Home,OAK,W,6.0,4.0,9.0,19-20,2.0,7.5,Alvarez,Madson,Bush,2:51,D,35157.0,.83,6,
40,"Tuesday, May 16",TEX,Home,PHI,W,5.0,1.0,9.0,20-20,2.0,8.0,Darvish,Eickhoff,None,2:44,N,23110.0,.78,7,
41,"Wednesday, May 17",TEX,Home,PHI,W,9.0,3.0,9.0,21-20,2.0,8.0,Cashner,Eflin,None,2:48,N,28703.0,.83,8,
42,"Thursday, May 18",TEX,Home,PHI,W,8.0,4.0,9.0,22-20,2.0,7.5,Perez,Rodriguez,None,3:12,D,35007.0,.84,9,
43,"Friday, May 19",TEX,@,DET,W,5.0,3.0,9.0,23-20,2.0,6.5,Martinez,Norris,Bush,3:23,N,33122.0,.97,10,
