,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Thursday, Mar 28",TOR,Home,DET,L,0.0,2.0,10.0,0-1,2.0,1.0,Alcantara,Hudson,Greene,2:25,D,45048.0,.92,-1,
2,"Friday, Mar 29",TOR,Home,DET,W,6.0,0.0,9.0,1-1,2.0,0.5,Shoemaker,Boyd,None,2:28,N,18054.0,.88,1,
3,"Saturday, Mar 30",TOR,Home,DET,W,3.0,0.0,9.0,2-1,1.0,Tied,Sanchez,Turnbull,Giles,3:00,D,25429.0,.96,2,
4,"Sunday, Mar 31",TOR,Home,DET,L,3.0,4.0,11.0,2-2,3.0,1.0,Stumpf,Pannone,Greene,3:17,D,16098.0,1.00,-1,
5,"Monday, Apr 1",TOR,Home,BAL,L,5.0,6.0,9.0,2-3,4.0,2.0,Hess,Reid-Foley,Bleier,2:46,N,10460.0,1.08,-2,
6,"Tuesday, Apr 2",TOR,Home,BAL,L,1.0,2.0,9.0,2-4,4.0,3.0,Cashner,Stroman,Castro,2:45,N,12110.0,1.02,-3,
7,"Wednesday, Apr 3",TOR,Home,BAL,W,5.0,3.0,9.0,3-4,3.0,2.0,Shoemaker,Karns,Giles,2:42,D,11436.0,.96,1,
8,"Thursday, Apr 4",TOR,@,CLE,L,1.0,4.0,9.0,3-5,4.0,2.5,Bauer,Sanchez,Hand,3:06,N,10375.0,.89,-1,
9,"Friday, Apr 5",TOR,@,CLE,L-wo,2.0,3.0,9.0,3-6,4.0,3.5,Cimber,Biagini,None,2:42,N,12881.0,.86,-2,
10,"Saturday, Apr 6",TOR,@,CLE,L,2.0,7.0,9.0,3-7,4.0,3.5,Carrasco,Pannone,None,3:20,D,18429.0,.80,-3,
11,"Sunday, Apr 7",TOR,@,CLE,L,1.0,3.0,9.0,3-8,4.0,4.5,Clevinger,Stroman,Hand,2:36,D,17264.0,.80,-4,
12,"Tuesday, Apr 9",TOR,@,BOS,W,7.0,5.0,9.0,4-8,4.0,5.0,Shoemaker,Sale,Giles,3:36,D,36179.0,.74,1,
13,"Thursday, Apr 11",TOR,@,BOS,L-wo,6.0,7.0,9.0,4-9,4.0,6.0,Walden,Giles,None,3:21,N,36510.0,.81,-1,
14,"Friday, Apr 12",TOR,Home,TBR,L,7.0,11.0,9.0,4-10,5.0,7.0,Yarbrough,Thornton,None,3:21,N,17326.0,.89,-2,
15,"Saturday, Apr 13",TOR,Home,TBR,W,3.0,1.0,9.0,5-10,4.0,6.0,Pannone,Roe,Giles,2:44,D,20771.0,.80,1,
16,"Sunday, Apr 14",TOR,Home,TBR,L,4.0,8.0,9.0,5-11,5.0,7.0,Kolarek,Stroman,None,3:41,D,20512.0,.86,-1,
17,"Monday, Apr 15",TOR,@,MIN,W,5.0,3.0,9.0,6-11,4.0,6.5,Gaviglio,Mejia,Biagini,3:00,N,11727.0,.67,1,
18,"Tuesday, Apr 16",TOR,@,MIN,W,6.0,5.0,9.0,7-11,3.0,6.5,Sanchez,May,Giles,3:06,N,13365.0,.72,2,
19,"Wednesday, Apr 17",TOR,@,MIN,L,1.0,4.0,9.0,7-12,3.0,7.5,Odorizzi,Thornton,Parker,2:57,N,11465.0,.76,-1,
20,"Thursday, Apr 18",TOR,@,MIN,W,7.0,4.0,9.0,8-12,3.0,6.5,Biagini,Pineda,Giles,3:00,D,12523.0,.71,1,
21,"Friday, Apr 19",TOR,@,OAK,W,5.0,1.0,9.0,9-12,3.0,5.5,Stroman,Brooks,None,2:36,N,15128.0,.75,2,
22,"Saturday, Apr 20",TOR,@,OAK,W,10.0,1.0,9.0,10-12,3.0,4.5,Gaviglio,Fiers,None,3:05,D,31140.0,.84,3,
23,"Sunday, Apr 21",TOR,@,OAK,W,5.0,4.0,9.0,11-12,3.0,3.5,Hudson,Anderson,Giles,3:19,D,16015.0,.91,4,
24,"Tuesday, Apr 23",TOR,Home,SFG,L,6.0,7.0,9.0,11-13,3.0,5.0,Samardzija,Thornton,Smith,3:06,N,20384.0,.90,-1,
25,"Wednesday, Apr 24",TOR,Home,SFG,L,0.0,4.0,9.0,11-14,3.0,5.0,Pomeranz,Buchholz,None,2:41,D,19652.0,.85,-2,
26,"Friday, Apr 26",TOR,Home,OAK,W-wo,4.0,2.0,9.0,12-14,3.0,4.5,Giles,Petit,None,2:50,N,28688.0,.84,1,
27,"Saturday, Apr 27",TOR,Home,OAK,W,7.0,1.0,9.0,13-14,3.0,4.5,Sanchez,Anderson,None,2:50,D,22254.0,.87,2,
28,"Sunday, Apr 28",TOR,Home,OAK,W-wo,5.0,4.0,11.0,14-14,3.0,4.5,Luciano,Treinen,None,3:56,D,18557.0,.92,3,
29,"Tuesday, Apr 30",TOR,@,LAA,L,3.0,4.0,9.0,14-15,3.0,5.5,Buttrey,Tepera,Robles,2:56,N,38797.0,.93,-1,
30,"Wednesday, May 1",TOR,@,LAA,L,3.0,6.0,9.0,14-16,3.0,5.0,Peña,Stroman,Buttrey,3:32,N,33082.0,.88,-2,
31,"Thursday, May 2",TOR,@,LAA,L,2.0,6.0,9.0,14-17,3.0,6.0,Skaggs,Sanchez,None,3:01,N,40064.0,.90,-3,
32,"Friday, May 3",TOR,@,TEX,W,1.0,0.0,12.0,15-17,3.0,6.0,Hudson,Jurado,Giles,4:00,N,26179.0,.82,1,
33,"Saturday, May 4",TOR,@,TEX,L,5.0,8.0,9.0,15-18,4.0,6.0,Lynn,Pannone,Kelley,2:59,N,31787.0,.85,-1,
34,"Sunday, May 5",TOR,@,TEX,L,2.0,10.0,9.0,15-19,4.0,6.5,Dowdy,Buchholz,None,2:50,D,30934.0,.82,-2,
35,"Monday, May 6",TOR,Home,MIN,L,0.0,8.0,9.0,15-20,4.0,7.5,Perez,Stroman,None,2:52,N,12292.0,.77,-3,
36,"Tuesday, May 7",TOR,Home,MIN,L,0.0,3.0,9.0,15-21,4.0,8.5,Berrios,Sanchez,Rogers,2:30,N,14039.0,.68,-4,
37,"Wednesday, May 8",TOR,Home,MIN,L,1.0,9.0,9.0,15-22,4.0,8.5,Gibson,Thornton,None,3:06,N,14372.0,.60,-5,
38,"Friday, May 10",TOR,Home,CHW,W,4.0,3.0,9.0,16-22,4.0,7.5,Biagini,Covey,Giles,3:08,N,20402.0,.56,1,
