,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Thursday, Apr 7",WSN,Home,NYM,L,1.0,5.0,9.0,0-1,4.0,1.0,Megill,Corbin,None,3:31,N,35052.0,1.01,-1,
2,"Friday, Apr 8",WSN,Home,NYM,L,3.0,7.0,9.0,0-2,5.0,2.0,Scherzer,Gray,None,3:43,N,25677.0,.97,-2,
3,"Saturday, Apr 9",WSN,Home,NYM,L,0.0,5.0,9.0,0-3,5.0,3.0,Bassitt,Adon,None,3:14,N,21369.0,.89,-3,
4,"Sunday, Apr 10",WSN,Home,NYM,W,4.0,2.0,9.0,1-3,5.0,2.0,Finnegan,Williams,Rainey,3:01,D,23158.0,.88,1,
5,"Monday, Apr 11",WSN,@,ATL,W,11.0,2.0,9.0,2-3,3.0,1.5,Rogers,Ynoa,None,3:33,N,42263.0,.90,2,
6,"Tuesday, Apr 12",WSN,@,ATL,L,4.0,16.0,9.0,2-4,4.0,2.0,Elder,Corbin,Stephens,3:37,N,31462.0,.97,-1,
7,"Wednesday, Apr 13",WSN,@,ATL,W,3.0,1.0,9.0,3-4,3.0,2.0,Gray,Fried,Rainey,2:57,D,31959.0,.91,1,
8,"Thursday, Apr 14",WSN,@,PIT,L,4.0,9.0,9.0,3-5,3.0,2.5,Contreras,Adon,None,3:37,N,9266.0,.92,-1,
9,"Friday, Apr 15",WSN,@,PIT,W,7.0,2.0,9.0,4-5,2.0,2.5,Fedde,Keller,None,3:14,N,13076.0,.89,1,
10,"Saturday, Apr 16",WSN,@,PIT,L,4.0,6.0,9.0,4-6,4.0,2.5,Peters,Rogers,None,3:25,N,8676.0,.93,-1,
11,"Sunday, Apr 17",WSN,@,PIT,L,3.0,5.0,9.0,4-7,5.0,3.5,Hembree,Cishek,Bednar,3:20,D,8735.0,.84,-2,
12,"Tuesday, Apr 19 (1)",WSN,Home,ARI,W,6.0,1.0,9.0,5-7,2.0,3.5,Gray,Bumgarner,None,3:08,D,9261.0,.83,1,
13,"Tuesday, Apr 19 (2)",WSN,Home,ARI,W,1.0,0.0,9.0,6-7,2.0,3.5,Adon,Gilbert,Rainey,2:31,N,11720.0,.90,2,
14,"Wednesday, Apr 20",WSN,Home,ARI,L,2.0,11.0,9.0,6-8,2.0,3.5,Kelly,Fedde,None,3:12,N,15774.0,.90,-1,
15,"Thursday, Apr 21",WSN,Home,ARI,L,3.0,4.0,9.0,6-9,4.0,4.5,Davies,Rogers,Melancon,3:00,D,14424.0,.83,-2,
16,"Friday, Apr 22",WSN,Home,SFG,L,1.0,7.0,9.0,6-10,5.0,5.5,Junis,Corbin,None,2:53,N,23751.0,.83,-3,
17,"Saturday, Apr 23",WSN,Home,SFG,L,2.0,5.0,9.0,6-11,5.0,5.5,Wood,Sanchez,Doval,2:48,D,27799.0,.72,-4,
18,"Sunday, Apr 24",WSN,Home,SFG,L,3.0,12.0,9.0,6-12,5.0,6.5,Webb,Adon,None,3:19,D,26003.0,.69,-5,
19,"Tuesday, Apr 26",WSN,Home,MIA,L,2.0,5.0,9.0,6-13,5.0,8.0,Alcantara,Gray,Bender,3:13,N,12613.0,.67,-6,
20,"Wednesday, Apr 27",WSN,Home,MIA,L,1.0,2.0,9.0,6-14,5.0,8.0,Lopez,Fedde,Bender,3:20,N,13356.0,.59,-7,
21,"Thursday, Apr 28",WSN,Home,MIA,L,2.0,3.0,9.0,6-15,5.0,8.5,Rogers,Corbin,Sulser,2:46,D,12454.0,.52,-8,
22,"Friday, Apr 29",WSN,@,SFG,W,14.0,4.0,9.0,7-15,5.0,8.5,Sanchez,Wood,None,3:46,N,38256.0,.45,1,
23,"Saturday, Apr 30",WSN,@,SFG,L,3.0,9.0,9.0,7-16,5.0,8.5,Webb,Adon,None,3:20,D,33241.0,.48,-1,
24,"Sunday, May 1",WSN,@,SFG,W,11.0,5.0,9.0,8-16,5.0,8.5,Gray,Cobb,None,3:37,D,38451.0,.44,1,
25,"Tuesday, May 3",WSN,@,COL,W,10.0,2.0,9.0,9-16,5.0,8.5,Fedde,Marquez,None,2:39,N,20758.0,.49,2,
26,"Wednesday, May 4",WSN,@,COL,L,2.0,5.0,9.0,9-17,5.0,8.5,Gomber,Corbin,Bard,2:18,N,19387.0,.55,-1,
27,"Thursday, May 5",WSN,@,COL,L,7.0,9.0,9.0,9-18,5.0,9.5,Chacin,Sanchez,Bard,3:25,D,30139.0,.52,-2,
28,"Friday, May 6",WSN,@,LAA,L,0.0,3.0,9.0,9-19,5.0,10.0,Diaz,Adon,Iglesias,2:28,N,41923.0,.43,-3,
29,"Saturday, May 7",WSN,@,LAA,W,7.0,3.0,9.0,10-19,5.0,9.5,Gray,Lorenzen,None,3:02,N,30666.0,.39,1,
30,"Sunday, May 8",WSN,@,LAA,L-wo,4.0,5.0,9.0,10-20,5.0,10.0,Barria,Rainey,None,3:26,D,32337.0,.41,-1,
31,"Tuesday, May 10",WSN,Home,NYM,L,2.0,4.0,9.0,10-21,5.0,11.0,Carrasco,Edwards,Díaz,3:08,N,21955.0,.45,-2,
32,"Wednesday, May 11",WSN,Home,NYM,W,8.0,3.0,9.0,11-21,5.0,10.0,Sanchez,Megill,None,3:05,N,19715.0,.39,1,
33,"Thursday, May 12",WSN,Home,NYM,L,1.0,4.0,9.0,11-22,5.0,11.0,Walker,Adon,None,2:45,D,21213.0,.46,-1,
34,"Friday, May 13",WSN,Home,HOU,L,1.0,6.0,9.0,11-23,5.0,11.0,Valdez,Gray,None,2:45,N,18433.0,.32,-2,
35,"Saturday, May 14",WSN,Home,HOU,W,13.0,6.0,9.0,12-23,5.0,11.0,Rogers,Javier,None,3:27,N,22949.0,.30,1,
36,"Sunday, May 15",WSN,Home,HOU,L,0.0,8.0,9.0,12-24,5.0,11.0,Verlander,Corbin,None,3:07,D,25915.0,.34,-1,
37,"Monday, May 16",WSN,@,MIA,L,2.0,8.0,9.0,12-25,5.0,11.5,Alcantara,Sanchez,None,3:01,N,6601.0,.33,-2,
38,"Tuesday, May 17",WSN,@,MIA,L,1.0,5.0,9.0,12-26,5.0,12.0,Bender,Adon,None,3:28,N,8097.0,.30,-3,
39,"Wednesday, May 18",WSN,@,MIA,W,5.0,4.0,10.0,13-26,5.0,12.0,Rainey,Castano,Arano,3:56,N,7566.0,.25,1,
40,"Friday, May 20",WSN,@,MIL,L,0.0,7.0,9.0,13-27,5.0,13.0,Lauer,Fedde,None,2:46,N,29609.0,.28,-1,
41,"Saturday, May 21",WSN,@,MIL,L,1.0,5.0,9.0,13-28,5.0,13.5,Woodruff,Corbin,Hader,3:13,N,34837.0,.24,-2,
