Team,Avg Attendance
ARI,27687.59259259259
ATL,31552.85185185185
BAL,20053.74358974359
BOS,35747.83950617284
CHC,38793.76829268293
CHW,20110.2125
CIN,20115.506172839505
CLE,24083.7625
COL,37233.08641975309
DET,23212.125
HOU,36796.9012345679
KCR,20556.876543209877
LAA,37286.61728395062
LAD,47042.68292682927
MIA,10013.62962962963
MIL,35195.98765432099
MIN,24489.9625
NYM,28164.493670886077
NYY,42998.20987654321
OAK,19427.35802469136
PHI,27318.025316455696
PIT,18786.102564102563
SDP,26772.04938271605
SEA,28388.753086419754
SFG,38965.246913580246
STL,42019.59259259259
TBR,14258.925925925925
TEX,26013.666666666668
TOR,29066.0125
WSN,31620.05
