y_test,y_pred_5,y_pred_10,y_pred_20,y_pred_avg_only
35112,38483.8,37604.8,38350.8,38739.375
28459,20129.8,19058.7,17411.85,26653.651219512194
46256,45338.6,44913.6,43625.15,42755.568292682925
44723,39330.2,38370.0,38125.85,37359.625310173695
35508,36219.0,28539.1,28960.85,26354.7542997543
35052,42138.8,41439.6,34939.85,31153.133971291867
40545,40545.0,40545.0,40545.0,31962.048387096773
46097,48384.4,46666.6,44161.1,40792.543269230766
43480,21922.0,18935.6,17469.9,27114.194029850747
40853,37436.8,35597.3,33360.25,33429.135802469136
48627,41408.0,37838.6,35766.45,34868.50617283951
44232,32879.4,30464.1,30918.6,26535.75314861461
35462,35085.8,28728.8,30014.0,26118.927860696516
25025,25308.6,20263.5,15417.4,15167.78431372549
42719,39942.4,38650.5,38290.85,37359.625310173695
17297,35394.4,28679.1,28696.65,26354.7542997543
25677,38479.0,40330.9,34237.2,31153.133971291867
45022,24250.8,21985.7,21936.65,33761.706024096384
40234,40389.5,40389.5,40389.5,31962.048387096773
38885,39143.8,36144.0,33846.05,33429.135802469136
20867,33365.6,28898.8,29717.45,26118.927860696516
15615,25091.8,20417.9,15825.4,15167.78431372549
17469,22184.4,18906.5,17557.6,27114.194029850747
45025,45003.4,45010.0,43691.8,42755.568292682925
30369,36652.8,36648.9,38050.95,38739.375
43386,30157.4,23932.8,23002.3,33761.706024096384
17103,20164.2,19295.4,17233.95,26653.651219512194
41622,33391.6,32119.2,31146.5,26535.75314861461
46882,47905.4,47149.2,44137.85,40792.543269230766
19504,32846.4,28655.0,27964.4,26354.7542997543
36139,38817.6,38358.8,38326.0,37359.625310173695
48087,44990.6,39481.9,36680.65,34868.50617283951
21369,33979.4,38168.5,33322.45,31153.133971291867
40310,40363.0,40363.0,40363.0,31962.048387096773
37332,39299.4,36010.9,34299.55,33429.135802469136
33507,35264.4,33047.9,31517.65,26535.75314861461
41253,39905.4,38813.2,38438.25,37359.625310173695
14100,23833.8,20116.2,16139.05,15167.78431372549
40825,44338.2,38827.4,36516.85,34868.50617283951
15712,22092.0,18908.9,17551.5,27114.194029850747
20165,21119.4,19252.6,17562.45,26653.651219512194
17018,29219.2,28415.6,28998.9,26118.927860696516
19089,27368.8,28790.8,26409.85,26354.7542997543
40027,44568.2,45245.8,43759.9,42755.568292682925
32858,35403.2,36024.4,37699.4,38739.375
23158,29833.2,36142.0,33012.85,31153.133971291867
38233,39830.5,39830.5,39830.5,31962.048387096773
31549,33197.6,24456.9,23399.55,33761.706024096384
40108,46127.4,46633.0,43859.15,40792.543269230766
8971,18514.6,18078.1,17327.55,26653.651219512194
44461,21283.8,16130.5,13867.85,23680.93417721519
35052,35052.0,35052.0,35052.0,28684.284968495176
11840,21211.6,18678.7,17300.75,27114.194029850747
20480,37062.8,37410.7,37585.5,37359.625310173695
9139,19211.4,19212.2,15831.3,15167.78431372549
12932,25480.0,27457.0,28083.6,26118.927860696516
22317,34696.6,32955.3,31066.9,26535.75314861461
23279,36451.6,34372.5,33806.75,33429.135802469136
26211,41556.2,44893.9,42806.45,40792.543269230766
42263,40317.0,40317.0,40317.0,31962.048387096773
15781,20856.4,18730.3,17226.15,27114.194029850747
36948,22857.4,19432.7,20046.55,20644.8
16132,31344.6,35337.4,36402.7,37359.625310173695
43036,24690.6,24808.5,21261.4,23710.322580645163
34458,21646.4,16216.4,16563.5,24111.288220551378
16732,20602.2,26754.3,26948.75,26118.927860696516
7588,14293.4,18176.4,15544.35,15167.78431372549
17674,21814.4,28075.6,25571.6,26354.7542997543
26045,33544.6,32857.6,30558.65,26535.75314861461
25560,33181.8,34141.5,33370.1,33429.135802469136
40398,43632.8,44632.6,43743.2,42755.568292682925
25068,36873.2,42942.4,41836.75,40792.543269230766
15862,25457.0,25457.0,25457.0,28684.284968495176
11814,21617.0,16076.3,13867.25,23680.93417721519
31462,38500.4,38841.166666666664,38841.166666666664,31962.048387096773
17101,16930.0,26007.9,26159.2,26118.927860696516
31959,36845.4,37858.0,37858.0,31962.048387096773
10976,22618.8,24001.3,20604.3,23710.322580645163
9122,21365.0,16035.3,16490.25,24111.288220551378
12660,17244.8,26731.9,25030.75,26354.7542997543
27197,30450.6,33943.7,32908.75,33429.135802469136
31190,30936.2,31907.8,30721.55,26535.75314861461
10522,14264.8,18093.4,16916.6,27114.194029850747
12291,22119.6,18393.7,19716.15,20644.8
8954,11079.2,18193.9,15245.95,15167.78431372549
12704,21815.0,16202.9,14008.85,23680.93417721519
30109,33675.6,41030.0,41199.2,40792.543269230766
13391,21543.2,18213.2,19457.55,20644.8
8287,9613.6,17352.7,15132.0,15167.78431372549
42794,42794.0,42794.0,42794.0,28684.284968495176
44844,32536.4,29209.7,30084.15,28481.303482587064
9266,19509.4,15974.4,15949.0,24111.288220551378
31184,31184.0,31184.0,31184.0,28684.284968495176
24444,39750.8,38201.9,35699.0,34868.50617283951
21440,24118.0,24118.0,24118.0,28684.284968495176
37255,31750.2,39827.8,41061.2,40792.543269230766
9595,16858.6,17317.1,17054.85,26653.651219512194
52995,52256.6,51491.8,51065.75,47389.4688221709
43820,31109.2,29075.7,28616.3,31370.958637469586
36266,35691.2,35826.2,35960.4,35912.12895377129
19009,20234.6,18675.6,19057.2,20644.8
13076,17907.8,16027.7,15264.0,24111.288220551378
35450,39486.6,38896.4,35801.1,34868.50617283951
41993,34676.4,30859.3,30038.6,28481.303482587064
11990,21587.0,21587.0,21587.0,28684.284968495176
45023,26686.2,21601.5,22767.3,22112.456790123455
32197,23743.2,18148.0,15211.05,23680.93417721519
28723,25269.25,25269.25,25269.25,28684.284968495176
