attendance,is_federal_holiday,venue,on_grass,temperature,wind_speed,team1_name,team1_pre_win,team1_pre_loss,team1_pre_win_pct,team1_streak,team2_name,team2_pre_win,team2_pre_loss,team2_pre_win_pct,team2_streak,salary-500-800,salary-800-1500,salary-1500,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,month_April,month_August,month_July,month_June,month_March,month_May,month_November,month_October,month_September,weather_Cloudy,weather_Drizzle,weather_In Dome,weather_Overcast,weather_Rain,weather_Sunny,season_type,season,home_team_avg_att_last_year,start_hour,start_hour_label_afternoon,start_hour_label_evening,start_hour_label_night,start_hour_label_noon,game_page_url,start_time,previous_5_to_10MA,lle1,lle2
35112,0,Wrigley Field,1,-2.786671599965071,1.292847631885225,MIL,-1.626450181699637,-1.654513922577482,0.0,0.0076182211325351,CHC,-1.6242976133009144,-1.656593915643788,0.0,-0.0578758212917222,0.2463724244293002,-0.650536695478007,-0.7054448817350786,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,regular,2022,1.0485112689945344,13,0,0,0,1,https://www.baseball-reference.com/boxes/CHN/CHN202204070.shtml,2022-04-07 13:20:00,38208.20987654321,0.00991213559109632,-0.0066037880187214395
28459,0,Kauffman Stadium,1,-2.503546429956696,1.6888297200576567,CLE,-1.626450181699637,-1.654513922577482,0.0,0.0076182211325351,KCR,-1.6242976133009144,-1.656593915643788,0.0,-0.0578758212917222,-1.214714887193472,-1.5151941458939897,-0.7054448817350786,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,regular,2022,-1.4874749377072287,15,1,0,0,0,https://www.baseball-reference.com/boxes/KCA/KCA202204070.shtml,2022-04-07 15:10:00,18495.7375,0.00721810521948227,0.002121371787395929
46256,0,Busch Stadium III,1,-2.220421259948321,2.4807938964025205,PIT,-1.626450181699637,-1.654513922577482,0.0,0.0076182211325351,STL,-1.6242976133009144,-1.656593915643788,0.0,-0.0578758212917222,0.2463724244293002,-1.9475228711019807,-0.3217994292534983,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,regular,2022,1.6608288029011082,15,1,0,0,0,https://www.baseball-reference.com/boxes/SLN/SLN202204070.shtml,2022-04-07 15:15:00,42967.81481481482,0.007820877792263304,0.0042660669802712875
44723,0,Angel Stadium of Anaheim,1,1.8377061768383856,-0.2910807208045027,HOU,-1.626450181699637,-1.654513922577482,0.0,0.0076182211325351,LAA,-1.6242976133009144,-1.656593915643788,0.0,-0.0578758212917222,0.2463724244293002,-1.0828654206859984,-0.7054448817350786,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,regular,2022,0.93439024078442,18,0,1,0,0,https://www.baseball-reference.com/boxes/ANA/ANA202204070.shtml,2022-04-07 18:38:00,37321.135802469136,0.008650844631404345,-0.0015395652811057384
35508,0,Chase Field,0,1.8377061768383856,-0.2910807208045027,SDP,-1.626450181699637,-1.654513922577482,0.0,0.0076182211325351,ARI,-1.6242976133009144,-1.656593915643788,0.0,-0.0578758212917222,-0.2406566794449572,-1.9475228711019807,-0.3217994292534983,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,regular,2022,-0.4751909983918569,18,0,1,0,0,https://www.baseball-reference.com/boxes/ARI/ARI202204070.shtml,2022-04-07 18:40:00,26364.32098765432,0.00844036285998289,-0.0003593195132159153
35052,0,Nationals Park,1,-2.031671146609405,-0.6870628089769346,NYM,-1.626450181699637,-1.654513922577482,0.0,0.0076182211325351,WSN,-1.6242976133009144,-1.656593915643788,0.0,-0.0578758212917222,0.2463724244293002,0.6464494801459671,-0.3217994292534983,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,regular,2022,-0.2778167162227177,19,0,1,0,0,https://www.baseball-reference.com/boxes/WAS/WAS202204070.shtml,2022-04-07 19:05:00,27898.53086419753,0.006927328702906828,-0.0022949352418880054
40545,0,Truist Park,1,-0.9935455232453634,1.4908386759714407,CIN,-1.626450181699637,-1.654513922577482,0.0,0.0076182211325351,ATL,-1.6242976133009144,-1.656593915643788,0.0,-0.0578758212917222,-0.2406566794449572,-0.2182079702700156,-1.089090334216659,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,regular,2022,0.3497655554418811,20,0,0,1,0,https://www.baseball-reference.com/boxes/ATL/ATL202204070.shtml,2022-04-07 20:08:00,32776.79012345679,0.010251586068251661,0.0026057876233908524
46097,0,Yankee Stadium III,1,-1.3710457499231965,0.500883455540361,BOS,-1.626450181699637,-1.654513922577482,0.0,0.0076182211325351,NYY,-1.6242976133009144,-1.656593915643788,0.0,-0.0578758212917222,-0.7276857833192146,0.2141207549379757,1.596427833154403,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,regular,2022,1.5141799502318507,13,0,0,0,1,https://www.baseball-reference.com/boxes/NYA/NYA202204080.shtml,2022-04-08 13:05:00,41827.898734177215,0.002538374914579202,0.005224907410626345
43480,0,Comerica Park,1,-2.6922965432956127,0.500883455540361,CHW,-1.626450181699637,-1.654513922577482,0.0,0.0076182211325351,DET,-1.6242976133009144,-1.656593915643788,0.0,-0.0578758212917222,1.2204306321778151,-0.650536695478007,-0.3217994292534983,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,regular,2022,-1.452464770887793,13,0,0,0,1,https://www.baseball-reference.com/boxes/DET/DET202204080.shtml,2022-04-08 13:10:00,18767.875,0.0089688656506662,-0.0007114990103676365
40853,0,Oracle Park,1,-0.4272951832286135,3.074767028661168,MIA,-1.626450181699637,-1.654513922577482,0.0,0.0076182211325351,SFG,-1.6242976133009144,-1.656593915643788,0.0,-0.0578758212917222,-1.214714887193472,-1.0828654206859984,-1.4727357866982391,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,regular,2022,0.4336890538430954,13,0,0,0,1,https://www.baseball-reference.com/boxes/SFN/SFN202204080.shtml,2022-04-08 13:35:00,33429.135802469136,0.007475752783207691,0.0017595361103676804
48627,0,Coors Field,1,-0.7104203532369884,-0.2910807208045027,LAD,-1.626450181699637,-1.654513922577482,0.0,0.0076182211325351,COL,-1.6242976133009144,-1.656593915643788,0.0,-0.0578758212917222,0.2463724244293002,-0.650536695478007,0.8291369281912425,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,regular,2022,0.8871110072415102,14,1,0,0,0,https://www.baseball-reference.com/boxes/COL/COL202204080.shtml,2022-04-08 14:10:00,36953.62962962963,0.005590866968191685,0.0037136982471162004
44232,0,Citizens Bank Park,1,-0.899170466575905,0.500883455540361,OAK,-1.626450181699637,-1.654513922577482,0.0,0.0076182211325351,PHI,-1.6242976133009144,-1.656593915643788,0.0,-0.0578758212917222,-0.7276857833192146,-0.2182079702700156,0.4454914757096622,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,regular,2022,0.4649157741698605,15,1,0,0,0,https://www.baseball-reference.com/boxes/PHI/PHI202204080.shtml,2022-04-08 15:05:00,33671.864197530864,0.005130016984430021,0.006042216897351348
35462,0,Target Field,1,-2.6922965432956127,1.8868207641438728,SEA,-1.626450181699637,-1.654513922577482,0.0,0.0076182211325351,MIN,-1.6242976133009144,-1.656593915643788,0.0,-0.0578758212917222,1.2204306321778151,-0.650536695478007,-1.4727357866982391,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,regular,2022,-0.208698949314617,15,1,0,0,0,https://www.baseball-reference.com/boxes/MIN/MIN202204080.shtml,2022-04-08 15:10:00,28435.79012345679,0.00827576986793241,0.0005680342461632417
