
 100¢X F, Wind 1mph in unknown direction, Cloudy, No Precipitation.
 76¢X F, Wind 8mph from Right to Left, Sunny, No Precipitation.
 50¢X F, Wind 2mph out to Centerfield, In Dome.
 53¢X F, Wind 16mph out to Rightfield, Cloudy, No Precipitation.
 54¢X F, Wind 14mph from Right to Left, Overcast, No Precipitation.
 77¢X F, Wind 12mph out to Centerfield, Cloudy, No Precipitation.
 78¢X F, Wind 4mph from Left to Right, Sunny, No Precipitation.
 65¢X F, Wind 12mph in from Centerfield, Cloudy, No Precipitation.
 86¢X F, Wind 7mph in unknown direction, Cloudy, No Precipitation.
 76¢X F, Wind 6mph from Left to Right, Cloudy, No Precipitation.
 43¢X F, Wind 6mph out to Rightfield, Sunny, No Precipitation.
 80¢X F, Wind 6mph out to Leftfield, Cloudy, No Precipitation.
 75¢X F, Wind 9mph out to Centerfield, Overcast, No Precipitation.
 82¢X F, Wind 3mph in from Centerfield, Sunny, No Precipitation.
 71¢X F, Wind 7mph from Left to Right, Cloudy, No Precipitation.
 84¢X F, Wind 5mph in from Rightfield, Sunny, No Precipitation.
 83¢X F, Wind 7mph in from Centerfield, Cloudy, No Precipitation.
 74¢X F, Wind 11mph from Right to Left, Sunny, No Precipitation.
 81¢X F, Wind 6mph in unknown direction, Cloudy, No Precipitation.
 82¢X F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
 63¢X F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
 61¢X F, Wind 9mph out to Rightfield, Sunny, No Precipitation.
 80¢X F, Wind 6mph in from Centerfield, Cloudy, No Precipitation.
 69¢X F, Wind 12mph out to Rightfield, Cloudy, No Precipitation.
 88¢X F, Wind 10mph in from Rightfield, Sunny, No Precipitation.
 86¢X F, Wind 10mph out to Centerfield, Cloudy, No Precipitation.
 67¢X F, Wind 6mph out to Rightfield, Sunny, No Precipitation.
 87¢X F, Wind 6mph from Left to Right, Cloudy, No Precipitation.
 96¢X F, Wind 12mph out to Leftfield, Cloudy, No Precipitation.
 83¢X F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
 75¢X F, Wind 9mph out to Centerfield, Sunny, No Precipitation.
 87¢X F, Wind 9mph from Right to Left, Sunny, No Precipitation.
